('https://image1.ljcdn.com/210100-inspection/b0b07c26-f931-4099-9816-cd34f1dc3853.jpg.296x216.jpg', '大东 大华水岸 精装三室 装修好 拎包入住', '大华水岸府邸  | 3室2厅 | 134.8平米 | 南 北 | 其他', '中楼层(共18层)2006年建板楼  -  大东区', '144万', '单价10683元/平米')
('https://image1.ljcdn.com/210100-inspection/b3e85c93-2a5d-46c5-934c-6f1ffc323867.JPG.296x216.jpg', '大东区 凤凰园 南北通透 采光好 前后无遮挡', '凤凰园  | 2室1厅 | 112平米 | 南 北 | 精装', '中楼层(共7层)板楼  -  大东区', '75万', '单价6697元/平米')
('https://image1.ljcdn.com/210100-inspection/c2e2259c-937f-4a46-a51c-9aa97cb0307f.JPG.296x216.jpg', '大东骨科 果舍添香一期 无遮挡  采光好', '果舍添香一期  | 2室2厅 | 90.74平米 | 西南 | 精装', '中楼层(共28层)2010年建板楼  -  大东区', '82万', '单价9037元/平米')
('https://image1.ljcdn.com/210100-inspection/561705e0-9eb3-4e4a-a486-2f838e44a096.JPG.296x216.jpg', '大东区紫竹茗郡多层不把山不临街装修保持好拎包入住', '彤利紫竹茗郡  | 2室2厅 | 102平米 | 南 北 | 简装', '中楼层(共6层)板楼  -  大东区', '86万', '单价8432元/平米')
('https://image1.ljcdn.com/210100-inspection/c2299d77-a861-419c-b3f7-3c1ba382fb4d.jpg.296x216.jpg', '远大城市立方 1室1厅 30万', '远大城市立方  | 1室1厅 | 41.28平米 | 南 | 简装', '高楼层(共18层)2009年建板楼  -  大东区', '30万', '单价7268元/平米')
('https://image1.ljcdn.com/210100-inspection/22249e51-ae09-420f-9d3f-60ae35f7490b.JPG.296x216.jpg', '八王寺区域 一环内 大单室 高楼层  采光好', '阳光港湾  | 1室1厅 | 52平米 | 东北 | 精装', '高楼层(共18层)板楼  -  大东区', '39.5万', '单价7597元/平米')
('https://image1.ljcdn.com/210100-inspection/6c41765a-d777-4857-bcf3-60e7bdac3085.JPG.296x216.jpg', '鑫淼人家 2室1厅 72万', '鑫淼人家  | 2室1厅 | 85.94平米 | 西南 | 其他', '高楼层(共22层)暂无数据  -  大东区', '72万', '单价8378元/平米')
('https://image1.ljcdn.com/210100-inspection/c8055b90-3300-407a-a0e6-454851feb0fe.jpg.296x216.jpg', '大东 远大城市立方 高楼层 采光好视野好', '远大城市立方  | 2室1厅 | 77.5平米 | 南 西 北 | 简装', '高楼层(共18层)2009年建板楼  -  大东区', '66万', '单价8517元/平米')
('https://image1.ljcdn.com/210100-inspection/27ae7a17-3501-4977-8f47-3bfcd3ac216b.JPG.296x216.jpg', '林韵春天 南北两室 户型方正 中楼层', '林韵春天  | 2室1厅 | 92.08平米 | 南 北 | 精装', '中楼层(共11层)2005年建板楼  -  大东区', '72万', '单价7820元/平米')
('https://image1.ljcdn.com/210100-inspection/e355cfe9-1ea6-4928-b59f-fab58c494714.jpg.296x216.jpg', '大东区  新华壹品B区 低楼层带花园', '新华壹品B区  | 3室2厅 | 129.7平米 | 南 北 | 简装', '低楼层(共11层)2006年建板楼  -  大东区', '125万', '单价9638元/平米')
('https://image1.ljcdn.com/210100-inspection/559fcd23-26cf-4491-b9aa-f3aa1035c27e.JPG.296x216.jpg', '阳光港湾  中间楼层 小区环境优美 交通便利', '阳光港湾  | 1室1厅 | 54.55平米 | 西南 | 简装', '高楼层(共18层)板楼  -  大东区', '57万', '单价10450元/平米')
('https://image1.ljcdn.com/210100-inspection/cbb40e76-fbc9-452e-a4d8-d51389bc6334.jpg.296x216.jpg', '大东 骨科医院 东方俪城 高楼层 视野开阔', '万恒东方俪城四期  | 1室1厅 | 54平米 | 南 | 简装', '高楼层(共24层)2005年建板楼  -  大东区', '42万', '单价7778元/平米')
('https://image1.ljcdn.com/210100-inspection/dd110c99-99eb-4a42-a5fc-0e966dc2861b.jpg.296x216.jpg', '金地檀悦 3室2厅 126万', '金地檀悦  | 3室2厅 | 105平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  大东区', '126万', '单价12000元/平米')
('https://image1.ljcdn.com/210100-inspection/9d7b692c-e8b7-42dd-b7a5-35b86b0cbb3b.JPG.296x216.jpg', '大东  祥和家园  南北通透  楼层好   不把山不临街', '祥和家园  | 3室1厅 | 124.57平米 | 南 北 | 精装', '低楼层(共6层)暂无数据  -  大东区', '110万', '单价8831元/平米')
('https://image1.ljcdn.com/210100-inspection/505d7cc2-b456-4047-abfe-d4e9add23522.jpg.296x216.jpg', '大东区 八王寺 城市经典 精装修 三室 采光好 视野开阔', '城市经典  | 3室1厅 | 116.78平米 | 南 北 | 精装', '高楼层(共30层)2007年建板塔结合  -  大东区', '110万', '单价9420元/平米')
('https://image1.ljcdn.com/210100-inspection/07c60a85-6177-4f6f-ab28-cb0981ef6206.jpg.296x216.jpg', '东中街 香檀1917两室 双南卧精装修', '香檀1917  | 2室1厅 | 88平米 | 西南 | 精装', '高楼层(共34层)2008年建板楼  -  大东区', '77万', '单价8750元/平米')
('https://image1.ljcdn.com/210100-inspection/f7271ff5-84ab-4eda-ab57-77cdea095e5e.jpg.296x216.jpg', '大东 一环旁 新华壹品B区 一室一厅', '新华壹品B区  | 1室1厅 | 55平米 | 南 | 其他', '高楼层(共9层)2006年建板楼  -  大东区', '45万', '单价8182元/平米')
('https://image1.ljcdn.com/210100-inspection/2ca92ef7-9be8-4360-98ea-e33c7f5af78a.jpg.296x216.jpg', '大东 吉祥 低楼层 两室 南北通透', '如意小区  | 2室1厅 | 70.11平米 | 南 北 | 简装', '低楼层(共7层)暂无数据  -  大东区', '47万', '单价6704元/平米')
('https://image1.ljcdn.com/210100-inspection/76ae7fa6-143a-405f-95f8-024b6f95ec94.JPG.296x216.jpg', '筑景东方 2室1厅 52万', '筑景东方  | 2室1厅 | 77平米 | 南 | 其他', '中楼层(共6层)板楼  -  大东区', '52万', '单价6754元/平米')
('https://image1.ljcdn.com/210100-inspection/68be68e6-5c7d-4b95-a978-a89f0eb4a434.JPG.296x216.jpg', '圆缘雅居 两室户型 采光充足 出行方便', '圆缘雅居  | 2室1厅 | 85平米 | 东南 | 简装', '高楼层(共11层)板楼  -  大东区', '52万', '单价6118元/平米')
('https://image1.ljcdn.com/210100-inspection/3e6d02f4-9088-4e3e-b408-c493e0b612e0.jpg.296x216.jpg', '吉祥 文华园 南北两居室 多层 不把山', '文华园  | 2室2厅 | 117.37平米 | 南 北 | 精装', '中楼层(共6层)2003年建板楼  -  大东区', '115万', '单价9799元/平米')
('https://image1.ljcdn.com/210100-inspection/8aadde0f-fd50-4c30-8d88-6b5daebf2c45.JPG.296x216.jpg', '林韵春天 2室1厅 68万', '林韵春天  | 2室1厅 | 89.88平米 | 南 北 | 简装', '中楼层(共11层)2005年建板楼  -  大东区', '68万', '单价7566元/平米')
('https://image1.ljcdn.com/210100-inspection/8a496457-15ec-49dd-a437-e0e3f113702c.jpg.296x216.jpg', '大东区  御泉华庭  三室两厅两卫  高楼层', '御泉华庭  | 3室2厅 | 127平米 | 南 北 | 精装', '高楼层(共6层)2007年建板楼  -  大东区', '203万', '单价15985元/平米')
('https://image1.ljcdn.com/210100-inspection/10f285e2-cf97-4289-b839-b15670162a41.jpg.296x216.jpg', '八王寺御泉华庭 标准三室 无电梯间', '御泉华庭  | 3室2厅 | 132.82平米 | 南 北 | 精装', '低楼层(共18层)2007年建板楼  -  大东区', '185万', '单价13929元/平米')
('https://image1.ljcdn.com/210100-inspection/1f342c06-1393-4855-985d-3a3fb2a0d940.JPG.296x216.jpg', '大东区圣淘沙家园多层一楼南北两室领包即住', '圣淘沙家园  | 2室2厅 | 110平米 | 南 北 | 精装', '低楼层(共7层)2004年建板楼  -  大东区', '78万', '单价7091元/平米')
('https://image1.ljcdn.com/210100-inspection/495b0c3f-9e5e-4f8e-a2dd-53f8986d8d11.JPG.296x216.jpg', '万恒愿景   高层两室   拎包入住', '万恒愿景  | 2室2厅 | 86.26平米 | 西南 | 精装', '高楼层(共25层)板楼  -  大东区', '74万', '单价8579元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload2433c642-df81-4703-8030-ad7ba20f5432.jpg.296x216.jpg', '大东 八王寺 叠拼别墅 大户型 不把山不临街 五室三卫', '万科金色家园  | 5室2厅 | 238.41平米 | 南 北 | 精装', '低楼层(共3层)2005年建板楼  -  大东区', '355万', '单价14891元/平米')
('https://image1.ljcdn.com/210100-inspection/d00a596a-33f5-45e0-b2b0-2a3135248e54.jpg.296x216.jpg', '大东 城中艺景 南北两居室 楼层好 视野好', '城中艺景  | 2室2厅 | 100.83平米 | 南 北 | 精装', '中楼层(共26层)2007年建板楼  -  大东区', '127万', '单价12596元/平米')
('https://image1.ljcdn.com/210100-inspection/4216243d-aa3f-4c21-8f01-fe514d4968e7.jpg.296x216.jpg', '大东园丁园教师新村，2室两厅，1厨一卫', '园丁园教师新村  | 2室2厅 | 106平米 | 南 北 | 简装', '中楼层(共6层)板楼  -  大东区', '84万', '单价7925元/平米')
('https://image1.ljcdn.com/210100-inspection/c868b169-0062-47dc-ba5a-f0f7e487d2c5.jpg.296x216.jpg', '吉祥文华园 三室两卫 全明户型 采光充足 精装修', '文华园  | 3室2厅 | 129.88平米 | 南 北 | 精装', '高楼层(共18层)2003年建板楼  -  大东区', '108万', '单价8316元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload7f34de02-8a7d-426a-9cd0-ad43e1568be5.jpg.296x216.jpg', '大东区八王寺边墙路35号  楼层好 采光好', '边墙路35  | 3室2厅 | 124.78平米 | 东 南 西 | 其他', '中楼层(共8层)1990年建板楼  -  大东区', '92万', '单价7373元/平米')
('https://image1.ljcdn.com/210100-inspection/1bd327d5-9499-4956-8250-62c31eeb83c9.JPG.296x216.jpg', '大东区梧桐馨园多层 采光好 视野好', '梧桐馨园  | 1室1厅 | 58.67平米 | 南 北 | 简装', '高楼层(共6层)2002年建板楼  -  大东区', '35万', '单价5966元/平米')
('https://image1.ljcdn.com/210100-inspection/c16df69a-a790-4a31-94da-161bcc8b0ef6.jpg.296x216.jpg', '大东 八王寺 万科金色家园 南北通透 采光好', '万科金色家园  | 4室2厅 | 214.14平米 | 南 北 | 精装', '中楼层(共18层)2005年建板楼  -  大东区', '265万', '单价12376元/平米')
('https://image1.ljcdn.com/210100-inspection/ca70acfb-7577-49f7-8e85-62655552ac17.jpg.296x216.jpg', '大东 金地铂悦 南北两居室 楼层好 视野好', '金地铂悦  | 2室2厅 | 92.13平米 | 南 北 | 精装', '中楼层(共18层)暂无数据  -  大东区', '120万', '单价13026元/平米')
('https://image1.ljcdn.com/210100-inspection/27a5712b-c5d5-4ac2-95c3-7c16e2174411.JPG.296x216.jpg', '大东区筑景东方  装修保持好 拎包入住', '筑景东方  | 3室2厅 | 128.73平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  大东区', '76万', '单价5904元/平米')
('https://image1.ljcdn.com/210100-inspection/c3f91062-6a13-4b95-8250-0e33e80ba037.jpg.296x216.jpg', '林韵春天  两居室 精装修 采光足', '林韵春天  | 2室2厅 | 84.23平米 | 南 北 | 精装', '中楼层(共11层)2005年建板楼  -  大东区', '60万', '单价7124元/平米')
('https://image1.ljcdn.com/210100-inspection/8195ae8b-ab06-455c-8495-13130daa27e0.jpg.296x216.jpg', '大华水岸府邸 2室2厅 105万', '大华水岸府邸  | 2室2厅 | 94.33平米 | 南 | 其他', '高楼层(共18层)2006年建板楼  -  大东区', '105万', '单价11132元/平米')
('https://image1.ljcdn.com/210100-inspection/1f8f6894-1795-4157-9860-cde105cd922b.JPG.296x216.jpg', '大东 东中街 南北通透三居室 精装修 高楼层', '天龙家园  | 3室1厅 | 105平米 | 南 北 | 简装', '高楼层(共7层)板楼  -  大东区', '85万', '单价8096元/平米')
('https://image1.ljcdn.com/210100-inspection/b57279db-5671-418a-94fb-c7e65abe78f1.jpg.296x216.jpg', '大东区 东中街 香檀1917 东北向两室 彩光好', '香檀1917  | 2室1厅 | 78.27平米 | 东北 | 简装', '中楼层(共35层)2008年建板楼  -  大东区', '75万', '单价9583元/平米')
('https://image1.ljcdn.com/210100-inspection/4cdf5e99-c9d3-4aac-8330-97a9b0a238cc.jpg.296x216.jpg', '大东 吉祥花园 三室两厅 低楼层 出行方便 精装修', '吉祥花园  | 3室2厅 | 159.35平米 | 南 北 | 简装', '中楼层(共7层)2002年建板楼  -  大东区', '96万', '单价6025元/平米')
('https://image1.ljcdn.com/210100-inspection/26219b8e-288d-4b28-820f-d8cc86a2c582.JPG.296x216.jpg', '大东 华诚阳光 两室一厅一厨一卫', '华诚阳光  | 2室1厅 | 68.86平米 | 南 北 | 简装', '中楼层(共6层)2005年建板楼  -  大东区', '50万', '单价7262元/平米')
('https://image1.ljcdn.com/210100-inspection/20f08203-f5b2-482c-b1bf-0e17bf3c02c7.JPG.296x216.jpg', '装修好 不挡光 东西全带 格局方正', '香檀1917  | 2室1厅 | 88平米 | 西南 | 精装', '高楼层(共34层)2008年建板楼  -  大东区', '88万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/8f2f264c-8ad8-43b4-8437-25384603416e.jpg.296x216.jpg', '东方银座中心城 2室2厅 95万', '东方银座中心城  | 2室2厅 | 91平米 | 南 北 | 其他', '高楼层(共32层)板楼  -  大东区', '95万', '单价10440元/平米')
('https://image1.ljcdn.com/210100-inspection/2cedc08a-94c3-4c77-82f5-665c5a9b380b.JPG.296x216.jpg', '大东 东方俪城 无遮挡 采光好', '万恒东方俪城四期  | 3室2厅 | 128平米 | 南 北 | 精装', '高楼层(共6层)2005年建板楼  -  大东区', '120万', '单价9375元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload825c6281-9917-4e11-91e2-ca8498c573f2.jpg.296x216.jpg', '东站商圈 一室一厅 南北通透 高楼层采光好', '万恒领域  | 1室1厅 | 70.33平米 | 南 北 | 精装', '高楼层(共18层)2009年建板楼  -  大东区', '46万', '单价6541元/平米')
('https://image1.ljcdn.com/210100-inspection/58b56ef3-c00c-481b-b22b-e282641e99de.jpg.296x216.jpg', '大东吉祥东星花庭 东南朝向两室 配套完善居住舒适', '东星花庭  | 2室1厅 | 89.74平米 | 东南 | 精装', '中楼层(共24层)2011年建板楼  -  大东区', '90万', '单价10029元/平米')
('https://image1.ljcdn.com/210100-inspection/2d540a8e-1676-48b7-b469-78b568c120c6.jpg.296x216.jpg', '大东区 金地铂悦 三室 装修好 拎包入住', '金地铂悦  | 3室2厅 | 131.77平米 | 南 北 | 精装', '高楼层(共29层)2016年建板楼  -  大东区', '151万', '单价11460元/平米')
('https://image1.ljcdn.com/210100-inspection/4de68d12-488e-4961-9044-c353eef6df12.jpg.296x216.jpg', '枫景瑞阁 2室2厅 83万', '枫景瑞阁  | 2室2厅 | 93平米 | 南 北 | 其他', '中楼层(共7层)板楼  -  大东区', '83万', '单价8925元/平米')
('https://image1.ljcdn.com/210100-inspection/09fcce3c-ffa3-4f3e-b5f3-1464c5cbccb4.JPG.296x216.jpg', '万科蓝山  两居室 精装修 采光足', '万科蓝山  | 2室1厅 | 89.16平米 | 南 北 | 精装', '高楼层(共25层)2012年建板楼  -  大东区', '90万', '单价10095元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploada98df704-ad98-47b1-81de-fd9e7471c9f2.jpg.296x216.jpg', '大东区 二环内 巧克力城  楼层好采光好 南北通透 满五', '巧克力城  | 1室1厅 | 50.63平米 | 南 北 | 简装', '低楼层(共18层)2016年建板楼  -  大东区', '35万', '单价6913元/平米')
('https://image1.ljcdn.com/210100-inspection/d386fa05-b607-4257-9092-bf0cc28240bb.JPG.296x216.jpg', '大东 汇馨家园 南北通透 采光充足 精装修', '汇馨家园  | 2室2厅 | 115平米 | 南 北 | 精装', '中楼层(共9层)2005年建板楼  -  大东区', '115万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/870bbec5-56c7-4fc5-9d66-6cf09d3d5ac5.jpg.296x216.jpg', '八王寺御泉华庭 标准三室 南北通透 无遮挡', '御泉华庭  | 3室2厅 | 115平米 | 南 北 | 精装', '高楼层(共6层)2007年建板楼  -  大东区', '120万', '单价10435元/平米')
('https://image1.ljcdn.com/210100-inspection/1ea3ea32-3471-40e4-9e73-ac168ba615ef.JPG.296x216.jpg', '拎包入住采光充足房间空间大适合居住', '梧桐园  | 3室2厅 | 148.8平米 | 南 北 | 简装', '中楼层(共8层)2002年建板楼  -  大东区', '105万', '单价7057元/平米')
('https://image1.ljcdn.com/210100-inspection/b9c1e275-5550-4a89-95d5-6670c907f229.JPG.296x216.jpg', '大东  上园小区 南北小两居 精装修 拎包入住', '上园小区  | 2室1厅 | 62.25平米 | 南 北 | 精装', '高楼层(共7层)1987年建板楼  -  大东区', '40万', '单价6426元/平米')
('https://image1.ljcdn.com/210100-inspection/956b3d38-be1d-44c4-9851-6b3b38a67a84.jpg.296x216.jpg', '大东区 御泉华庭 标准两室 南北通透 交通便利', '御泉华庭  | 2室2厅 | 92.78平米 | 南 北 | 精装', '高楼层(共12层)2007年建板楼  -  大东区', '108万', '单价11641元/平米')
('https://image1.ljcdn.com/210100-inspection/cb3b4936-eb7c-4d89-a05e-5360f11389fb.JPG.296x216.jpg', '大东东站枫景瑞阁 婚房装修 中高楼层视野开阔', '枫景瑞阁  | 2室2厅 | 104.2平米 | 南 北 | 精装', '中楼层(共11层)板楼  -  大东区', '86万', '单价8254元/平米')
('https://image1.ljcdn.com/210100-inspection/7b451a80-9dc0-4b21-8981-7feab1c2d0c2.jpg.296x216.jpg', '大东 天龙家园 南北通透户型 不把山', '天龙家园  | 3室2厅 | 146.45平米 | 南 北 | 精装', '中楼层(共16层)2003年建板楼  -  大东区', '155万', '单价10584元/平米')
('https://image1.ljcdn.com/210100-inspection/4a04606b-1f02-40a6-9397-51136e3d6a7b.JPG.296x216.jpg', '大东东中街 龙净运河湾 高楼层 视野开阔', '龙净运河湾3号  | 3室2厅 | 116平米 | 南 北 | 精装', '高楼层(共24层)2013年建板楼  -  大东区', '151万', '单价13018元/平米')
('https://image1.ljcdn.com/210100-inspection/f6bafac5-dbbd-4427-99a3-4d9c92461dd3.jpg.296x216.jpg', '大东区 鸿泽园 精装两居室 双南卧 中间楼层 采光充足', '鸿泽园  | 2室2厅 | 99平米 | 南 北 | 精装', '中楼层(共7层)2004年建板楼  -  大东区', '90万', '单价9091元/平米')
('https://image1.ljcdn.com/210100-inspection/04529090-9b42-4195-a346-144aaeade5a0.jpg.296x216.jpg', '八王寺 中 央公馆 三室户型  清水无装修 高层采光好', '中央公馆  | 3室2厅 | 152.04平米 | 南 北 | 毛坯', '高楼层(共19层)2006年建板楼  -  大东区', '150万', '单价9866元/平米')
('https://image1.ljcdn.com/210100-inspection/2ace2599-0fce-41f8-b50b-0a25224b66a6.jpg.296x216.jpg', '大东 两室两厅一厨一卫 采光好', '万和顺景  | 2室1厅 | 102平米 | 南 北 | 简装', '高楼层(共6层)暂无数据  -  大东区', '85万', '单价8334元/平米')
('https://image1.ljcdn.com/210100-inspection/6519c855-c338-466d-9388-64ca7cb7b1d9.jpg.296x216.jpg', '大东吉祥 锦联左岸 三室一卫 不临街 装修保持好', '锦联左岸  | 3室2厅 | 102平米 | 南 北 | 精装', '低楼层(共32层)2010年建板楼  -  大东区', '118万', '单价11569元/平米')
