('https://image1.ljcdn.com/440600-inspection/0f1800d2-f314-450d-845b-3beaa9b01a93.jpg.296x216.jpg', '精装修3房 大阳台 送入户花园 家私电器全送  满五年', '金河水岸  | 3室2厅 | 109.21平米 | 北 | 精装', '中楼层(共26层)2009年建塔楼  -  乐从', '148万', '单价13552元/平米')
('https://image1.ljcdn.com/440600-inspection/e1e67e6b-5e97-4d8a-8984-ce94cee46041.jpg.296x216.jpg', '乐从河景苑 精装四房 望花园 安静 光线充足', '乐从河景苑  | 4室2厅 | 150平米 | 北 | 精装', '低楼层(共10层)塔楼  -  乐从', '180万', '单价12000元/平米')
('https://image1.ljcdn.com/440600-inspection/3d6de9a0-a23f-4989-8dc1-fedf1f8fcaf0.JPG.296x216.jpg', '华都豪庭 2室2厅 110万', '华都豪庭  | 2室2厅 | 78.6平米 | 南 | 其他', '中楼层(共7层)2005年建板楼  -  大良中区', '110万', '单价13995元/平米')
('https://image1.ljcdn.com/440600-inspection/09b4aea8-e944-46d3-8dff-c585e558ae08.JPG.296x216.jpg', '新世界名门天下 1室1厅 83万', '新世界名门天下  | 1室1厅 | 50.44平米 | 西北 | 其他', '中楼层(共30层)2012年建塔楼  -  大良中区', '83万', '单价16456元/平米')
('https://image1.ljcdn.com/440600-inspection/1241972a-abd8-45e7-9bda-b35c388cf555.jpg.296x216.jpg', '嘉信城市花园三期 绿树优美 入住舒适', '嘉信城市花园三期  | 3室2厅 | 152平米 | 东 | 毛坯', '中楼层(共23层)2011年建塔楼  -  大良新区', '250万', '单价16448元/平米')
('https://image1.ljcdn.com/440600-inspection/9bcaa861-6bb4-4629-9750-7178e36b91fe.jpg.296x216.jpg', '佛奥湾  园林小区 生活便利', '佛奥湾  | 4室2厅 | 146平米 | 东 | 其他', '37层2018年建板塔结合  -  乐从', '190万', '单价13014元/平米')
('https://image1.ljcdn.com/440600-inspection/f76a0dfb-c6d6-4a13-896f-be404c422c6f.jpg.296x216.jpg', '美的时代城 花园小区 中等装修 拎包入住', '美的时代城  | 3室2厅 | 98.37平米 | 南 | 简装', '低楼层(共17层)2014年建塔楼  -  杏坛', '137万', '单价13928元/平米')
('https://image1.ljcdn.com/440600-inspection/94bf5c25-ad2a-432e-8098-26ca2e923adb.jpg.296x216.jpg', '康格斯花园紫荆苑 2室2厅 115万', '康格斯花园紫荆苑  | 2室2厅 | 86.31平米 | 东南 | 其他', '中楼层(共18层)2009年建塔楼  -  大良西北区', '115万', '单价13325元/平米')
('https://image1.ljcdn.com/440600-inspection/6c1901fb-0968-4eb1-ae42-dcea313cfb8a.jpg.296x216.jpg', '岭岚花园雍翠轩 3室2厅 160万', '岭岚花园雍翠轩  | 3室2厅 | 120平米 | 南 | 其他', '中楼层(共7层)2006年建塔楼  -  大良西北区', '160万', '单价13334元/平米')
('https://image1.ljcdn.com/440600-inspection/e8b6342a-1137-4ea0-88ed-afd346eb993f.jpg.296x216.jpg', '顺德雅居乐花园 生活配套成熟', '顺德雅居乐花园  | 3室2厅 | 106.68平米 | 西南 | 毛坯', '高楼层(共26层)2011年建塔楼  -  大良南区', '168万', '单价15749元/平米')
('https://image1.ljcdn.com/440600-inspection/00a16e20-872f-496e-beaa-5289cba8461d.jpg.296x216.jpg', '乐从保利拉菲 装修自住3房 格局好', '保利公园里（保利紫荆公馆）  | 3室2厅 | 98平米 | 南 | 毛坯', '高楼层(共18层)2017年建塔楼  -  乐从', '160万', '单价16327元/平米')
('https://image1.ljcdn.com/440600-inspection/46702504-ae8b-4800-a824-a8ab28ca18fc.jpg.296x216.jpg', '依云水岸别墅 花园小区', '依云水岸四期   | 独栋别墅 | 5室2厅 | 407平米 | 南 | 毛坯', '1层2011年建暂无数据  -  乐从', '1000万', '单价24571元/平米')
('https://image1.ljcdn.com/440600-inspection/8c16b66f-009c-4353-b6bf-e724834df17a.jpg.296x216.jpg', '康格斯花园紫荆苑 2室2厅 120万', '康格斯花园紫荆苑  | 2室2厅 | 81.81平米 | 西北 | 其他', '低楼层(共11层)2009年建塔楼  -  大良西北区', '120万', '单价14669元/平米')
('https://image1.ljcdn.com/440600-inspection/ee052010-0923-4663-b225-fbd2736e296f.jpg.296x216.jpg', '景鸿楼 安静舒适', '景鸿楼  | 4室2厅 | 112.4平米 | 南 | 精装', '高楼层(共7层)2002年建板楼  -  大良东区', '142万', '单价12634元/平米')
('https://image1.ljcdn.com/440600-inspection/f75c3491-15b7-4528-9170-c9e7c7c42f66.jpg.296x216.jpg', '嘉信城市花园三期 景观好', '嘉信城市花园三期  | 3室2厅 | 120.33平米 | 西南 | 毛坯', '高楼层(共22层)2011年建塔楼  -  大良新区', '175万', '单价14544元/平米')
('https://image1.ljcdn.com/440600-inspection/9c8ae046-0ddd-4577-a612-1e39a05cef52.jpg.296x216.jpg', '东区小区3房 园 格局方正', '名门豪苑  | 3室2厅 | 137平米 | 南 | 精装', '低楼层(共17层)2007年建塔楼  -  大良东区', '250万', '单价18249元/平米')
('https://image1.ljcdn.com/440600-inspection/0d7ef8b8-8178-4c98-8703-244389044101.jpg.296x216.jpg', '怡翠晋盛 毛坯3房 实用户型', '怡翠晋盛花园  | 3室1厅 | 91.35平米 | 西南 | 毛坯', '高楼层(共37层)2016年建塔楼  -  乐从', '191.9万', '单价21000元/平米')
('https://image1.ljcdn.com/440600-inspection/2a3e984a-6e59-4a5c-b167-3370cc75d58f.jpg.296x216.jpg', '嘉信城市广场 2室2厅 120万', '嘉信城市广场  | 2室2厅 | 66平米 | 西北 | 其他', '高楼层(共13层)2014年建塔楼  -  大良新区', '120万', '单价18182元/平米')
('https://image1.ljcdn.com/440600-inspection/d5859750-5c56-4b9e-a735-8ea1021bdc98.jpg.296x216.jpg', '泰裕大厦 3室2厅 107万', '泰裕大厦  | 3室2厅 | 95.7平米 | 东南 | 毛坯', '高楼层(共15层)2005年建塔楼  -  乐从', '107万', '单价11181元/平米')
('https://image1.ljcdn.com/440600-inspection/f6138a66-1013-46f7-a4da-a93225887c04.jpg.296x216.jpg', '依云水岸 舒适四房 南北对流 环境优美', '依云水岸二期  | 4室2厅 | 190平米 | 南 北 | 毛坯', '中楼层(共42层)2010年建塔楼  -  乐从', '442万', '单价23264元/平米')
('https://image1.ljcdn.com/440600-inspection/995c5d46-265d-4b4f-ba96-bc88920eda0d.jpg.296x216.jpg', '怡翠晋盛 东南向 交通方便', '怡翠晋盛花园  | 3室2厅 | 91平米 | 东南 | 毛坯', '高楼层(共37层)2016年建塔楼  -  乐从', '200万', '单价21979元/平米')
('https://image1.ljcdn.com/440600-inspection/e25f58bd-cbec-4d97-8a7a-fdfdae7bf7d9.jpg.296x216.jpg', '嘉信城市花园三期 环境舒适', '嘉信城市花园三期  | 3室2厅 | 150平米 | 东南 | 精装', '高楼层(共9层)2011年建塔楼  -  大良新区', '225万', '单价15000元/平米')
('https://image1.ljcdn.com/440600-inspection/78d22cf6-6e62-4f16-953e-c219ae02fca2.jpg.296x216.jpg', '帝锋康庭 1室0厅 28万', '帝锋康庭  | 1室0厅 | 31.89平米 | 东 | 简装', '20层2008年建板塔结合  -  乐从', '28万', '单价8781元/平米')
('https://image1.ljcdn.com/440600-inspection/6a620a48-de53-419d-8a3c-aa2e01c3b58c.jpg.296x216.jpg', '保利中环广场 中悦花园 望江景', '保利中环广场四期中悦花园  | 3室2厅 | 114.59平米 | 东南 | 毛坯', '中楼层(共36层)2016年建塔楼  -  大良新区', '207万', '单价18065元/平米')
('https://image1.ljcdn.com/440600-inspection/af061a7b-8e9e-4a68-b4bb-235e0b8cde0b.jpg.296x216.jpg', '星湖湾 格局方正 毛坯3房', '星湖湾  | 4室2厅 | 125平米 | 南 | 其他', '低楼层(共15层)2016年建塔楼  -  乐从', '150万', '单价12000元/平米')
('https://image1.ljcdn.com/440600-inspection/51a3ba66-cde2-448e-b977-8b1166e45c46.JPG.296x216.jpg', '碧桂花城 四房二厅', '碧桂花城翠湖畔三区  | 4室2厅 | 180平米 | 东 | 其他', '中楼层(共12层)2001年建塔楼  -  陈村', '305万', '单价16945元/平米')
('https://image1.ljcdn.com/440600-inspection/c740f6f4-e171-4e29-a77c-88ee93d4c840.jpg.296x216.jpg', '金宇名都 3室2厅 130万', '金宇名都  | 3室2厅 | 94.68平米 | 北 | 其他', '高楼层(共24层)2009年建平房  -  乐从', '130万', '单价13731元/平米')
('https://image1.ljcdn.com/440600-inspection/98d2a1aa-2b72-4c96-8609-39d9583dc983.jpg.296x216.jpg', '顺德雅居乐花园 南区大型成熟小区', '顺德雅居乐花园  | 3室2厅 | 108平米 | 南 | 毛坯', '高楼层(共25层)2011年建塔楼  -  大良南区', '240万', '单价22223元/平米')
('https://image1.ljcdn.com/440600-inspection/c36e0f19-eaa7-499e-b724-7b110ca5b863.jpg.296x216.jpg', '海悦新城 交通方便 环境优美', '海悦新城  | 3室2厅 | 129平米 | 南 | 毛坯', '低楼层(共17层)2010年建塔楼  -  大良东区', '238万', '单价18450元/平米')
('https://image1.ljcdn.com/440600-inspection/2638aebf-d9dc-4d45-a254-82887f782d74.jpg.296x216.jpg', '柏利广场 交通便利', '柏利广场  | 4室2厅 | 120平米 | 南 | 简装', '低楼层(共8层)2004年建塔楼  -  大良西北区', '138万', '单价11500元/平米')
('https://image1.ljcdn.com/440600-inspection/c46f30c5-391f-4583-8a27-3a83e52b7f4b.jpg.296x216.jpg', '湖畔湾 3房2厅', '湖畔湾豪庭三期澳丽轩  | 3室2厅 | 126平米 | 南 | 精装', '高楼层(共8层)2006年建板塔结合  -  乐从', '126万', '单价10000元/平米')
('https://image1.ljcdn.com/440600-inspection/96dd2852-f056-4a7c-becf-ffb00fb5e410.jpg.296x216.jpg', '保利第五大道 毛坯四房 高层舒畅', '保利中环三期第五大道  | 4室2厅 | 143平米 | 南 | 毛坯', '中楼层(共27层)2016年建塔楼  -  大良新区', '225万', '单价15735元/平米')
('https://image1.ljcdn.com/440600-inspection/1b5e6efd-2931-4a63-8af6-2e9e6ec27e3b.JPG.296x216.jpg', '连云小区 3室1厅 100万', '连云小区  | 3室1厅 | 104平米 | 东南 | 其他', '中楼层(共7层)板楼  -  大良北区', '100万', '单价9616元/平米')
('https://image1.ljcdn.com/440600-inspection/ed07f713-d335-4644-bc78-da7b82d7736b.jpg.296x216.jpg', '康城花园牡丹园 2室2厅 142万', '康城花园牡丹园  | 2室2厅 | 95平米 | 南 | 其他', '中楼层(共7层)2004年建塔楼  -  大良东区', '142万', '单价14948元/平米')
('https://image1.ljcdn.com/440600-inspection/3feeec01-e83d-4ff9-9058-eaf20ce685db.jpg.296x216.jpg', '名门豪苑 4室2厅 300万', '名门豪苑  | 4室2厅 | 153平米 | 南 | 其他', '中楼层(共8层)2007年建塔楼  -  大良东区', '300万', '单价19608元/平米')
('https://image1.ljcdn.com/440600-inspection/31d67025-bc96-4d89-a913-4cb9588bc97b.JPG.296x216.jpg', '星英半岛 两房两厅', '星英半岛  | 2室2厅 | 79.6平米 | 南 | 毛坯', '低楼层(共27层)2016年建塔楼  -  陈村', '130万', '单价16332元/平米')
('https://image1.ljcdn.com/440600-inspection/0bcef3f6-f9cd-438c-a3a6-fdc35f2a3b0c.jpg.296x216.jpg', '金海M-CITY 两房两厅一卫', '金海MCITY  | 2室2厅 | 85平米 | 北 | 其他', '中楼层(共51层)2015年建塔楼  -  乐从', '180万', '单价21177元/平米')
('https://image1.ljcdn.com/440600-inspection/b7b5f900-7ae8-488a-be84-d846a183eda0.jpg.296x216.jpg', '奥园华庭，小区中间，南北通透，大阳台朝南', '奥园华庭  | 3室2厅 | 102.62平米 | 南 | 精装', '中楼层(共7层)2003年建板楼  -  大良东区', '180万', '单价17541元/平米')
('https://image1.ljcdn.com/440600-inspection/a29bcae6-e574-4dea-af25-006e497b6c3d.JPG.296x216.jpg', '翠庭轩 4室2厅 188万', '翠庭轩  | 4室2厅 | 150平米 | 北 | 其他', '中楼层(共7层)2000年建板楼  -  大良北区', '188万', '单价12534元/平米')
('https://image1.ljcdn.com/440600-inspection/9f7a6cef-8def-4e2f-913a-39380afca655.jpg.296x216.jpg', '博澳城 小区花园', '博澳城  | 4室2厅 | 254平米 | 东南 | 毛坯', '中楼层(共6层)2009年建塔楼  -  大良北区', '305万', '单价12008元/平米')
('https://image1.ljcdn.com/440600-inspection/9cc1d94f-c9ed-43dd-888a-ab5a0f3b72ad.jpg.296x216.jpg', '书院路丽景苑 2室1厅 87万', '书院路丽景苑  | 2室1厅 | 81.7平米 | 东南 | 其他', '中楼层(共7层)塔楼  -  容桂', '87万', '单价10649元/平米')
('https://image1.ljcdn.com/440600-inspection/83799e83-31f2-4112-ae40-01e65de9eeb0.jpg.296x216.jpg', '乐然水畔 5室3厅 430万', '乐然水畔  | 5室3厅 | 228平米 | 南 | 其他', '低楼层(共11层)2010年建塔楼  -  大良南区', '430万', '单价18860元/平米')
('https://image1.ljcdn.com/440600-inspection/63edcd99-3958-4a68-ba4a-5d109619c90a.jpg.296x216.jpg', '首誉 毛坯三房', '首誉  | 3室2厅 | 117.9平米 | 南 | 其他', '高楼层(共11层)2008年建塔楼  -  大良西北区', '165万', '单价13995元/平米')
('https://image1.ljcdn.com/440600-inspection/e0ef7ca1-4cf3-4a9a-8dcd-8e2a97a55a5b.jpg.296x216.jpg', '怡居园 环境优美', '怡居园  | 4室2厅 | 127.28平米 | 南 | 其他', '低楼层(共7层)2006年建板楼  -  大良东区', '165万', '单价12964元/平米')
('https://image1.ljcdn.com/440600-inspection/f257b088-f759-4e09-982a-4518bf597b79.jpg.296x216.jpg', '天鹅湖 3房出售', '顺德华侨城天鹅湖  | 3室2厅 | 117平米 | 南 | 其他', '16层2016年建塔楼  -  大良东区', '240万', '单价20513元/平米')
('https://image1.ljcdn.com/440600-inspection/0e86c78a-6581-490c-a8df-c519f006ab62.jpg.296x216.jpg', '汇成华庭 1室1厅 80万', '汇成华庭  | 1室1厅 | 53.82平米 | 东 | 精装', '12层2006年建板塔结合  -  大良南区', '80万', '单价14865元/平米')
('https://image1.ljcdn.com/440600-inspection/160d873b-43bf-47c4-85b4-942a469600c8.jpg.296x216.jpg', '金河水岸 3室2厅 160万', '金河水岸  | 3室2厅 | 120平米 | 北 | 其他', '中楼层(共26层)2009年建塔楼  -  乐从', '160万', '单价13334元/平米')
('https://image1.ljcdn.com/440600-inspection/2fff5af8-83e0-484d-a79a-3b1fcabd7ce9.jpg.296x216.jpg', '佛奥湾 毛坯四房 格局方正', '佛奥湾  | 4室2厅 | 217平米 | 东南 | 毛坯', '39层2018年建板塔结合  -  乐从', '248万', '单价11429元/平米')
('https://image1.ljcdn.com/440600-inspection/42e4acd8-8e46-4f0c-9654-b0f6453c07b7.JPG.296x216.jpg', '东乐楼 2室2厅 99万', '东乐楼  | 2室2厅 | 77.1平米 | 北 | 其他', '高楼层(共7层)板楼  -  大良东区', '99万', '单价12841元/平米')
('https://image1.ljcdn.com/440600-inspection/f596c4c2-6d84-4d45-af7d-4ed6502dd40a.jpg.296x216.jpg', '金威郦都复式5房 层高6米 随时看房', '金威郦都  | 5室2厅 | 109.25平米 | 西 | 其他', '低楼层(共21层)2012年建塔楼  -  乐从', '170万', '单价15561元/平米')
('https://image1.ljcdn.com/440600-inspection/7b4f07a7-68ef-4abc-9ca4-3ed97142bea8.jpg.296x216.jpg', '保利东景 新毛坯三房 二线望江 向小区 带产权车位', '保利东湾东景花园  | 3室2厅 | 121.69平米 | 东北 | 毛坯', '高楼层(共28层)2014年建塔楼  -  乐从', '320万', '单价26297元/平米')
('https://image1.ljcdn.com/440600-inspection/5eb95a4f-a4d6-4eaa-abb0-2f9276458de0.jpg.296x216.jpg', '乐从佛奥湾 电梯洋房 花园小区', '佛奥湾  | 4室2厅 | 225平米 | 南 | 毛坯', '39层2018年建塔楼  -  乐从', '320万', '单价14223元/平米')
('https://image1.ljcdn.com/440600-inspection/a1bfb222-1e96-4428-bf83-f3b8dd080ecb.jpg.296x216.jpg', '顺德保利中环广场毛坯三房', '保利中环三期第五大道  | 3室2厅 | 105平米 | 东南 | 毛坯', '低楼层(共27层)2016年建塔楼  -  大良新区', '178万', '单价16953元/平米')
('https://image1.ljcdn.com/440600-inspection/b55dc3c6-de04-4a67-9432-89577812ad4b.jpg.296x216.jpg', '昌裕花园 花园小区管理', '昌裕花园  | 3室2厅 | 120平米 | 南 北 | 精装', '高楼层(共7层)2000年建板楼  -  大良中区', '96万', '单价8000元/平米')
('https://image1.ljcdn.com/440600-inspection/0c091b95-6207-4da0-bad1-fe5dc11dc0fe.jpg.296x216.jpg', '银业楼 3室2厅 106.8万', '银业楼  | 3室2厅 | 118平米 | 南 | 其他', '高楼层(共8层)塔楼  -  大良北区', '106.8万', '单价9051元/平米')
('https://image1.ljcdn.com/440600-inspection/97e33c5e-fcda-4b63-829c-c5e91bd8df06.jpg.296x216.jpg', '佛山奥园美林水岸 3室2厅 202万', '佛山奥园美林水岸  | 3室2厅 | 121平米 | 东南 | 其他', '高楼层(共18层)2008年建塔楼  -  乐从', '202万', '单价16695元/平米')
('https://image1.ljcdn.com/440600-inspection/9752bed7-8e4b-4027-a348-e7e75c32b0a8.jpg.296x216.jpg', '海悦新城 毛坏房 交通方便', '海悦新城  | 4室2厅 | 225平米 | 东 西 | 毛坯', '低楼层(共21层)2010年建塔楼  -  大良东区', '420万', '单价18667元/平米')
('https://image1.ljcdn.com/440600-inspection/76c78801-d9df-4779-b20e-ea3f0755e84d.jpg.296x216.jpg', '金威郦都 3室3厅 155万', '金威郦都  | 3室3厅 | 109平米 | 北 | 其他', '中楼层(共21层)2012年建塔楼  -  乐从', '155万', '单价14221元/平米')
('https://image1.ljcdn.com/440600-inspection/1fada131-69a7-4089-b4ac-a5e25ecce201.jpg.296x216.jpg', '万科水晶城 3室2厅 190万', '万科水晶城  | 3室2厅 | 89.97平米 | 南 | 其他', '低楼层(共33层)塔楼  -  陈村', '190万', '单价21119元/平米')
('https://image1.ljcdn.com/440600-inspection/d1c4357a-49a5-4d87-9dca-e58ae364da9e.jpg.296x216.jpg', '威斯广场峰景 精装三房出售', '威斯广场峰景  | 3室2厅 | 101.06平米 | 南 | 其他', '高楼层(共25层)2005年建塔楼  -  乐从', '138万', '单价13656元/平米')
('https://image1.ljcdn.com/440600-inspection/62192c13-2ffd-408d-a268-b4319cd56961.jpg.296x216.jpg', '中间楼栋就是好， 业主诚售价格还可谈 ，地铁沿线小区', '星英半岛  | 3室2厅 | 89.17平米 | 北 | 其他', '高楼层(共32层)2016年建塔楼  -  陈村', '150万', '单价16822元/平米')
('https://image1.ljcdn.com/440600-inspection/441e3a8b-7be8-4021-b863-3c6285f56686.jpg.296x216.jpg', '佛奥湾 3房毛坯 环境优美 交通方便', '佛奥湾  | 3室2厅 | 133.25平米 | 西南 | 毛坯', '37层2018年建板塔结合  -  乐从', '195万', '单价14635元/平米')
('https://image1.ljcdn.com/440600-inspection/be87a9fd-eabc-4899-a0f3-0787c4596e96.jpg.296x216.jpg', '碧桂花城 超大三居 满五', '碧桂花城御景苑  | 3室2厅 | 126.4平米 | 南 | 其他', '高楼层(共6层)2001年建板楼  -  陈村', '175万', '单价13845元/平米')
('https://image1.ljcdn.com/440600-inspection/710093bf-db96-4f68-8b45-dec025737eaa.jpg.296x216.jpg', '碧桂花城泰和苑 2室1厅 105万', '碧桂花城泰和苑  | 2室1厅 | 60.2平米 | 北 | 其他', '高楼层(共7层)2001年建塔楼  -  陈村', '105万', '单价17442元/平米')
('https://image1.ljcdn.com/440600-inspection/91e9a93b-5165-4426-8c08-ee998fb87ce7.JPG.296x216.jpg', '龙光水悦熙园 4室2厅 165万', '龙光水悦熙园  | 4室2厅 | 111.71平米 | 西北 | 其他', '中楼层(共32层)2017年建塔楼  -  容桂', '165万', '单价14771元/平米')
('https://image1.ljcdn.com/440600-inspection/5b77cc03-56cb-4379-b423-d97c09ffc5c0.jpg.296x216.jpg', '乐从威斯广场 带装修7房', '威斯广场翡翠轩  | 6室2厅 | 290平米 | 南 北 | 其他', '高楼层(共25层)2005年建塔楼  -  乐从', '330万', '单价11380元/平米')
('https://image1.ljcdn.com/440600-inspection/4773a9d5-06a8-4fa6-81e2-3b3a37f8352c.jpg.296x216.jpg', '博澳城 3室2厅 122万', '博澳城  | 3室2厅 | 88平米 | 南 | 毛坯', '高楼层(共27层)2009年建塔楼  -  大良北区', '122万', '单价13864元/平米')
