('https://image1.ljcdn.com/210100-inspection/5432586b-66d6-4eca-bdd4-0bdfd8f2b1ab.JPG.296x216.jpg', '恒泰骏景 2室1厅 60万', '恒泰骏景  | 2室1厅 | 76.77平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  于洪区', '60万', '单价7816元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload0a8f6b09-5680-4abf-9912-499f57ffc0f7.jpg.296x216.jpg', '恒大绿洲 4室2厅 123万', '恒大绿洲  | 4室2厅 | 166.61平米 | 东 南 北 | 其他', '低楼层(共33层)2018年建板楼  -  于洪区', '123万', '单价7383元/平米')
('https://image1.ljcdn.com/210100-inspection/d6c2e5c6-0652-4c9a-9e06-51c23c05da8a.JPG.296x216.jpg', '阳光尚城4.1期 3室1厅 162万', '阳光尚城4.1期  | 3室1厅 | 135平米 | 南 北 | 毛坯', '中楼层(共4层)2012年建板楼  -  于洪区', '162万', '单价12000元/平米')
('https://image1.ljcdn.com/210100-inspection/7eba4e08-17be-46a5-b12f-0d05e6d5e921.jpg.296x216.jpg', '水调歌城3期 1楼带65平地下室', '水调歌城三期  | 3室2厅 | 98.35平米 | 南 西 北 | 其他', '低楼层(共17层)暂无数据  -  于洪区', '88万', '单价8948元/平米')
('https://image1.ljcdn.com/210100-inspection/b2f03675-8131-430c-85c6-d98ad99019fa.jpg.296x216.jpg', '恒泰七彩阳光，楼下70平，楼上赠送70平，南北通透', '七彩阳光  | 2室2厅 | 69.5平米 | 南 北 | 精装', '高楼层(共11层)2006年建板楼  -  于洪区', '75万', '单价10792元/平米')
('https://image1.ljcdn.com/210100-inspection/4ec2dd6b-a8b8-4166-b391-8da8225260b1.jpg.296x216.jpg', '满5年  楼层好 精装温馨两室 适合居住', '宏发三千院  | 2室1厅 | 69平米 | 西南 | 其他', '低楼层(共35层)2009年建板楼  -  于洪区', '55万', '单价7972元/平米')
('https://image1.ljcdn.com/210100-inspection/117e7a20-47d4-49b5-8a0a-7cac4bcd5025.jpg.296x216.jpg', '环北家园一期，不把不临，近市场', '环北家园一期  | 2室1厅 | 88.89平米 | 南 | 简装', '高楼层(共6层)暂无数据  -  于洪区', '38万', '单价4275元/平米')
('https://image1.ljcdn.com/210100-inspection/7bc82bbf-125b-4da3-9e76-1265e77832be.JPG.296x216.jpg', '恒大城一期 2室2厅 82万', '恒大城一期  | 2室2厅 | 92平米 | 东南 | 其他', '高楼层(共28层)2014年建板塔结合  -  于洪区', '82万', '单价8914元/平米')
('https://image1.ljcdn.com/210100-inspection/60b8dfa9-15a3-4aa8-9507-cfd615793521.jpg.296x216.jpg', '恒大绿洲 封闭小区 生活便利 单价7000', '恒大绿洲二期  | 3室2厅 | 136.36平米 | 东南 北 | 其他', '低楼层(共18层)2018年建板楼  -  于洪区', '96万', '单价7041元/平米')
('https://image1.ljcdn.com/210100-inspection/317b74e2-6881-4881-8c8b-c808a3e19e6e.JPG.296x216.jpg', '碧林二期 南向 采光好 一室一厅', '宏发华城世界橙郡1  | 1室1厅 | 46平米 | 南 | 简装', '高楼层(共11层)2008年建板楼  -  于洪区', '33万', '单价7174元/平米')
('https://image1.ljcdn.com/210100-inspection/a33c35db-7f21-45ff-b5cb-0679f494a045.JPG.296x216.jpg', '碧桂园银河城锦园 2室1厅 110万', '碧桂园银河城锦园  | 2室1厅 | 85平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  于洪区', '110万', '单价12942元/平米')
('https://image1.ljcdn.com/210100-inspection/484c527a-8097-4410-89fb-c38c28aafbc1.jpg.296x216.jpg', '保利溪湖林语二期 双xuequ 3室 南北 精装修  满二', '保利溪湖林语二期  | 3室2厅 | 104.64平米 | 南 北 | 精装', '中楼层(共18层)板楼  -  于洪区', '95万', '单价9079元/平米')
('https://image1.ljcdn.com/210100-inspection/f0f5f5e2-02ed-4129-a076-fe61e1aae777.jpg.296x216.jpg', '碧桂园银河城星语苑 3室2厅 110万', '碧桂园银河城星语苑  | 3室2厅 | 135.5平米 | 南 北 | 其他', '低楼层(共30层)板楼  -  于洪区', '110万', '单价8119元/平米')
('https://image1.ljcdn.com/210100-inspection/91503a9d-cbdb-4f02-b93f-8dda56c8f5fe.JPG.296x216.jpg', '依云北郡B区，2室2厅1厨1卫，南北通透，清水房', '依云北郡B区  | 2室2厅 | 94.46平米 | 南 北 | 毛坯', '高楼层(共6层)2008年建板楼  -  于洪区', '98万', '单价10375元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload8cacd215-a0af-4246-bd70-2ccaf61184c2.JPG.296x216.jpg', '于洪怒江北 银亿万万城复式 精装两室 配套齐全', '银亿万万城  | 2室1厅 | 49.48平米 | 东 | 简装', '高楼层(共11层)2008年建板楼  -  于洪区', '36万', '单价7276元/平米')
('https://image1.ljcdn.com/210100-inspection/568e94b9-aeda-4488-86b3-6b08c5076319.jpg.296x216.jpg', '于洪区南阳湖街碧桂园中高层三室两厅两卫精装南北钥匙', '碧桂园银河城聆涛  | 3室2厅 | 124平米 | 西南 北 | 其他', '高楼层(共31层)板楼  -  于洪区', '109万', '单价8791元/平米')
('https://image1.ljcdn.com/210100-inspection/55b1c245-9925-4bc0-bd83-ea6b125b8eb3.jpg.296x216.jpg', '碧桂园银河城观澜 3室2厅 128万', '碧桂园银河城观澜  | 3室2厅 | 155.71平米 | 南 北 | 其他', '高楼层(共28层)板楼  -  于洪区', '128万', '单价8221元/平米')
('https://image1.ljcdn.com/210100-inspection/42197e64-359c-49f4-a013-dc73820b6f77.JPG.296x216.jpg', '兰亭花园 1室1厅 45万', '兰亭花园  | 1室1厅 | 62.53平米 | 南 | 其他', '中楼层(共6层)板楼  -  于洪区', '45万', '单价7197元/平米')
('https://image1.ljcdn.com/210100-inspection/0d662305-8d57-40ae-b622-8a67eb265354.jpg.296x216.jpg', '七彩阳光 3室2厅 66万', '七彩阳光  | 3室2厅 | 74.34平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  于洪区', '66万', '单价8879元/平米')
('https://image1.ljcdn.com/210100-inspection/55100268-67fb-4367-92b0-03726050ac68.jpg.296x216.jpg', '碧桂园银河城聆涛 3室2厅 98万', '碧桂园银河城聆涛  | 3室2厅 | 124.94平米 | 南 北 | 其他', '中楼层(共25层)板楼  -  于洪区', '98万', '单价7844元/平米')
('https://image1.ljcdn.com/210100-inspection/ffcc7f0c-55e6-47e7-873c-9ffb9f3f20fa.JPG.296x216.jpg', '阳光尚城三期 多层两室 标准户型 采光不错 户型好', '阳光尚城三期  | 2室2厅 | 93平米 | 南 北 | 简装', '高楼层(共6层)2009年建板楼  -  于洪区', '72万', '单价7742元/平米')
('https://image1.ljcdn.com/210100-inspection/34b13ddc-8d75-4343-a0a4-e949915ba5bf.JPG.296x216.jpg', '依云北郡F区 3室2厅 53万', '依云北郡F区  | 3室2厅 | 45.73平米 | 东北 | 其他', '中楼层(共22层)2009年建板楼  -  于洪区', '53万', '单价11590元/平米')
('https://image1.ljcdn.com/210100-inspection/d9760ab0-4fac-4e03-bc09-8660c835b688.JPG.296x216.jpg', '皇姑区保利溪湖林语三期  交通便 珠五校边', '保利溪湖林语三期  | 2室2厅 | 76.29平米 | 西南 | 其他', '高楼层(共18层)板楼  -  于洪区', '60万', '单价7865元/平米')
('https://image1.ljcdn.com/210100-inspection/15ccfdd9-1fdf-450e-939b-0b04ed90a45b.jpg.296x216.jpg', '宏发三千院 1室1厅 21万', '宏发三千院  | 1室1厅 | 33.64平米 | 北 | 其他', '高楼层(共35层)2009年建塔楼  -  于洪区', '21万', '单价6243元/平米')
('https://image1.ljcdn.com/210100-inspection/99cfa136-8c0b-4806-880b-d95c1d016695.jpg.296x216.jpg', '银亿万万城 2室1厅 43万', '银亿万万城  | 2室1厅 | 51.04平米 | 东 | 其他', '低楼层(共11层)2008年建板楼  -  于洪区', '43万', '单价8425元/平米')
('https://image1.ljcdn.com/210100-inspection/439cee4f-d99b-4e89-bc1c-12add88d0b99.JPG.296x216.jpg', '七彩阳光 近地铁 精装修 交通便利 不把不临 带阁楼', '七彩阳光  | 2室2厅 | 94平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  于洪区', '69万', '单价7341元/平米')
('https://image1.ljcdn.com/210100-inspection/55baa073-b2de-493f-bf5d-80d75015c1d9.jpg.296x216.jpg', '于洪区 南阳湖 恒大绿洲二期 精装修 保持干净 两居室', '恒大绿洲二期  | 2室1厅 | 98.76平米 | 南 | 其他', '中楼层(共33层)板楼  -  于洪区', '85万', '单价8607元/平米')
('https://image1.ljcdn.com/210100-inspection/b8df479f-7888-4d6a-89ef-03fd2a3aeb68.jpg.296x216.jpg', '碧桂园银河城聆涛 南北三室 精装修 高楼层', '碧桂园银河城聆涛  | 3室2厅 | 122.98平米 | 南 西 北 | 其他', '高楼层(共25层)板楼  -  于洪区', '105万', '单价8538元/平米')
('https://image1.ljcdn.com/210100-inspection/90767c3a-d048-423f-887a-0d79675a6dd7.JPG.296x216.jpg', '美的城 2室2厅 82万', '美的城  | 2室2厅 | 88.76平米 | 南 北 | 其他', '中楼层(共27层)2018年建板楼  -  于洪区', '82万', '单价9239元/平米')
('https://image1.ljcdn.com/210100-inspection/3f461f34-0fe4-4a90-be28-5c697b8490a7.JPG.296x216.jpg', '怒江北街 阳光尚城三期 精装三室 南北通透 采光充足', '阳光尚城三期  | 3室1厅 | 112.27平米 | 东 南 北 | 简装', '高楼层(共6层)2009年建板楼  -  于洪区', '100万', '单价8908元/平米')
('https://image1.ljcdn.com/210100-inspection/47133802-ebba-4728-9944-e1b07def2bed.JPG.296x216.jpg', '怒江北街 阳光尚城二期 多层洋房 不临街 南北标户', '阳光尚城二期  | 2室2厅 | 91平米 | 南 北 | 精装', '中楼层(共6层)2010年建板楼  -  于洪区', '75万', '单价8242元/平米')
('https://image1.ljcdn.com/210100-inspection/03485475-9227-4951-9b5d-2f7dc797ee8b.jpg.296x216.jpg', '华锐桃源欣城 2室2厅 65万', '华锐桃源欣城  | 2室2厅 | 91.5平米 | 南 北 | 简装', '低楼层(共6层)2006年建板楼  -  于洪区', '65万', '单价7104元/平米')
('https://image1.ljcdn.com/210100-inspection/736e527c-4353-48c0-af74-d4aa70ac60c3.JPG.296x216.jpg', '依云北郡F区 1室1厅 43万', '依云北郡F区  | 1室1厅 | 62平米 | 东南 | 其他', '中楼层(共22层)2009年建板楼  -  于洪区', '43万', '单价6936元/平米')
('https://image1.ljcdn.com/210100-inspection/fabce87a-9c5b-46d9-8555-da41651e3ddf.JPG.296x216.jpg', '依云北郡C区 四室二厅  精装修', '依云北郡C区  | 4室3厅 | 142.8平米 | 南 北 | 精装', '高楼层(共6层)2009年建板楼  -  于洪区', '95万', '单价6653元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadad3d3541-cb7d-415d-ae9f-6f2968ffb653.jpg.296x216.jpg', '阳光100国际新城D组团 4室2厅 180万', '阳光100国际新城D组团  | 4室2厅 | 101.45平米 | 南 | 精装', '高楼层(共14层)2018年建板楼  -  于洪区', '180万', '单价17743元/平米')
('https://image1.ljcdn.com/210100-inspection/8622a36a-9d09-4088-ac37-bd980e826a78.jpg.296x216.jpg', '宏发三千院 精装 一楼带花园 车库 赠花园 独门独院', '宏发三千院  | 3室2厅 | 125平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  于洪区', '180万', '单价14400元/平米')
('https://image1.ljcdn.com/210100-inspection/f4b1bbde-6898-4b0e-93d6-2e395dba8938.jpg.296x216.jpg', '银亿万万城 2室1厅 37万', '银亿万万城  | 2室1厅 | 51.17平米 | 西 | 精装', '低楼层(共11层)2008年建板楼  -  于洪区', '37万', '单价7231元/平米')
('https://image1.ljcdn.com/210100-inspection/3998fb38-3d06-4f23-b6ca-da54dd446724.JPG.296x216.jpg', '阳光尚城4.1期 1室1厅 45万', '阳光尚城4.1期  | 1室1厅 | 57.9平米 | 西南 | 其他', '高楼层(共26层)2012年建板楼  -  于洪区', '45万', '单价7773元/平米')
('https://image1.ljcdn.com/210100-inspection/39d45861-3fd3-434a-919a-7401d4f1a93f.JPG.296x216.jpg', '依云北郡B区精装修四室两厅两卫南北通透户型', '依云北郡B区  | 4室2厅 | 81.39平米 | 西南 北 | 精装', '高楼层(共6层)2008年建板楼  -  于洪区', '81万', '单价9953元/平米')
('https://image1.ljcdn.com/210100-inspection/53d8eef3-c8b9-4467-be32-75e909a8f508.jpg.296x216.jpg', '环北家园二期 南北户型 不把不临 满5年 采光好', '环北家园二期  | 2室1厅 | 70.97平米 | 南 北 | 简装', '高楼层(共6层)暂无数据  -  于洪区', '43万', '单价6059元/平米')
('https://image1.ljcdn.com/210100-inspection/00c28f7c-49d1-4d90-9db5-9ec8b2c53a86.jpg.296x216.jpg', '恒大绿洲 于洪新城精装修  高楼层 视野好', '恒大绿洲三期  | 3室2厅 | 166平米 | 南 西 | 其他', '高楼层(共18层)板楼  -  于洪区', '125万', '单价7531元/平米')
('https://image1.ljcdn.com/210100-inspection/e602da06-0f33-485a-915b-20315206a482.JPG.296x216.jpg', '多层二楼 不临街  南北户型 采光充足', '阳光尚城一期  | 2室2厅 | 97.68平米 | 南 北 | 精装', '低楼层(共6层)2009年建板楼  -  于洪区', '86万', '单价8805元/平米')
('https://image1.ljcdn.com/210100-inspection/f1769366-767f-4f77-83a9-880216e20280.JPG.296x216.jpg', '恒大城二期 精装三室一卫 采光充足 拎包入住', '恒大城二期  | 3室2厅 | 111.22平米 | 南 北 | 精装', '高楼层(共26层)2014年建板塔结合  -  于洪区', '81万', '单价7283元/平米')
('https://image1.ljcdn.com/210100-inspection/ed400465-d8eb-4eca-a3d2-0c5735293cc2.JPG.296x216.jpg', '观景洋房二楼园区中间前后无遮挡三室精装带露台拎包住', '银亿万万城  | 3室1厅 | 130.65平米 | 南 北 | 精装', '中楼层(共5层)2008年建板楼  -  于洪区', '130万', '单价9951元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadf2b19176-b0cf-4614-bba4-c008973600ef.JPG.296x216.jpg', '阳光尚城三期  简装三室两厅 看房方便', '阳光尚城三期  | 3室2厅 | 92.08平米 | 南 北 | 简装', '高楼层(共10层)2009年建板楼  -  于洪区', '77万', '单价8363元/平米')
('https://image1.ljcdn.com/210100-inspection/0fefeca5-7b7f-42f4-9ced-79cdce3da54a.jpg.296x216.jpg', '洋房复式 清水任由自己装修 标准户型 使用面积大', '银亿德郡  | 5室2厅 | 144.3平米 | 南 北 | 其他', '中楼层(共6层)2013年建板楼  -  于洪区', '95万', '单价6584元/平米')
('https://image1.ljcdn.com/210100-inspection/2305801d-a0c4-4919-bda0-189551b7826d.JPG.296x216.jpg', '艺术名家 2室2厅 58万', '艺术名家  | 2室2厅 | 81.77平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  于洪区', '58万', '单价7094元/平米')
('https://image1.ljcdn.com/210100-inspection/29586fe7-fa2f-4820-a289-4d8ef50bc2b2.JPG.296x216.jpg', '怒江北 兴隆旁 阳光尚城二期 赠送阁楼 南北标户不临街', '阳光尚城二期  | 2室2厅 | 108.92平米 | 南 北 | 精装', '高楼层(共6层)2010年建板楼  -  于洪区', '65万', '单价5968元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploade474d85f-4fda-486c-8faa-00db21fb2a74.JPG.296x216.jpg', '怒江北街 恒大城一期 顶楼带跃层 清水房 装修随意', '恒大城一期  | 5室3厅 | 182平米 | 南 北 | 毛坯', '高楼层(共11层)2014年建板塔结合  -  于洪区', '135万', '单价7418元/平米')
('https://image1.ljcdn.com/210100-inspection/1f9dcda5-892d-46a8-b12f-0c35d63780c2.jpg.296x216.jpg', '碧桂园银河城锦园 清水南北三居 园区中间 采光好', '碧桂园银河城锦园  | 3室2厅 | 116平米 | 南 北 | 毛坯', '高楼层(共33层)板楼  -  于洪区', '105万', '单价9052元/平米')
('https://image1.ljcdn.com/210100-inspection/820822f9-aeb2-4eb6-9e14-5ae628186a83.jpg.296x216.jpg', '宏发三千院一楼独门独院 地下室 带车库带大花园', '宏发三千院  | 3室2厅 | 125平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  于洪区', '220万', '单价17600元/平米')
('https://image1.ljcdn.com/210100-inspection/f13eb061-4f70-49bb-9935-1faec156ce60.JPG.296x216.jpg', '依云北郡四期 三室两厅 精装修', '依云北郡四期  | 3室2厅 | 95.94平米 | 南 北 | 简装', '低楼层(共11层)2014年建板楼  -  于洪区', '150万', '单价15635元/平米')
('https://image1.ljcdn.com/210100-inspection/61592aa0-bf25-462c-aafd-cd9872ea5b8b.jpg.296x216.jpg', '恒大绿洲一期  南北通透三居室  精装修', '恒大绿洲一期  | 3室2厅 | 122平米 | 南 北 | 精装', '低楼层(共11层)板楼  -  于洪区', '103万', '单价8443元/平米')
('https://image1.ljcdn.com/210100-inspection/3f2fe790-b736-4278-90ab-56ef39b3920e.JPG.296x216.jpg', '不把山不临街，多层顶楼带阁楼，园区中间', '华锐桃源欣城  | 3室2厅 | 142.44平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  于洪区', '120万', '单价8425元/平米')
('https://image1.ljcdn.com/210100-inspection/6bff34a7-36bc-443b-8191-844600d0184d.jpg.296x216.jpg', '保利溪湖林语四期 2室2厅 65万', '保利溪湖林语四期  | 2室2厅 | 85平米 | 南 | 毛坯', '高楼层(共6层)板楼  -  于洪区', '65万', '单价7648元/平米')
('https://image1.ljcdn.com/210100-inspection/8f15fcf7-ffbd-4e3f-afe0-09d713541c99.jpg.296x216.jpg', '皇姑区 保利溪湖林语 2期 127平 多层 标准户型 送阁楼', '保利溪湖林语二期  | 6室2厅 | 127.05平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  于洪区', '105万', '单价8265元/平米')
('https://image1.ljcdn.com/210100-inspection/166fe32e-ed47-496a-b4e0-d2ae88c22130.jpg.296x216.jpg', '银亿万万城 2室1厅 34万', '银亿万万城  | 2室1厅 | 49.49平米 | 东 | 其他', '高楼层(共11层)2008年建板楼  -  于洪区', '34万', '单价6871元/平米')
('https://image1.ljcdn.com/210100-inspection/a9dbf164-25df-4ec4-81f3-f181a6fd8c93.JPG.296x216.jpg', '阳光尚城三期 多层两室 标准户型 采光不错 户型好', '阳光尚城三期  | 2室2厅 | 87.78平米 | 南 北 | 简装', '高楼层(共6层)2009年建板楼  -  于洪区', '83万', '单价9456元/平米')
('https://image1.ljcdn.com/210100-inspection/1b94a4e2-addd-475b-abff-206497cbe622.JPG.296x216.jpg', '三室两厅两卫 中间楼层 采光好 精装修 赠送面积约20平', '绿地老街坊  | 3室2厅 | 127.74平米 | 南 北 | 精装', '中楼层(共25层)2013年建板楼  -  于洪区', '101万', '单价7907元/平米')
('https://image1.ljcdn.com/210100-inspection/694eba5b-193b-427a-b38d-c5efe4c8c6e5.jpg.296x216.jpg', '碧桂园银河城星座 清水南北两室 交通便利', '碧桂园银河城星座  | 2室1厅 | 89.46平米 | 南 北 | 毛坯', '高楼层(共30层)板楼  -  于洪区', '95万', '单价10620元/平米')
('https://image1.ljcdn.com/210100-inspection/738618bc-f04e-4839-b363-b4b38312fa1f.JPG.296x216.jpg', '简单装修，带阁楼，双南卧，采光好', '龙腾金荷苑  | 2室1厅 | 71.08平米 | 南 | 其他', '中楼层(共8层)2005年建板楼  -  于洪区', '56万', '单价7879元/平米')
('https://image1.ljcdn.com/210100-inspection/d8c8ae59-4007-432a-831d-0ebf9e04d5b0.jpg.296x216.jpg', '碧桂园银河城观澜 2室2厅 81万', '碧桂园银河城观澜  | 2室2厅 | 86.97平米 | 南 北 | 其他', '低楼层(共28层)2017年建板楼  -  于洪区', '81万', '单价9314元/平米')
('https://image1.ljcdn.com/210100-inspection/a85fa3ab-2f06-402f-8383-12b0612702b4.JPG.296x216.jpg', '于洪区 楼层好  生活便利，交通发达', '宏发英里  | 2室1厅 | 55平米 | 东 南 | 其他', '低楼层(共30层)板楼  -  于洪区', '43万', '单价7819元/平米')
