('https://image1.ljcdn.com/440100-inspection/e9faa787-6770-4c5e-8319-83c94bcf6037.jpg.296x216.jpg', '万科金色城品 精装3房 南向望园景', '万科金色城品  | 3室2厅 | 63平米 | 东南 | 精装 | 有电梯', '中楼层(共8层)2010年建塔楼  -  沙湾', '360万', '单价57143元/平米')
('https://image1.ljcdn.com/440100-inspection/bb2bd6ec-cc5f-490f-b91b-0dcb19becfb2.JPG.296x216.jpg', '祈福新村晓峰园 4室2厅 405万', '祈福新村晓峰园  | 4室2厅 | 144平米 | 北 | 其他 | 有电梯', '中楼层(共35层)2005年建塔楼  -  祈福', '405万', '单价28125元/平米')
('https://image1.ljcdn.com/440100-inspection/186c6cb4-ee21-42c5-9906-b4c08d449484.JPG.296x216.jpg', '鸿城花园 绿化小区电梯房 装修保养好', '鸿城花园  | 3室2厅 | 96.9平米 | 南 | 其他 | 有电梯', '高楼层(共28层)2000年建塔楼  -  市桥', '258万', '单价26626元/平米')
('https://image1.ljcdn.com/440100-inspection/91dff752-3ccb-44c8-aea6-8f0809475c05.jpg.296x216.jpg', '建兴大厦 3房 有电梯 格局方正', '建兴大厦  | 3室2厅 | 98.5平米 | 南 | 简装 | 有电梯', '中楼层(共17层)1995年建塔楼  -  市桥', '255万', '单价25889元/平米')
('https://image1.ljcdn.com/440100-inspection/7556a54b-4310-498e-973c-b789c1d19a03.JPG.296x216.jpg', '广州雅居乐花园峰会 4室2厅 1140万', '广州雅居乐花园峰会   | 独栋别墅 | 4室2厅 | 203.89平米 | 南 北 | 简装 | 无电梯', '1层2010年建暂无数据  -  雅居乐', '1140万', '单价55913元/平米')
('https://image1.ljcdn.com/440100-inspection/a9ed1c3c-a78a-4a41-ba64-2f26be18f291.JPG.296x216.jpg', '景峰豪庭高层复式奢华大宅视野开阔看广州塔', '富豪山庄盛翠华庭  | 6室3厅 | 276.8平米 | 南 北 | 精装 | 有电梯', '高楼层(共17层)塔楼  -  祈福', '750万', '单价27096元/平米')
('https://image1.ljcdn.com/440100-inspection/e8e9306f-2e94-4e45-85e6-686a24ccd72e.jpg.296x216.jpg', '祈福新村晓峰园 3室2厅 325万', '祈福新村晓峰园  | 3室2厅 | 107平米 | 南 | 其他 | 有电梯', '低楼层(共35层)2005年建塔楼  -  祈福', '325万', '单价30374元/平米')
('https://image1.ljcdn.com/440100-inspection/38b550ee-8051-492e-9aa5-018f10fc5902.JPG.296x216.jpg', '运动员南向三房，满五唯一，中高楼层', '亚运城运动员村二区  | 3室2厅 | 117.4平米 | 南 | 精装', '中楼层(共11层)塔楼  -  亚运城', '316万', '单价26917元/平米')
('https://image1.ljcdn.com/440100-inspection/662f68a6-66a5-4c7a-952f-d365db9fdc67.JPG.296x216.jpg', '富豪山庄富瑶居 三房南向 带大天台', '富豪山庄富瑶居  | 3室2厅 | 79.98平米 | 南 | 简装 | 无电梯', '高楼层(共5层)2013年建板楼  -  祈福', '220万', '单价27507元/平米')
('https://image1.ljcdn.com/440100-inspection/37adbcfb-8b63-4fca-ae3b-4b18ae49afa7.jpg.296x216.jpg', '如意二马路吉祥上街 3室1厅 190万', '如意二马路吉祥上街  | 3室1厅 | 87.83平米 | 南 | 简装', '中楼层(共7层)塔楼  -  洛溪', '190万', '单价21633元/平米')
('https://image1.ljcdn.com/440100-inspection/27aab016-f234-41df-b247-f47042277817.JPG.296x216.jpg', '广州雅居乐花园十年小雅 3室2厅 415万', '广州雅居乐花园十年小雅  | 3室2厅 | 97.42平米 | 西南 | 精装 | 有电梯', '中楼层(共33层)2010年建塔楼  -  雅居乐', '415万', '单价42600元/平米')
('https://image1.ljcdn.com/440100-inspection/93c9b366-9f01-45d0-89e6-9039f9a0aa3c.JPG.296x216.jpg', '广地花园大三房，户型方正，楼层好，随时可以看房', '广地花园  | 3室2厅 | 101平米 | 北 | 精装 | 无电梯', '中楼层(共6层)2006年建塔楼  -  星河湾', '290万', '单价28713元/平米')
('https://image1.ljcdn.com/440100-inspection/5bd94d8e-d4c8-46f4-b1a5-5b1b94cc8292.jpg.296x216.jpg', '祈福新村翠怡居 南向三房 采光好', '祈福新村翠怡居  | 3室2厅 | 93平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1995年建板楼  -  祈福', '260万', '单价27957元/平米')
('https://image1.ljcdn.com/440100-inspection/0201ccad-29e0-4533-ac8b-7bc452380186.jpg.296x216.jpg', '大石富丽家园 方正两房 采光充足 楼层适中', '富丽家园富丽广场  | 2室0厅 | 62平米 | 西 | 简装 | 无电梯', '中楼层(共6层)1995年建塔楼  -  大石', '165万', '单价26613元/平米')
('https://image1.ljcdn.com/440100-inspection/cc95e268-2282-49d9-bfad-072833ecbed1.jpg.296x216.jpg', '精装大三房，中高楼层采光好，小区环境佳', '富豪山庄盛翠华庭  | 3室2厅 | 136.36平米 | 北 | 其他 | 有电梯', '中楼层(共17层)塔楼  -  祈福', '405万', '单价29701元/平米')
('https://image1.ljcdn.com/440100-inspection/343f59e1-a82b-4a83-8230-4ba2c2c30584.JPG.296x216.jpg', '丹桂园 3室2厅 155万', '丹桂园  | 3室2厅 | 78.7平米 | 南 | 其他', '高楼层(共5层)板楼  -  市桥', '155万', '单价19696元/平米')
('https://image1.ljcdn.com/440100-inspection/6661c82f-5fa1-40a9-8704-c4d1d26428db.jpg.296x216.jpg', '祈福新村湖景居 实用大三房出售 位置好', '祈福新村湖景居  | 3室2厅 | 79.2平米 | 北 | 精装 | 无电梯', '中楼层(共4层)1995年建板楼  -  祈福', '215万', '单价27147元/平米')
('https://image1.ljcdn.com/440100-inspection/17a67730-daa8-4e42-8840-ad0b4e0b8267.jpg.296x216.jpg', '富豪山庄 复式两层 装修保养好', '富豪山庄聚龙华庭  | 7室2厅 | 204.1平米 | 南 | 其他 | 无电梯', '高楼层(共5层)2013年建板楼  -  祈福', '500万', '单价24498元/平米')
('https://image1.ljcdn.com/440100-inspection/b71d855b-187b-4537-bef1-0de1d8092e3f.jpg.296x216.jpg', '侨宫苑 方正两居 小户型经济实用 环境好', '侨宫苑  | 2室1厅 | 68.1平米 | 北 | 简装 | 无电梯', '中楼层(共8层)1996年建塔楼  -  市桥', '135万', '单价19824元/平米')
('https://image1.ljcdn.com/440100-inspection/56889fac-151e-41de-9028-8a60dfdbeedc.jpg.296x216.jpg', '富丽家园福宁苑 4室2厅 270万', '富丽家园福宁苑  | 4室2厅 | 89.2平米 | 南 | 其他 | 无电梯', '低楼层(共8层)1995年建塔楼  -  大石', '270万', '单价30270元/平米')
('https://image1.ljcdn.com/440100-inspection/180e1b3c-9e12-4ff4-a31b-3ac4da07954d.JPG.296x216.jpg', '万科 欧泊 标准三房，西南向望花园，', '万科欧泊  | 3室2厅 | 95平米 | 西南 | 简装 | 有电梯', '中楼层(共35层)2012年建塔楼  -  华南', '430万', '单价45264元/平米')
('https://image1.ljcdn.com/440100-inspection/a19e8daa-e9a2-4ce2-b408-cb1cf9b2f93c.JPG.296x216.jpg', '绿庭雅苑  实用三房  装修保养好', '石基绿庭雅苑  | 3室1厅 | 92.01平米 | 西 | 简装 | 无电梯', '中楼层(共8层)1996年建塔楼  -  石基', '190万', '单价20650元/平米')
('https://image1.ljcdn.com/440100-inspection/e24fca0e-463d-4394-b5d6-483909694414.jpg.296x216.jpg', '吉祥北园 2室2厅 205万', '吉祥北园  | 2室2厅 | 88.6平米 | 东南 | 简装 | 无电梯', '中楼层(共7层)1993年建塔楼  -  洛溪', '205万', '单价23138元/平米')
('https://image1.ljcdn.com/440100-inspection/d7b5d6e2-4b4d-4bab-8034-afeee25c83b0.JPG.296x216.jpg', '星河湾三期 顶楼复式,园林景观好', '广州星河湾荟心园  | 4室2厅 | 247.67平米 | 南 北 | 精装 | 有电梯', '高楼层(共9层)2001年建塔楼  -  星河湾', '993万', '单价40094元/平米')
('https://image1.ljcdn.com/440100-inspection/test-403aaca0-b5d0-4718-9336-3267a252397a.png.296x216.jpg', '框架结构 省级  不靠路不靠涌', '康乐园  | 2室2厅 | 76.5平米 | 东南 南 | 简装 | 无电梯', '中楼层(共7层)塔楼  -  市桥', '203万', '单价26536元/平米')
('https://image1.ljcdn.com/440100-inspection/test-1bdbca78-738a-46b4-98b1-d04611b9624c.png.296x216.jpg', '康乐园 3室2厅 230万', '康乐园  | 3室2厅 | 106平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1994年建塔楼  -  市桥', '230万', '单价21699元/平米')
('https://image1.ljcdn.com/440100-inspection/377c5121-d10d-49ed-87db-eebeeeaf2b93.JPG.296x216.jpg', '正南向刚需两房  住家装修新 拎包即可入住', '番艺花园  | 2室1厅 | 65.97平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建塔楼  -  市桥', '170万', '单价25770元/平米')
('https://image1.ljcdn.com/440100-inspection/efddf0d7-b4b6-4cf7-9a5a-eb9ee8b90b18.jpg.296x216.jpg', '海滨花园 2室1厅 225万', '海滨花园  | 2室1厅 | 75.6平米 | 西南 | 其他 | 无电梯', '中楼层(共8层)1998年建塔楼  -  洛溪', '225万', '单价29762元/平米')
('https://image1.ljcdn.com/440100-inspection/24034553-df58-44b9-b92d-37b4740c66ee.jpg.296x216.jpg', '花样年华二期 大三房诚意出售', '番禺海伦堡花样年华二期  | 3室2厅 | 114平米 | 西北 | 简装 | 有电梯', '中楼层(共18层)2005年建塔楼  -  沙湾', '342万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/test-3130bb41-c6a8-4cb5-ac67-a313bb7382a6.png.296x216.jpg', '番禺海伦堡花样年华一期 3室2厅 275万', '番禺海伦堡花样年华一期  | 3室2厅 | 91.11平米 | 西南 | 其他 | 有电梯', '高楼层(共19层)2005年建塔楼  -  沙湾', '275万', '单价30184元/平米')
('https://image1.ljcdn.com/440100-inspection/7185a409-26ca-4d98-9ac6-66a1e7c3d2cb.jpg.296x216.jpg', '华南碧桂园 翠云山 南向 三房出售', '华南碧桂园翠云山  | 3室2厅 | 107平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2001年建塔楼  -  雅居乐', '330万', '单价30842元/平米')
('https://image1.ljcdn.com/440100-inspection/83009408-2bcb-497c-bc46-c8856d3f842a.jpg.296x216.jpg', '锦绣生态园翠屏苑 4室2厅 238万', '锦绣生态园翠屏苑  | 4室2厅 | 98.6平米 | 东北 | 简装 | 无电梯', '高楼层(共6层)2003年建塔楼  -  钟村', '238万', '单价24138元/平米')
('https://image1.ljcdn.com/440100-inspection/1da306eb-9020-4af2-bfdd-ae2b72f1fe0c.jpg.296x216.jpg', '芳华花园洛湖居 2室2厅 268万', '芳华花园洛湖居  | 2室2厅 | 86.7平米 | 东北 | 简装 | 无电梯', '中楼层(共7层)1999年建塔楼  -  洛溪', '268万', '单价30912元/平米')
('https://image1.ljcdn.com/440100-inspection/8d440cb8-832f-43e0-aa4e-cf3e8dd6186a.jpg.296x216.jpg', '星河湾畅心园 南北对流大三房 东南向望泳池', '广州星河湾畅心园  | 3室2厅 | 121.9平米 | 南 北 | 精装 | 有电梯', '中楼层(共9层)2001年建塔楼  -  星河湾', '510万', '单价41838元/平米')
('https://image1.ljcdn.com/440100-inspection/eb839fce-d5fb-4891-b667-70eb473a625c.JPG.296x216.jpg', '广州雅居乐花园雅悦庭 3室2厅 450万', '广州雅居乐花园雅悦庭  | 3室2厅 | 113平米 | 西南 | 精装 | 有电梯', '高楼层(共10层)2010年建塔楼  -  雅居乐', '450万', '单价39824元/平米')
('https://image1.ljcdn.com/440100-inspection/test-b68c6558-adbd-450d-a92e-ab4bff08e2ba.png.296x216.jpg', '花样年华一期    高层三房   精装修', '番禺海伦堡花样年华一期  | 3室2厅 | 90.9平米 | 西北 | 简装 | 有电梯', '中楼层(共19层)2005年建塔楼  -  沙湾', '270万', '单价29703元/平米')
('https://image1.ljcdn.com/440100-inspection/0a4a8894-c38e-4e2c-b712-83ec9877d6a2.jpg.296x216.jpg', '中环品悦东南向精装两房 业主靠谱出售', '中环品悦  | 2室1厅 | 53.09平米 | 东南 | 简装 | 有电梯', '中楼层(共22层)2013年建塔楼  -  大石', '199万', '单价37484元/平米')
('https://image1.ljcdn.com/440100-inspection/b19cdeed-a771-4927-8840-a7d48cfaf768.jpg.296x216.jpg', '南国奥园 7号线 电梯2房 望花园 楼巴方便', '南国奥林匹克花园悉尼  | 2室1厅 | 86.2平米 | 北 | 精装 | 有电梯', '低楼层(共16层)2006年建塔楼  -  汉溪', '310万', '单价35963元/平米')
('https://image1.ljcdn.com/440100-inspection/3a37d57f-e437-4e23-b658-5a2725f9ea7b.jpg.296x216.jpg', '光线好 小区配套成熟 交通便利', '怡景花园  | 1室0厅 | 43.7平米 | 北 | 精装 | 有电梯', '中楼层(共23层)2004年建塔楼  -  大石', '139万', '单价31808元/平米')
('https://image1.ljcdn.com/440100-inspection/2c61f129-675e-4457-9d25-9ccc1ce25269.JPG.296x216.jpg', '南向大两房，过五唯一，采光好，精装修，环境优美', '广州雅居乐花园雕刻时光  | 2室2厅 | 83平米 | 南 | 简装 | 有电梯', '中楼层(共9层)2010年建塔楼  -  雅居乐', '320万', '单价38555元/平米')
('https://image1.ljcdn.com/440100-inspection/68722c79-5c51-4931-97e0-c9320b5a6f68.JPG.296x216.jpg', '广州星河湾荟心园 3室2厅 560万', '广州星河湾荟心园  | 3室2厅 | 148.2平米 | 南 北 | 其他 | 有电梯', '低楼层(共17层)2001年建塔楼  -  星河湾', '560万', '单价37787元/平米')
('https://image1.ljcdn.com/440100-inspection/3c9ecf59-95fa-461f-a239-d1782f25b7d1.jpg.296x216.jpg', '江南新村 中间楼层 精装三房出售', '江南新村  | 3室2厅 | 83平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建塔楼  -  市桥', '185万', '单价22290元/平米')
('https://image1.ljcdn.com/440100-inspection/b7e6669f-aaa0-4d71-a8bb-c6268d265655.jpg.296x216.jpg', '过五唯一。框架结构，简装三房，小区管理，', '江丽苑  | 3室2厅 | 81.7平米 | 南 | 其他 | 无电梯', '高楼层(共8层)1996年建塔楼  -  市桥', '145万', '单价17748元/平米')
('https://image1.ljcdn.com/440100-inspection/5c9e43d9-6190-47cc-b140-bdcdce5d284f.jpg.296x216.jpg', '水韵蓝湾南向两房 格局方正实用', '水韵蓝湾南区  | 2室2厅 | 78.1平米 | 南 北 | 精装 | 有电梯', '低楼层(共17层)2010年建塔楼  -  沙湾', '195万', '单价24968元/平米')
('https://image1.ljcdn.com/440100-inspection/4ec35765-2a4f-4a28-9813-686ee63937ca.jpg.296x216.jpg', '东方白云花园 电梯三房 小区好', '东方白云花园  | 3室2厅 | 109平米 | 北 | 简装 | 有电梯', '中楼层(共11层)2002年建塔楼  -  市桥东', '290万', '单价26606元/平米')
('https://image1.ljcdn.com/440100-inspection/fa795753-cb1a-4004-8e55-a7697c181da0.jpg.296x216.jpg', '金业花园翠湖居 4室2厅 260万', '金业花园翠湖居  | 4室2厅 | 87.77平米 | 东南 | 精装 | 无电梯', '高楼层(共5层)1990年建塔楼  -  沙湾', '260万', '单价29623元/平米')
('https://image1.ljcdn.com/440100-inspection/test-9052e922-6c35-42d3-889a-5fa8a1927e49.png.296x216.jpg', '星海园 3室1厅 148万', '星海园  | 3室1厅 | 74.27平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1999年建塔楼  -  市桥', '148万', '单价19928元/平米')
('https://image1.ljcdn.com/440100-inspection/403c9699-7120-414b-be10-9d2b6716d50a.jpg.296x216.jpg', '海龙湾 4室2厅 435万', '海龙湾  | 4室2厅 | 120平米 | 东北 | 精装 | 有电梯', '中楼层(共16层)2004年建塔楼  -  南浦', '435万', '单价36250元/平米')
('https://image1.ljcdn.com/440100-inspection/4e1d0374-9719-4511-9aeb-7e5a8f2f37b0.jpg.296x216.jpg', '吉祥楼 2室1厅 135万', '吉祥楼  | 2室1厅 | 52.4平米 | 东南 | 其他 | 无电梯', '高楼层(共8层)1998年建塔楼  -  洛溪', '135万', '单价25764元/平米')
('https://image1.ljcdn.com/440100-inspection/c8c6b603-a37b-41ab-8af0-44e4e42a81b5.jpg.296x216.jpg', '金海岸花园一期 楼层和朝向都很好 有钥匙', '金海岸花园金石碧苑  | 2室2厅 | 76.15平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2002年建塔楼  -  市桥东', '245万', '单价32174元/平米')
('https://image1.ljcdn.com/440100-inspection/8d40f7a7-576a-4fa9-adbf-e0eb2f6aa45a.jpg.296x216.jpg', '丹桂园 方正大三房', '丹桂园  | 3室2厅 | 122.58平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2003年建塔楼  -  市桥', '200万', '单价16316元/平米')
('https://image1.ljcdn.com/440100-inspection/test-56c67f27-7175-45a8-a222-dab9fddbd47f.png.296x216.jpg', '大北路前进大街 2室1厅 118万', '大北路前进大街  | 2室1厅 | 63.5平米 | 南 | 其他 | 无电梯', '高楼层(共5层)板楼  -  市桥', '118万', '单价18583元/平米')
('https://image1.ljcdn.com/440100-inspection/127f854c-5e3f-4092-a3ad-a226363b9840.jpg.296x216.jpg', '瑞华苑 三房 带装修 采光好', '瑞华苑  | 2室2厅 | 91平米 | 东北 | 其他 | 有电梯', '低楼层(共16层)2002年建塔楼  -  市桥', '285万', '单价31319元/平米')
('https://image1.ljcdn.com/440100-inspection/3462506f-618d-4881-b95b-1380d475548e.JPG.296x216.jpg', '祈福新村倚湖湾 4室2厅 980万', '祈福新村倚湖湾  | 4室2厅 | 230.6平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2006年建塔楼  -  祈福', '980万', '单价42498元/平米')
('https://image1.ljcdn.com/440100-inspection/d00783be-83d9-4d85-85cd-c2d4fee258e2.jpg.296x216.jpg', '南向望山三房，景观好，采光足.', '广州雅居乐花园一尺山居  | 3室2厅 | 102平米 | 西南 | 其他 | 有电梯', '低楼层(共23层)2010年建塔楼  -  雅居乐', '380万', '单价37255元/平米')
('https://image1.ljcdn.com/440100-inspection/da03942b-9a58-415b-ae2c-37a83889edef.JPG.296x216.jpg', '自在城市花园三期诺德名都 2室2厅 298万', '自在城市花园三期诺德名都  | 2室2厅 | 91.44平米 | 东南 | 其他 | 有电梯', '高楼层(共30层)2013年建塔楼  -  汉溪', '298万', '单价32590元/平米')
('https://image1.ljcdn.com/440100-inspection/01783a08-a82c-4999-9f8e-8a856109aa58.JPG.296x216.jpg', '花样年华三期东南向电梯大三房 随时可看', '番禺海伦堡花样年华三期  | 3室2厅 | 112.73平米 | 东南 | 精装 | 有电梯', '高楼层(共18层)2005年建塔楼  -  沙湾', '338万', '单价29984元/平米')
('https://image1.ljcdn.com/440100-inspection/b05e5c2a-8e7e-4db5-8194-cfc4c6ccf76f.jpg.296x216.jpg', '尚东尚筑  顶楼复式  交通方便', '尚东尚筑  | 4室2厅 | 91.75平米 | 北 | 精装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  市桥东', '340万', '单价37058元/平米')
('https://image1.ljcdn.com/440100-inspection/ecf094df-147e-40ae-a4f3-dcf7e05b04a0.JPG.296x216.jpg', '景峰三房 南向 户型方正 靓装修', '富豪山庄景峰豪庭  | 3室2厅 | 102.46平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2013年建塔楼  -  祈福', '355万', '单价34648元/平米')
('https://image1.ljcdn.com/440100-inspection/4053b37e-66f4-4dc5-ab0e-63ebfec5ae30.jpg.296x216.jpg', '华南碧桂园翠山蓝天苑 3室2厅 540万', '华南碧桂园翠山蓝天苑  | 3室2厅 | 156.3平米 | 东 | 精装 | 有电梯', '中楼层(共8层)2001年建塔楼  -  华南', '540万', '单价34549元/平米')
('https://image1.ljcdn.com/440100-inspection/test-5051da13-8e24-47ff-9d4c-7a606d3e90ac.png.296x216.jpg', '沙湾 锦绣世家 精装修 格局方正', '敏建锦绣世家  | 3室2厅 | 91平米 | 北 | 精装 | 有电梯', '中楼层(共18层)塔楼  -  沙湾', '240万', '单价26374元/平米')
('', '富丽家园 楼梯中层 住家装修两房 双阳台', '大发大厦  | 2室1厅 | 60.3平米 | 南 | 精装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  大石', '125万', '单价20730元/平米')
