('https://image1.ljcdn.com/440300-inspection/test-1a38b4c5-3f36-4255-bcfe-946e703977fe.png.296x216.jpg', '碧水龙庭 三期 中高楼层 南向看花园  2+1户型 有钥匙', '碧水龙庭  | 2室1厅 | 73.31平米 | 西南 | 简装 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  民治', '390万', '单价53199元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a32ba2b6-5341-48ba-b5cd-33e9a60f2164.png.296x216.jpg', '有故事的房子，花心思的家。托付一生的家园。', '骏景华庭  | 3室1厅 | 75.67平米 | 北 | 精装 | 有电梯', '中楼层(共18层)2007年建板塔结合  -  民治', '420万', '单价55505元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadc73132e2-245e-427f-9aac-cc21e1f867e5.jpg.296x216.jpg', '三个阳台带储物间格局好户型方正精装保养好诚售', '金地上塘道一期  | 3室2厅 | 89.58平米 | 西南 | 其他 | 有电梯', '高楼层(共24层)2010年建板楼  -  上塘', '560万', '单价62514元/平米')
('https://image1.ljcdn.com/440300-inspection/2e49be15-36d5-4d56-bc49-8da962bb43b8.jpg.296x216.jpg', '江南大三房满五年唯一 中间楼层 位置安静 朝南', '锦绣江南二期  | 3室2厅 | 109.22平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2004年建板楼  -  深圳北站', '475万', '单价43491元/平米')
('https://image1.ljcdn.com/440300-inspection/11781f88-dc39-48a4-ade2-73febd296c24.jpg.296x216.jpg', '美丽AAA花园 3室2厅 490万', '美丽AAA花园  | 3室2厅 | 94.57平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2006年建板塔结合  -  龙华中心', '490万', '单价51814元/平米')
('https://image1.ljcdn.com/440300-inspection/test-20726e24-f6fd-4a8c-bd91-2c5a017acb80.png.296x216.jpg', '金庸阁一期大两房龙华地铁站出口物业诚心出售', '金庸阁一期  | 2室1厅 | 76.13平米 | 西南 | 其他 | 无电梯', '高楼层(共7层)1999年建板塔结合  -  龙华中心', '280万', '单价36780元/平米')
('https://image1.ljcdn.com/440300-inspection/6f638730-6d52-4122-9b7b-cb69c5cb7574.jpg.296x216.jpg', '清湖地铁口新小区 保利悦都 直通关内快，商 业配套好', '保利悦都  | 2室2厅 | 68.12平米 | 南 | 毛坯', '中楼层(共27层)2016年建板塔结合  -  龙华中心', '340万', '单价49912元/平米')
('https://image1.ljcdn.com/440300-inspection/4e5fa8f8-e699-4086-bd4a-1a196cbf8d32.JPG.296x216.jpg', '离白石龙地铁口50米   得房率高  户型方正', '汇龙苑  | 3室2厅 | 96.63平米 | 西南 | 简装 | 无电梯', '高楼层(共7层)2004年建板塔结合  -  深圳北站', '490万', '单价50709元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7cf224c4-49cc-40b9-a86e-9af3cb759707.png.296x216.jpg', '万科物业，精装修三房，免个税，税费少，看房方便', '万科金域华府  | 3室2厅 | 89.03平米 | 西南 | 精装 | 有电梯', '中楼层(共32层)2010年建板塔结合  -  深圳北站', '670万', '单价75256元/平米')
('https://image1.ljcdn.com/440300-inspection/test-294b1252-7a8b-473d-8f8d-28b5df94879e.png.296x216.jpg', '《龙华花半里》精装四房强势来袭满五唯一购房成本低', '龙华花半里花园  | 4室1厅 | 85.04平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2012年建板塔结合  -  龙华中心', '430万', '单价50565元/平米')
('https://image1.ljcdn.com/440300-inspection/98fe4c08-28f3-401c-8963-f696acbb156d.jpg.296x216.jpg', '赛龙豪轩 2室2厅 275万', '赛龙豪轩  | 2室2厅 | 75.41平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)2001年建板塔结合  -  龙华中心', '275万', '单价36468元/平米')
('https://image1.ljcdn.com/440300-inspection/6678949d-9957-4cb0-a28d-09855f700c69.JPG.296x216.jpg', '业主诚心卖，满五唯一红本在手，大三房朝南通透性好', '潜龙鑫茂花园B区  | 3室2厅 | 91.08平米 | 南 | 精装 | 有电梯', '中楼层(共16层)2006年建板塔结合  -  民治', '510万', '单价55995元/平米')
('https://image1.ljcdn.com/440300-inspection/2e7e830b-1159-410b-b3cc-05322b0ec771.jpg.296x216.jpg', '世纪春城四期精装四房 上下两层标准复式 满五年唯一', '世纪春城四期  | 4室2厅 | 111.8平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2008年建板塔结合  -  深圳北站', '600万', '单价53668元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload10852919-6b5d-4ed5-a67d-32756f479a36.jpg.296x216.jpg', '港铁天颂 私家花园 隐私性强 地铁四号线无缝接驳', '港铁天颂  | 6室2厅 | 244.25平米 | 东南 西北 | 其他', '低楼层(共7层)2016年建暂无数据  -  龙华中心', '2100万', '单价85978元/平米')
('https://image1.ljcdn.com/440300-inspection/test-9d2fb142-939c-4ec5-a6bd-f75ddcf42eee.png.296x216.jpg', '香缇雅苑 精装2房 朝南看花园安静 满五红本 诚心卖', '香缇雅苑  | 2室1厅 | 65.31平米 | 东北 | 简装 | 有电梯', '高楼层(共18层)2007年建板塔结合  -  龙华中心', '330万', '单价50529元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2248a50e-c4bc-4efa-86e5-e473eb63305a.png.296x216.jpg', '满五唯一红本在手，税费少交易快，诚心出售，看房方便', '风和日丽  | 2室2厅 | 74.63平米 | 东 | 简装 | 无电梯', '中楼层(共8层)2002年建塔楼  -  深圳北站', '315万', '单价42209元/平米')
('https://image1.ljcdn.com/440300-inspection/test-76f445f4-79a4-4a14-a228-6081bf61c7d8.png.296x216.jpg', '金地梅陇镇一期 3室2厅 598万', '金地梅陇镇一期  | 3室2厅 | 109.06平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  深圳北站', '598万', '单价54833元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadafd97506-1e18-4137-8317-4ac56c622eae.JPG.296x216.jpg', '招商观园 3室1厅 360万', '招商观园  | 3室1厅 | 88.48平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2012年建板塔结合  -  观澜', '360万', '单价40688元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c1664055-b5df-4166-832a-df5d4bbce9d3.png.296x216.jpg', '高层精装修，视野开阔，低于同户型100万，通透采光好', '卓越皇后道  | 5室2厅 | 155.86平米 | 南 北 | 其他 | 有电梯', '高楼层(共26层)2015年建板楼  -  上塘', '910万', '单价58386元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4d617c19-08b5-4055-85b0-77e83a36ef2f.png.296x216.jpg', '世纪春城南北通双阳台三房，满五年红本', '世纪春城二期  | 3室2厅 | 99.3平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2005年建板塔结合  -  深圳北站', '460万', '单价46325元/平米')
('https://image1.ljcdn.com/440300-inspection/test-49e516a9-79a2-4150-a218-6ad60959c3bd.png.296x216.jpg', '龙华花半里 精装三房 满五年 东南向 看游泳池', '龙华花半里花园  | 3室2厅 | 78.4平米 | 东南 | 精装 | 有电梯', '低楼层(共33层)2012年建板塔结合  -  龙华中心', '420万', '单价53572元/平米')
('https://image1.ljcdn.com/440300-inspection/e764649f-f098-481d-92fb-7785d61a786c.JPG.296x216.jpg', '鑫茂精装2房，看花园！产证满五年', '潜龙鑫茂花园A区  | 2室1厅 | 68.03平米 | 北 | 精装 | 有电梯', '低楼层(共17层)2006年建板塔结合  -  民治', '400万', '单价58798元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5b472a4c-b0d0-459e-9662-b55b080100c6.png.296x216.jpg', '新华苑精装修四房业主诚意出售拎包入住', '新华苑  | 4室2厅 | 122.8平米 | 东南 | 毛坯 | 无电梯', '高楼层(共8层)2002年建板塔结合  -  龙华中心', '500万', '单价40717元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5f9dbc8d-dc58-4ba3-b28d-38100e6c8032.png.296x216.jpg', '龙华地铁口 优品建筑 精致两房 朝东南向看花园', '优品建筑  | 2室2厅 | 71.41平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2004年建板塔结合  -  龙华中心', '340万', '单价47613元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4d412d7b-66d3-40ca-a60a-89ece45846db.png.296x216.jpg', '满五唯一  通透朝向 龙华地铁口三房 居家装修', '富通天骏  | 3室2厅 | 111平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2003年建板塔结合  -  龙华中心', '485万', '单价43694元/平米')
('https://image1.ljcdn.com/440300-inspection/test-dd81fe41-f321-4ac5-b0ad-0b9db0779ad1.png.296x216.jpg', '好位置很少出售。满两年，欠款210万朝南看花园', '星河传奇一期  | 4室2厅 | 86.75平米 | 南 | 其他', '低楼层(共39层)2016年建板塔结合  -  上塘', '660万', '单价76081元/平米')
('https://image1.ljcdn.com/440300-inspection/test-aca0d20a-1c44-4f42-8bc8-f9906eee794a.png.296x216.jpg', '万科精装3房2卫 270度山景 独门独户 业主着急出售', '万科九龙山  | 3室2厅 | 88.93平米 | 东南 | 精装', '中楼层(共33层)2016年建板塔结合  -  观澜', '405万', '单价45542元/平米')
('https://image1.ljcdn.com/440300-inspection/035354dd-224f-432b-b2d3-8f99bfe7a02c.jpg.296x216.jpg', '露天空中花园别墅小院，上下2层。', '日出印象一期  | 4室2厅 | 110.52平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  深圳北站', '660万', '单价59718元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a92a9fee-40af-4ce0-adc1-c0cbb0f8a3f5.png.296x216.jpg', '电梯三房  高层视野 南北通风 看花园安静 满五红本', '锦绣江南四期  | 3室2厅 | 87.65平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2006年建塔楼  -  深圳北站', '425万', '单价48489元/平米')
('https://image1.ljcdn.com/440300-inspection/test-711615f7-b12f-497c-bd97-823e129a290d.png.296x216.jpg', '金地上塘道 厅出阳台 满五唯一 减免网签价1.5%的个税', '金地上塘道一期  | 3室2厅 | 89.58平米 | 东南 | 其他 | 有电梯', '低楼层(共24层)2010年建板楼  -  上塘', '550万', '单价61398元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4618cb59-8863-41a2-8299-aec093d4d2b9.png.296x216.jpg', '龙华地铁口华昱苑2房 中间楼层 看花园 采光好 诚售', '华昱苑  | 2室2厅 | 77.22平米 | 西北 | 简装 | 无电梯', '中楼层(共8层)2001年建板塔结合  -  龙华中心', '300万', '单价38851元/平米')
('https://image1.ljcdn.com/440300-inspection/test-00c83162-dd5e-485b-bedb-6dbbbdbf8c2c.png.296x216.jpg', '玖龙玺高赠送精装四房  业主诚心出售', '龙光玖龙玺北区  | 4室2厅 | 89.56平米 | 西北 | 精装', '高楼层(共32层)2016年建塔楼  -  深圳北站', '820万', '单价91559元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0036d4f5-cb03-493c-97c1-21df68cd27c5.png.296x216.jpg', '满五唯一带电梯小高层，南北通透，业主急售，价格可谈', '世纪春城一期  | 4室2厅 | 124.8平米 | 南 北 | 精装 | 有电梯', '高楼层(共9层)2004年建板楼  -  深圳北站', '535万', '单价42869元/平米')
('https://image1.ljcdn.com/440300-inspection/4c47d94c-bc85-4593-835f-a2f9890077fb.jpg.296x216.jpg', '全新 毛坯四房，位置好，无遮挡，诚心卖，看房方便。', '星河传奇一期  | 4室2厅 | 86.75平米 | 南 | 其他', '低楼层(共39层)2016年建板塔结合  -  上塘', '660万', '单价76081元/平米')
('https://image1.ljcdn.com/440300-inspection/test-070b0bc3-8241-4afb-b549-d1db7ec3df7c.png.296x216.jpg', '碧水龙庭精装大三房   实用三阳台 满五年红本超大赠送', '碧水龙庭  | 3室2厅 | 104.02平米 | 东南 | 精装 | 有电梯', '低楼层(共18层)2008年建板塔结合  -  民治', '556万', '单价53452元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5339beb4-e63b-4217-84d1-d7541e82fa20.png.296x216.jpg', '金域华府两房，大阳台，已改三房', '万科金域华府  | 2室1厅 | 85.12平米 | 东南 | 精装 | 有电梯', '中楼层(共34层)2010年建板塔结合  -  深圳北站', '550万', '单价64615元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b6e30e33-41f2-46fc-a474-38ed6c9e96c5.png.296x216.jpg', '懿花园 3室2厅 430万', '懿花园  | 3室2厅 | 88.91平米 | 北 | 精装 | 有电梯', '低楼层(共10层)2014年建板塔结合  -  观澜', '430万', '单价48364元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b58c834e-910a-4db7-aff6-6bf02a845347.png.296x216.jpg', '尽享都市繁华的宁静，中海锦城三房，上塘地铁在家门口', '中海锦城  | 3室2厅 | 86.8平米 | 北 | 其他 | 有电梯', '高楼层(共37层)2015年建板楼  -  上塘', '650万', '单价74885元/平米')
('https://image1.ljcdn.com/440300-inspection/test-42e0bd98-bcd6-436d-8026-a5e86ef830ac.png.296x216.jpg', '特发和平里 3室2厅 555万', '特发和平里  | 3室2厅 | 88.3平米 | 东南 | 其他 | 有电梯', '中楼层(共31层)2014年建板塔结合  -  上塘', '555万', '单价62854元/平米')
('https://image1.ljcdn.com/440300-inspection/df6f7cdc-0e99-43fb-b36a-8a40c87b9eb3.jpg.296x216.jpg', '港铁天颂 5室3厅 1550万', '港铁天颂  | 5室3厅 | 229.99平米 | 东南 | 其他', '高楼层(共7层)2016年建暂无数据  -  龙华中心', '1550万', '单价67395元/平米')
('https://image1.ljcdn.com/440300-inspection/test-849466c4-7e5f-4180-84a5-f51145fd257e.png.296x216.jpg', '小区小高层两房 看部分湖景和银湖山', '丰泽湖山庄  | 2室2厅 | 81.99平米 | 东 | 简装 | 有电梯', '中楼层(共11层)2003年建板塔结合  -  深圳北站', '410万', '单价50007元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f1592859-9d37-4b43-b132-1c81d7e218bf.png.296x216.jpg', '满三年，诚心出售，中楼层，装修保养好', '金地梅陇镇三期  | 2室1厅 | 73.98平米 | 东南 | 简装 | 有电梯', '低楼层(共25层)2008年建板楼  -  深圳北站', '409万', '单价55286元/平米')
('https://image1.ljcdn.com/440300-inspection/test-20488060-4309-46a1-ba8a-e05b3083bf63.png.296x216.jpg', '新上优质房源   户型方正   楼层佳户型好  小区安静', '滢水山庄二区  | 3室2厅 | 89.98平米 | 南 | 精装 | 无电梯', '低楼层(共8层)2000年建板塔结合  -  深圳北站', '415万', '单价46122元/平米')
('https://image1.ljcdn.com/440300-inspection/test-670c70b0-68fe-4c44-90f7-0bc272c8042b.png.296x216.jpg', '招商观园 4室2厅 698万', '招商观园  | 4室2厅 | 163.4平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2012年建板塔结合  -  观澜', '698万', '单价42718元/平米')
('https://image1.ljcdn.com/440300-inspection/test-40a845cc-a86a-487d-b840-5c5daadb15be.png.296x216.jpg', '业主自住三房 户型方正 通风采光好 一手业主', '绿景公馆1866南区  | 3室2厅 | 89.76平米 | 南 | 其他 | 有电梯', '高楼层(共28层)2013年建板塔结合  -  深圳北站', '635万', '单价70745元/平米')
('https://image1.ljcdn.com/440300-inspection/93c99ba0-06cc-4b8e-a793-752cfde6436e.jpg.296x216.jpg', '特发和平里 4室2厅 560万', '特发和平里  | 4室2厅 | 88.81平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2014年建板塔结合  -  上塘', '560万', '单价63056元/平米')
('https://image1.ljcdn.com/440300-inspection/test-18348552-3793-4008-b6b1-b946dbb897d6.png.296x216.jpg', '潜龙曼海宁南区，三房两位，业主很诚心卖', '潜龙曼海宁花园南区  | 3室2厅 | 88.6平米 | 东南 | 其他 | 有电梯', '中楼层(共28层)2011年建塔楼  -  上塘', '530万', '单价59820元/平米')
('https://image1.ljcdn.com/440300-inspection/test-27c3548f-9b60-4e75-99e8-196ca7756971.png.296x216.jpg', '华业精装三房 拎包入住 位置安静 视野好', '华业玫瑰四季馨园一期  | 3室2厅 | 87.26平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2015年建板楼  -  上塘', '650万', '单价74491元/平米')
('https://image1.ljcdn.com/440300-inspection/test-63d0133e-be34-40a5-9ba2-76fbd00f0e34.png.296x216.jpg', '龙华2011年小区 满五年税费少 装修精致没有遮挡通风好', '合能城市阳光花园  | 2室2厅 | 67.01平米 | 东南 | 精装 | 有电梯', '低楼层(共22层)2011年建板塔结合  -  龙华中心', '280万', '单价41785元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7b40e07a-8230-4d65-b8e0-db8131f699a5.png.296x216.jpg', '龙光玖龙玺精装四房，高楼层，采光好。', '龙光玖龙玺北区  | 4室2厅 | 87.72平米 | 西北 | 精装', '低楼层(共30层)2016年建塔楼  -  深圳北站', '730万', '单价83220元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0d1b3d31-5873-473b-b0a9-64b71ea95ad6.png.296x216.jpg', '1866公馆刚需2房，满2红本在手，拎包入住', '绿景公馆1866北区  | 2室2厅 | 62.04平米 | 西 | 精装 | 有电梯', '高楼层(共29层)2013年建板楼  -  深圳北站', '455万', '单价73340元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7a1924ed-cb43-4ca7-b9a4-7542228e1989.png.296x216.jpg', '丰泽湖山庄 2室1厅 515万', '丰泽湖山庄  | 2室1厅 | 85.46平米 | 东南 | 简装 | 有电梯', '中楼层(共9层)2003年建板塔结合  -  深圳北站', '515万', '单价60263元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c184a587-ab31-4909-85ac-bd185ca79c1e.png.296x216.jpg', '万科四季花城五期 满五唯一 位置安静 楼层好大两房', '万科四季花城五期  | 2室2厅 | 74.81平米 | 西 | 简装 | 无电梯', '低楼层(共6层)2002年建板塔结合  -  民治', '375万', '单价50127元/平米')
('https://image1.ljcdn.com/440300-inspection/c2e33349-dbf9-44a3-9592-2d2af0a77fcf.jpg.296x216.jpg', '花半里精装3房 3阳台 高层看花园  少税 通风好', '龙华花半里花园  | 3室2厅 | 85.84平米 | 东南 | 简装 | 有电梯', '高楼层(共33层)2012年建塔楼  -  龙华中心', '410万', '单价47764元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b3d63cbf-9d90-44f9-805f-7c141294f57d.png.296x216.jpg', '龙华花半里小区 满五年且唯一 住宅 看房方便', '龙华花半里花园  | 4室2厅 | 86.84平米 | 东南 西南 | 精装 | 有电梯', '低楼层(共33层)2012年建板塔结合  -  龙华中心', '480万', '单价55275元/平米')
