('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload7427d6df-18f2-4c82-b5da-8f3a73e162aa.jpg.296x216.jpg', '海沧建行站，进出岛方便，产权满两年，业主诚意出售', '亚桥花园  | 2室2厅 | 68.78平米 | 东 西 | 简装 | 无电梯', '中楼层(共8层)2002年建板楼  -  海沧生活区', '200万', '单价29079元/平米')
('https://image1.ljcdn.com/350200-inspection/72f20bbc-c0a9-4af4-a9e1-623e704a70d8.jpg.296x216.jpg', '蓝月湾南北通透正规四房看中庭 采光好视野佳产权满2年', '未来海岸蓝月湾一期  | 4室2厅 | 154.72平米 | 南 北 | 精装 | 有电梯', '低楼层(共31层)2007年建板楼  -  未来海岸北师大', '499万', '单价32252元/平米')
('https://image1.ljcdn.com/350200-inspection/56cb0ce0-3b33-4a89-a215-347090f2f355.jpg.296x216.jpg', '万科城精装三房，拎包入住，有空调，有阳台，全明格局', '万科城一期  | 3室2厅 | 85.8平米 | 南 | 精装 | 有电梯', '中楼层(共9层)2015年建板楼  -  马銮湾', '248万', '单价28905元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadb7513202-e42e-4720-9fad-b1c48412ec40.jpg.296x216.jpg', '水岸名筑 居家精装满五唯一正规三房南北通透单价3.1万', '水岸名筑  | 3室2厅 | 119.57平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  海沧体育中心', '368万', '单价30777元/平米')
('https://image1.ljcdn.com/350200-inspection/9e8c236c-5ff5-4d36-b44b-8eab57ff5b96.jpg.296x216.jpg', '万科城一期 4室2厅 368万', '万科城一期  | 4室2厅 | 124.74平米 | 东南 | 精装 | 有电梯', '高楼层(共42层)2015年建板楼  -  马銮湾', '368万', '单价29502元/平米')
('https://image1.ljcdn.com/350200-inspection/df70586f-3e2e-4a44-8f6d-6505cdf21d4b.jpg.296x216.jpg', '广场湖畔正规两房，交通便利，业主诚信出售。', '广场湖畔花园  | 2室1厅 | 51.1平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2007年建板楼  -  海沧外国语片区', '175万', '单价34247元/平米')
('https://image1.ljcdn.com/350200-inspection/176d1cd4-ed35-4467-9dff-2577379ad1a1.jpg.296x216.jpg', '海沧生活区  滨湖北路 阿罗海广场  区政府  精装3房', '星河花园  | 3室1厅 | 95.39平米 | 南 北 | 精装 | 有电梯', '低楼层(共16层)2004年建板楼  -  海沧生活区', '310万', '单价32499元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadfb6af339-fd48-4ecd-b9a0-3588b8aa3db4.JPG.296x216.jpg', '大三房改四房  东南朝向   送20平方面积套内使用', '禹洲领海  | 4室2厅 | 110.8平米 | 东南 | 精装 | 有电梯', '低楼层(共33层)2011年建塔楼  -  海沧体育中心', '443万', '单价39982元/平米')
('https://image1.ljcdn.com/350200-inspection/0a868c9f-b06d-4942-a8f1-e0f1076b8ad1.jpg.296x216.jpg', '海沧生活区海沧医院 湖景华庭 紧凑小三房 南北通透', '湖景华庭  | 3室2厅 | 92.66平米 | 东 南 西 | 简装 | 无电梯', '高楼层(共6层)2004年建板楼  -  海沧生活区', '300万', '单价32377元/平米')
('https://image1.ljcdn.com/350200-inspection/3399644b-1025-4b38-8887-ab88a3c517b8.jpg.296x216.jpg', '禹洲尊海 毛坯 高层朝南 采光好 全明格局 配套成熟', '禹洲尊海  | 4室1厅 | 119.28平米 | 南 | 毛坯 | 有电梯', '高楼层(共31层)2013年建塔楼  -  海沧体育中心', '550万', '单价46110元/平米')
('https://image1.ljcdn.com/350200-inspection/cbd2f0ba-3c08-442b-ae82-99d80896ec49.jpg.296x216.jpg', '蓝水郡正规大两房 户型方正 采光好 产权满两年', '未来海岸蓝水郡  | 2室2厅 | 82平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2005年建塔楼  -  海沧体育中心', '265万', '单价32318元/平米')
('https://image1.ljcdn.com/350200-inspection/0d6f42a9-b83d-48bd-9b4c-c0fc7bbe1524.JPG.296x216.jpg', '泉舜滨海上城满五大三房看海双十附属，精装,南北通透', '泉舜滨海上城  | 3室2厅 | 137.67平米 | 南 北 | 精装 | 有电梯', '高楼层(共27层)2009年建塔楼  -  滨海社区', '540万', '单价39225元/平米')
('https://image1.ljcdn.com/350200-inspection/7845c395-394f-4784-b420-22157826b00b.JPG.296x216.jpg', '海晟维多利亚海景房  满五年 看房有钥匙', '海晟维多利亚  | 5室2厅 | 170.57平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共31层)2010年建塔楼  -  滨海社区', '760万', '单价44557元/平米')
('https://image1.ljcdn.com/350200-inspection/bb4e6414-745b-40c7-93a3-b330936fd5b0.JPG.296x216.jpg', '汇利花园 3室2厅 338万', '汇利花园  | 3室2厅 | 130.78平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2002年建板楼  -  海沧生活区', '338万', '单价25845元/平米')
('https://image1.ljcdn.com/350200-inspection/d4a4f807-303f-406a-8f21-8f9953b8904e.jpg.296x216.jpg', '绿苑小区好房出售，欢迎来电！！！', '绿苑小区一期  | 3室2厅 | 104.18平米 | 东南 | 简装 | 有电梯', '中楼层(共17层)2007年建板楼  -  滨海社区', '370万', '单价35516元/平米')
('https://image1.ljcdn.com/350200-inspection/f1ac52bc-22a6-4de5-86bf-531053be977c.jpg.296x216.jpg', '海福广场小区 3室2厅 280万', '海福广场小区  | 3室2厅 | 95.94平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2000年建板楼  -  海沧生活区', '280万', '单价29185元/平米')
('https://image1.ljcdn.com/350200-inspection/06028303-68bc-47ac-90b8-bf578d975d82.jpg.296x216.jpg', '精装小三房，满五唯一，朝南户型，总价低', '水岸名筑  | 3室2厅 | 97.1平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2008年建板塔结合  -  海沧体育中心', '268万', '单价27601元/平米')
('https://image1.ljcdn.com/350200-inspection/004e3d56-fa3e-4873-9f7e-6ca6955acfb9.JPG.296x216.jpg', '海景奥斯卡 精装修 板式楼 永无遮挡 拎包入住', '海景奥斯卡  | 4室2厅 | 203.88平米 | 南 北 | 精装 | 有电梯', '中楼层(共31层)2007年建塔楼  -  滨海社区', '1150万', '单价56406元/平米')
('https://image1.ljcdn.com/350200-inspection/5f3009ed-1abe-4bcd-b2f9-95749794633e.JPG.296x216.jpg', '汇景雅苑 朝南2房 大阳台 采光好', '汇景雅苑  | 2室1厅 | 85.66平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2006年建板楼  -  未来海岸北师大', '266万', '单价31054元/平米')
('https://image1.ljcdn.com/350200-inspection/bd39f4f4-3f37-4441-8c66-29fa38f13a4b.jpg.296x216.jpg', '户型通透，湖海双景，采光好，视野开阔', '1号公馆  | 3室2厅 | 139.41平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共31层)2013年建板楼  -  海沧生活区', '520万', '单价37301元/平米')
('https://image1.ljcdn.com/350200-inspection/9336aaad-9346-4f7f-a8d5-7c707160e953.JPG.296x216.jpg', '北师大南北通透3房全明格局业主诚意出售看房有钥匙', '未来海岸蓝月湾一期  | 3室2厅 | 126.47平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2007年建板楼  -  未来海岸北师大', '416万', '单价32894元/平米')
('https://image1.ljcdn.com/350200-inspection/5ba7a31e-4de8-4bca-8e78-74ae757211df.jpg.296x216.jpg', '海投水岸名筑  自住精装三房 产权满五唯一', '水岸名筑  | 3室2厅 | 101.99平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2008年建板塔结合  -  海沧体育中心', '300万', '单价29415元/平米')
('https://image1.ljcdn.com/350200-inspection/53816659-0a5c-421d-8759-04d1be733483.JPG.296x216.jpg', '产权满五唯一，使用面积大，业主诚意出售', '未来橙堡  | 2室2厅 | 93.22平米 | 北 | 简装 | 有电梯', '高楼层(共18层)2005年建板楼  -  海沧体育中心', '240万', '单价25746元/平米')
('https://image1.ljcdn.com/350200-inspection/ef4353fa-eda0-499a-8098-9a29aaa8e819.JPG.296x216.jpg', '未来橙堡 3室2厅 282万', '未来橙堡  | 3室2厅 | 92.4平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2005年建板楼  -  海沧体育中心', '282万', '单价30520元/平米')
('https://image1.ljcdn.com/350200-inspection/5262cb67-7b5b-4a45-a396-31a9f8f791b0.jpg.296x216.jpg', '长欣花园 2室1厅 180万', '长欣花园  | 2室1厅 | 56.1平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  海沧生活区', '180万', '单价32086元/平米')
('https://image1.ljcdn.com/350200-inspection/22b2f442-c2dc-40bf-94e3-a1e279b83431.JPG.296x216.jpg', '天湖城  独门独户 南北通透，赠送4平的平台，看房有锁', '天湖城天湖  | 2室2厅 | 92.93平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共26层)2012年建板楼  -  海沧区政府', '290万', '单价31207元/平米')
('https://image1.ljcdn.com/350200-inspection/e08fb909-7f62-47eb-b189-6828aa312e5e.jpg.296x216.jpg', '海沧生活区精装两房  满两年  采光很好  带小露台', '鑫银公寓  | 2室2厅 | 68.55平米 | 东 | 精装', '高楼层(共7层)板楼  -  海沧生活区', '192万', '单价28009元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload88d52648-b735-40a5-9514-9351e39ec31b.JPG.296x216.jpg', '天心岛高层两房，视野开阔，看海景', '天心岛  | 2室2厅 | 90.5平米 | 东南 | 毛坯 | 有电梯', '中楼层(共32层)2009年建板楼  -  滨海社区', '370万', '单价40884元/平米')
('https://image1.ljcdn.com/350200-inspection/703742b5-fb20-411a-903f-b6313c9abe4f.JPG.296x216.jpg', '海晟维多利亚 4室2厅 115平 东南北三面采光', '海晟维多利亚  | 4室2厅 | 115.27平米 | 南 | 简装 | 有电梯', '中楼层(共29层)2010年建塔楼  -  滨海社区', '468万', '单价40601元/平米')
('https://image1.ljcdn.com/350200-inspection/9cecb426-c5e1-4b34-9333-3bf2244d8b9e.JPG.296x216.jpg', '蓝月湾二期 正规小三房户型，带太阳台 采光好', '未来海岸蓝月湾二期  | 3室2厅 | 99.5平米 | 东南 | 精装 | 有电梯', '中楼层(共12层)2007年建板楼  -  未来海岸北师大', '335万', '单价33669元/平米')
('https://image1.ljcdn.com/350200-inspection/f6c2cc04-90e3-496e-bd84-165b3e389542.jpg.296x216.jpg', '禹洲尊海 4室2厅 480万', '禹洲尊海  | 4室2厅 | 116.72平米 | 东 | 毛坯 | 有电梯', '中楼层(共39层)2013年建塔楼  -  海沧体育中心', '480万', '单价41125元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadcaaec4d2-f945-4d6a-8bcd-cf3f59f23f50.jpg.296x216.jpg', '文轩大三房 读延奎免两大税 坐北朝南 楼距宽采光好', '文轩花园  | 3室2厅 | 126.35平米 | 南 | 精装 | 无电梯', '高楼层(共7层)2002年建板楼  -  海沧生活区', '340万', '单价26910元/平米')
('https://image1.ljcdn.com/350200-inspection/38502510-5c9c-4340-b5a8-13622c0cf282.JPG.296x216.jpg', '未来海岸凌波 2室2厅 270万', '未来海岸凌波  | 2室2厅 | 94.5平米 | 南 北 | 其他 | 有电梯', '中楼层(共13层)2005年建塔楼  -  未来海岸北师大', '270万', '单价28572元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadb539cede-f6c9-4cfa-9aac-0da7be25ddac.jpg.296x216.jpg', '未来海岸蓝月湾一期 3室2厅 343万', '未来海岸蓝月湾一期  | 3室2厅 | 101.22平米 | 南 | 简装 | 有电梯', '低楼层(共31层)2007年建板楼  -  未来海岸北师大', '343万', '单价33887元/平米')
('https://image1.ljcdn.com/350200-inspection/dda58f03-5c24-4d77-9014-285e3432fb11.jpg.296x216.jpg', '未来海岸鹭景湾 5室2厅 830万', '未来海岸鹭景湾   | 联排别墅 | 5室2厅 | 196.22平米 | 南 北 | 简装 | 无电梯', '4层2004年建暂无数据  -  未来海岸北师大', '830万', '单价42300元/平米')
('https://image1.ljcdn.com/350200-inspection/f014a268-ebe4-4878-b7ce-7bc84c225927.jpg.296x216.jpg', '天心岛 3室1厅 310万', '天心岛  | 3室1厅 | 90.07平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2009年建塔楼  -  滨海社区', '310万', '单价34418元/平米')
('https://image1.ljcdn.com/350200-inspection/7a252fa3-6bc9-4d2b-8918-38c24e5bb3f0.JPG.296x216.jpg', '天御小区 2室2厅 305万', '天御小区  | 2室2厅 | 83.08平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2007年建板楼  -  海沧区政府', '305万', '单价36712元/平米')
('https://image1.ljcdn.com/350200-inspection/5df9b33e-894d-414a-8f10-7687a77cb4b2.jpg.296x216.jpg', '万科城一期小高层，精装三房 ，业主诚意出售  看海', '万科城一期  | 3室1厅 | 84.62平米 | 南 | 精装 | 有电梯', '高楼层(共9层)2015年建板楼  -  马銮湾', '263万', '单价31081元/平米')
('https://image1.ljcdn.com/350200-inspection/9e48c829-8bc5-448f-9056-3202e9faa8f6.JPG.296x216.jpg', '兴旺广场 2室2厅 195万', '兴旺广场  | 2室2厅 | 83.94平米 | 南 | 其他 | 有电梯', '高楼层(共11层)板楼  -  新阳工业区', '195万', '单价23231元/平米')
('https://image1.ljcdn.com/350200-inspection/fcfafa72-391e-4b9c-be04-c5a808207b66.jpg.296x216.jpg', '天心岛高层3房，视野好，东南北3面采光', '天心岛  | 3室2厅 | 110.75平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)2009年建板楼  -  滨海社区', '398万', '单价35937元/平米')
('https://image1.ljcdn.com/350200-inspection/0e0a6995-a158-43c5-b082-b5fea8bbc40e.jpg.296x216.jpg', '正规两房 产权满五唯一 格局方正 自带小花园', '水岸名筑  | 2室2厅 | 84.83平米 | 东南 | 精装 | 有电梯', '低楼层(共11层)2008年建板塔结合  -  海沧体育中心', '260万', '单价30649元/平米')
('https://image1.ljcdn.com/350200-inspection/1bc9165f-10d5-433b-a5c5-4dcb1e053a67.jpg.296x216.jpg', '滨海上城精装修两房 东南朝向  天虹商场 满五唯一', '泉舜滨海上城  | 2室2厅 | 92.5平米 | 东南 | 精装 | 有电梯', '低楼层(共24层)2007年建塔楼  -  滨海社区', '368万', '单价39784元/平米')
('https://image1.ljcdn.com/350200-inspection/2477dc5f-a9d4-4587-b8c1-6a961c2d0d6a.JPG.296x216.jpg', '绿苑新城 两室两厅两卫  带8平露台 业主诚售', '绿苑新城一组团  | 2室2厅 | 86.31平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2011年建板楼  -  滨海社区', '315万', '单价36497元/平米')
('https://image1.ljcdn.com/350200-inspection/a51d1644-d121-443d-9fb9-d267d44fe88d.JPG.296x216.jpg', '海沧医院旁文圃花园 3室2厅 业主换房诚售', '文圃花园  | 3室2厅 | 98.16平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2003年建板楼  -  海沧生活区', '275万', '单价28016元/平米')
('https://image1.ljcdn.com/350200-inspection/5aaa485f-f9ca-489f-95b3-0b630cf878b1.JPG.296x216.jpg', '蓝湾半岛 南北通透3房诚意出售', '中骏蓝湾半岛  | 3室2厅 | 138.73平米 | 南 北 | 简装 | 有电梯', '低楼层(共20层)2008年建塔楼  -  滨海社区', '588万', '单价42385元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload0aa604bd-0fb5-4073-8c30-ba47664f896e.JPG.296x216.jpg', '天心岛 业主自住精装大三房 拎包入住', '天心岛  | 3室2厅 | 129.57平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2009年建板楼  -  滨海社区', '520万', '单价40133元/平米')
('https://image1.ljcdn.com/350200-inspection/aaf35714-fdef-4193-b4e6-2a3aef33fc85.jpg.296x216.jpg', '泉舜滨海上城 2室2厅 280万', '泉舜滨海上城  | 2室2厅 | 62.38平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2007年建塔楼  -  滨海社区', '280万', '单价44887元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadc1378844-a3df-4198-90aa-b5b3a1f1eabb.JPG.296x216.jpg', '产权满五年 在厦无二套 高装标准 楼中楼三房 舒适安家', '大金门花园  | 3室2厅 | 64.95平米 | 东 西 | 精装 | 无电梯', '高楼层(共7层)2000年建板楼  -  海沧生活区', '208万', '单价32025元/平米')
('https://image1.ljcdn.com/350200-inspection/08d072d6-5488-4d78-a690-77d77bf95346.jpg.296x216.jpg', '蓝月湾一期，带入户经典户型，满五年，高层海景房！！', '未来海岸蓝月湾一期  | 3室2厅 | 138.3平米 | 南 北 | 简装 | 有电梯', '高楼层(共31层)2007年建板楼  -  未来海岸北师大', '438万', '单价31671元/平米')
('https://image1.ljcdn.com/350200-inspection/7a4a7289-b0c2-4d9b-8af5-c3dc23d9a950.JPG.296x216.jpg', '新上湖海双景三房 总价低 温馨入住 配套齐全', '禹洲尊海  | 3室1厅 | 82.75平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2013年建塔楼  -  海沧体育中心', '335万', '单价40484元/平米')
('https://image1.ljcdn.com/350200-inspection/b9971819-c37f-40fe-970f-80977b2634dc.jpg.296x216.jpg', '兴港花园  满两年中装3房  看房方便！', '兴港花园二期  | 3室2厅 | 99.93平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  海沧外国语片区', '289万', '单价28921元/平米')
('https://image1.ljcdn.com/350200-inspection/77e4e2a7-632d-4d99-9ff6-06eb2051f695.JPG.296x216.jpg', '三源弘 3室1厅 235万', '三源弘  | 3室1厅 | 89.53平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)2005年建塔楼  -  未来海岸北师大', '235万', '单价26249元/平米')
('https://image1.ljcdn.com/350200-inspection/f6a330f5-5813-4e5b-8c7a-eabb63519f50.jpg.296x216.jpg', '海沧泉舜滨海上城楼中楼毛坯客厅挑高', '泉舜滨海上城  | 5室3厅 | 211.96平米 | 东南 | 毛坯 | 有电梯', '高楼层(共27层)2009年建塔楼  -  滨海社区', '870万', '单价41046元/平米')
('https://image1.ljcdn.com/350200-inspection/16c50c0a-a28c-4431-8f98-4c791b479ffd.JPG.296x216.jpg', '泉舜滨海上城大三房！送朝南入户，南北双向！', '泉舜滨海上城  | 3室2厅 | 138平米 | 南 | 简装 | 有电梯', '低楼层(共32层)2009年建塔楼  -  滨海社区', '490万', '单价35508元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload87c16cee-2ec2-42f3-a1cd-560eebd3626b.jpg.296x216.jpg', '广场湖畔花园 3室2厅 360万', '广场湖畔花园  | 3室2厅 | 119.42平米 | 东 | 简装 | 有电梯', '中楼层(共18层)2007年建板楼  -  海沧外国语片区', '360万', '单价30146元/平米')
('https://image1.ljcdn.com/350200-inspection/7e482876-c9b0-4671-9d15-2c6728974ba5.jpg.296x216.jpg', 'SEC泰地海西中心 5室2厅 600万', 'SEC泰地海西中心  | 5室2厅 | 240.91平米 | 南 北 | 精装 | 有电梯', '高楼层(共36层)2014年建板楼  -  海沧区政府', '600万', '单价24906元/平米')
('https://image1.ljcdn.com/350200-inspection/6d0178a4-fc52-403d-809a-3c26fd3791e7.jpg.296x216.jpg', '产权满五 在手 随时过户 读延奎 通透居家清爽装修', '金茂花园  | 2室2厅 | 81.21平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  海沧生活区', '220万', '单价27091元/平米')
('https://image1.ljcdn.com/350200-inspection/a5b0d84d-617b-4abc-8692-e6128bdd99ac.jpg.296x216.jpg', '彼岸就读双十 南北通透 满五唯一 自住精装修 业主急售', '彼岸  | 3室2厅 | 128.68平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2011年建板楼  -  滨海社区', '458万', '单价35593元/平米')
