('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload92662a90-6e06-4386-a6a6-69d133013027.jpg.296x216.jpg', '长白岛 万科城二期 南向 户型规整 两室 中间好楼层', '万科城二期  | 2室2厅 | 102.04平米 | 南 | 精装', '低楼层(共33层)2006年建板塔结合  -  和平区', '175万', '单价17151元/平米')
('https://image1.ljcdn.com/210100-inspection/960e0097-abfb-4075-b715-8deed4972895.jpg.296x216.jpg', '长白岛 长白新城 审计大厅旁 南北标准户型 满五无大税', '长白新城  | 2室2厅 | 109.6平米 | 南 北 | 其他', '低楼层(共25层)2006年建板楼  -  和平区', '95万', '单价8668元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload7bce6ff5-22cf-4eb3-baeb-efe389677f94.JPG.296x216.jpg', '世茂五里河，中间楼层，花园小区，视野好', '世茂新五里河  | 3室2厅 | 193.04平米 | 南 北 | 精装', '低楼层(共58层)2016年建板楼  -  和平区', '300万', '单价15541元/平米')
('https://image1.ljcdn.com/210100-inspection/9db006bd-d260-4eb4-b343-951717481b1a.jpg.296x216.jpg', '新加坡城 1室1厅 86万', '新加坡城  | 1室1厅 | 60.24平米 | 南 | 其他', '高楼层(共24层)2012年建板楼  -  和平区', '86万', '单价14277元/平米')
('https://image1.ljcdn.com/210100-inspection/c3d54373-12d5-4b2d-b0e4-94fd85c37827.JPG.296x216.jpg', '朗怡居 低楼层 南北四室 格局好 采光好 保持良好', '新世界花园朗怡居  | 4室2厅 | 160.26平米 | 南 北 | 简装', '低楼层(共6层)2001年建板楼  -  和平区', '260万', '单价16224元/平米')
('https://image1.ljcdn.com/210100-inspection/229c9162-e492-4e89-b8f2-70e931c8c77c.jpg.296x216.jpg', '长白岛 新加坡城 南北通透 三室两卫 看房方便', '新加坡城  | 3室2厅 | 126.44平米 | 东南 北 | 其他', '中楼层(共33层)2012年建板楼  -  和平区', '180万', '单价14237元/平米')
('https://image1.ljcdn.com/210100-inspection/f66ef775-e6b3-4593-8c53-f7d383d9beb6.jpg.296x216.jpg', '长白商圈 格林三期 情景洋房 清水三室 南北通透', '格林生活坊三期  | 3室2厅 | 119.94平米 | 南 北 | 其他', '中楼层(共5层)2008年建板楼  -  和平区', '208万', '单价17343元/平米')
('https://image1.ljcdn.com/210100-inspection/9e0b8bca-b3ee-4c60-9895-cf4506352c69.jpg.296x216.jpg', '汇锦华府 2室1厅 145万', '汇锦华府  | 2室1厅 | 87.75平米 | 南 北 | 其他', '中楼层(共34层)2016年建板楼  -  和平区', '145万', '单价16525元/平米')
('https://image1.ljcdn.com/210100-inspection/4993b3bb-fbb3-4a06-9e4f-589c5ec8ae5b.jpg.296x216.jpg', '长白岛 外滩 精装修 南北通透 满两年 无欠款 带电梯', '翰逸华园  | 2室1厅 | 73.33平米 | 南 北 | 精装', '中楼层(共16层)2008年建板楼  -  和平区', '139万', '单价18956元/平米')
('https://image1.ljcdn.com/210100-inspection/27e85127-ed61-47ec-9bd6-7b30afba9fe6.jpg.296x216.jpg', '长白华润幸福里 精装修三室 样板间一样 现代风', '华润幸福里  | 3室2厅 | 119.33平米 | 南 北 | 其他', '高楼层(共32层)2014年建板楼  -  和平区', '320万', '单价26817元/平米')
('https://image1.ljcdn.com/210100-inspection/587cb9b8-4b26-4da0-8791-dc3e38d6b83e.jpg.296x216.jpg', '长白岛 中海明珠 南北通透 前方无遮挡 采光充足', '中海国际社区三期明珠  | 4室2厅 | 194.7平米 | 南 北 | 精装', '低楼层(共33层)2012年建板楼  -  和平区', '350万', '单价17977元/平米')
('https://image1.ljcdn.com/210100-inspection/ed85cad1-c3f3-4a4b-ba0b-893d5e37da99.JPG.296x216.jpg', '龙湖唐宁ONE 2室2厅 147万', '龙湖唐宁ONE  | 2室2厅 | 88平米 | 南 北 | 其他', '中楼层(共34层)2016年建板楼  -  和平区', '147万', '单价16705元/平米')
('https://image1.ljcdn.com/210100-inspection/d5e63c7a-76c3-4b77-9dfe-d70bff9ee071.jpg.296x216.jpg', '冠芳园 5室3厅 210万', '冠芳园  | 5室3厅 | 219平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  和平区', '210万', '单价9590元/平米')
('https://image1.ljcdn.com/210100-inspection/0ffeed97-e701-4f75-a2c3-7f4a1a6bd561.JPG.296x216.jpg', '三好街 诚大数码广场 两居室 无遮挡 楼层好 中间楼层', '诚大数码广场  | 2室1厅 | 82.74平米 | 东 | 简装', '中楼层(共28层)2008年建板楼  -  和平区', '51万', '单价6164元/平米')
('https://image1.ljcdn.com/210100-inspection/3aab30dd-acb0-4703-bb52-87ce67cbd6f0.jpg.296x216.jpg', '长白岛，精装洋房，户型方正，采光好，出行方便', '格林生活坊一期  | 3室2厅 | 136.56平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  和平区', '215万', '单价15744元/平米')
('https://image1.ljcdn.com/210100-inspection/9cb3b763-83bb-46a4-bbf7-70384990624b.jpg.296x216.jpg', '翰逸华园 3室2厅 270万', '翰逸华园  | 3室2厅 | 141.8平米 | 北 | 其他', '高楼层(共7层)板楼  -  和平区', '270万', '单价19041元/平米')
('https://image1.ljcdn.com/210100-inspection/81939a82-4c5d-4594-b221-4e77f259a260.jpg.296x216.jpg', '中海国际社区四期 2室2厅 180万', '中海国际社区四期  | 2室2厅 | 97.93平米 | 南 北 | 其他', '中楼层(共33层)2015年建板楼  -  和平区', '180万', '单价18381元/平米')
('https://image1.ljcdn.com/210100-inspection/ea9151a9-1693-41d7-801b-9ad0375d3285.jpg.296x216.jpg', '中海国际社区二期 2室1厅 153万', '中海国际社区二期  | 2室1厅 | 89平米 | 南 | 精装', '低楼层(共33层)2011年建板楼  -  和平区', '153万', '单价17192元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload2d9e5fa3-4c14-4cc1-bc3f-98ceaba8fe02.JPG.296x216.jpg', '世茂五里河 地热暖器双保暖 精装修 南北通透 两室两厅', '世茂新五里河  | 2室2厅 | 144.22平米 | 南 北 | 精装', '低楼层(共58层)2016年建板楼  -  和平区', '165万', '单价11441元/平米')
('https://image1.ljcdn.com/210100-inspection/22da8431-b371-4e2f-85b0-25a57e2d2d61.jpg.296x216.jpg', '长白岛 华润幸福里 二期洋房 四居室 满两年 精装修', '华润幸福里  | 4室2厅 | 95.75平米 | 南 北 | 精装', '高楼层(共5层)暂无数据  -  和平区', '245万', '单价25588元/平米')
('https://image1.ljcdn.com/210100-inspection/57d783ae-be5e-4115-a855-53f215c19506.jpg.296x216.jpg', '长白岛 圣水苑 标准格局 南北通透好采光', '圣水苑  | 2室2厅 | 126平米 | 南 北 | 其他', '中楼层(共21层)2006年建板楼  -  和平区', '188万', '单价14921元/平米')
('https://image1.ljcdn.com/210100-inspection/f2d54f30-f607-4157-b9a5-3eab560353b1.jpg.296x216.jpg', '越秀 小三居户型 高楼层 视野好 精装修', '越秀星汇蓝海  | 3室1厅 | 95.66平米 | 西南 | 精装', '中楼层(共33层)2016年建板楼  -  和平区', '139万', '单价14531元/平米')
('https://image1.ljcdn.com/210100-inspection/bbb966a7-1304-4e22-b993-1fd3f6c2a375.jpg.296x216.jpg', '格林观堂二期 2室2厅 175万', '格林观堂二期  | 2室2厅 | 95.44平米 | 南 北 | 其他', '低楼层(共24层)2012年建板楼  -  和平区', '175万', '单价18337元/平米')
('https://image1.ljcdn.com/210100-inspection/e3d09801-a61c-4121-bd87-accc9603dce9.jpg.296x216.jpg', '格林洋房 园区中间 中间楼层 五不好房', '格林生活坊一期  | 3室2厅 | 138.02平米 | 南 北 | 其他', '中楼层(共6层)2009年建板楼  -  和平区', '235万', '单价17027元/平米')
('https://image1.ljcdn.com/210100-inspection/5283c354-5a15-40ee-88a9-db01282037f9.jpg.296x216.jpg', '长白岛 丽湾国际 自住 交通方便', '丽湾国际  | 1室1厅 | 54.8平米 | 南 | 其他', '高楼层(共31层)2011年建板楼  -  和平区', '91万', '单价16606元/平米')
('https://image1.ljcdn.com/210100-inspection/6c873f76-77f9-40c0-b2a3-3f1b3e803a84.jpg.296x216.jpg', '中海雍和精装两居 家具家电齐全 中等楼层 采光充足', '中海国际社区五期  | 2室2厅 | 89平米 | 南 北 | 精装', '中楼层(共33层)2015年建板楼  -  和平区', '176万', '单价19776元/平米')
('https://image1.ljcdn.com/210100-inspection/72c9d904-1fcb-4b01-9909-12d39d7c2246.jpg.296x216.jpg', '万科城四期 3室2厅 370万', '万科城四期  | 3室2厅 | 175平米 | 南 北 | 其他', '高楼层(共11层)2009年建板楼  -  和平区', '370万', '单价21143元/平米')
('https://image1.ljcdn.com/210100-inspection/e96d427c-5361-4432-a07a-945e3ad99085.jpg.296x216.jpg', '长白岛 中海国际社区 中间楼层 视野开阔 交通便利', '中海国际社区二期  | 2室1厅 | 72.53平米 | 西北 | 精装', '低楼层(共33层)2011年建板楼  -  和平区', '125万', '单价17235元/平米')
('https://image1.ljcdn.com/210100-inspection/test-3514efc1-960c-4878-a28b-34ce50c0a97f.png.296x216.jpg', '格林生活坊一期 3室2厅 172万', '格林生活坊一期  | 3室2厅 | 116.9平米 | 西南 | 其他', '中楼层(共29层)2009年建板楼  -  和平区', '172万', '单价14714元/平米')
('https://image1.ljcdn.com/210100-inspection/bdb2c738-77c1-4fb7-8078-8a43da1d2a52.jpg.296x216.jpg', '龙湖唐宁ONE 3室2厅 190万', '龙湖唐宁ONE  | 3室2厅 | 112平米 | 南 西 北 | 其他', '高楼层(共33层)2018年建板楼  -  和平区', '190万', '单价16965元/平米')
('https://image1.ljcdn.com/210100-inspection/ae8f2405-a2a8-456f-9f34-6fa304703b83.jpg.296x216.jpg', '长白岛内中海国际社区南北通透全明户型', '中海国际社区一期  | 3室2厅 | 138.6平米 | 南 北 | 其他', '低楼层(共33层)2009年建板楼  -  和平区', '210万', '单价15152元/平米')
('https://image1.ljcdn.com/210100-inspection/ef1e5c1d-a3ba-45d3-b1f2-5ec55342172a.jpg.296x216.jpg', '新加坡城    南北通透  采光充足   两室两厅', '新加坡城  | 2室2厅 | 97.1平米 | 南 北 | 其他', '高楼层(共18层)2012年建板楼  -  和平区', '145万', '单价14934元/平米')
('https://image1.ljcdn.com/210100-inspection/d89a889d-b1ae-44c0-9e21-1a47bce57f24.JPG.296x216.jpg', '霍尔寓所 两室两厅户型 南北朝向 户型好', '霍尔寓所  | 2室2厅 | 100.26平米 | 南 北 | 精装', '高楼层(共31层)板楼  -  和平区', '155万', '单价15460元/平米')
('https://image1.ljcdn.com/210100-inspection/bbe53162-10ea-4380-9dc9-c9ec71f073de.jpg.296x216.jpg', '万科城三期 4室2厅 210万', '万科城三期  | 4室2厅 | 149.84平米 | 西北 | 其他', '低楼层(共31层)2006年建板塔结合  -  和平区', '210万', '单价14015元/平米')
('https://image1.ljcdn.com/210100-inspection/7ce484ba-91f2-4ade-9d5b-861a821e7847.jpg.296x216.jpg', '新加坡城 2室2厅 125万', '新加坡城  | 2室2厅 | 88.06平米 | 南 北 | 其他', '高楼层(共33层)2012年建板楼  -  和平区', '125万', '单价14195元/平米')
('https://image1.ljcdn.com/210100-inspection/a478c2cd-e2e2-42b9-b516-726ec7343967.jpg.296x216.jpg', '万科城二期精装一楼 带地下室 花园', '万科城二期  | 5室3厅 | 170.42平米 | 西南 | 精装', '低楼层(共33层)2006年建板塔结合  -  和平区', '350万', '单价20538元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadeaff2a79-5cd8-49e3-9584-a8e4caea415c.jpg.296x216.jpg', '长白，格林观堂电梯洋房，欧式装修，保持新，能拎包住', '格林观堂一期  | 3室2厅 | 130.24平米 | 南 北 | 精装', '低楼层(共7层)2010年建板楼  -  和平区', '245万', '单价18812元/平米')
('https://image1.ljcdn.com/210100-inspection/481be09f-db79-4b0d-8018-8d77c2146506.jpg.296x216.jpg', '长白万科城 洋房 一梯一户 南北通透 精装 满五 无贷款', '万科城三期  | 3室2厅 | 119.98平米 | 南 北 | 其他', '高楼层(共5层)2006年建板塔结合  -  和平区', '215万', '单价17920元/平米')
('https://image1.ljcdn.com/210100-inspection/7ea82d5b-48cd-4dd7-8c2e-803cb4ee918e.jpg.296x216.jpg', '长白鹿特丹 万科精装二室 看房方便', '万科鹿特丹  | 2室2厅 | 91.31平米 | 南 北 | 其他', '高楼层(共31层)2016年建板楼  -  和平区', '160万', '单价17523元/平米')
('https://image1.ljcdn.com/210100-inspection/8807e002-517b-4de9-9c64-956459d1b5f3.jpg.296x216.jpg', '新加坡城 南向一室  精装修 看房方便', '新加坡城  | 1室1厅 | 55.19平米 | 南 | 其他', '高楼层(共26层)2012年建板楼  -  和平区', '84万', '单价15221元/平米')
('https://image1.ljcdn.com/210100-inspection/4ca42de6-6b05-437f-b38f-752605c343e9.jpg.296x216.jpg', '长白岛 格林玫瑰湾 两室南北通透 采光充足 看房方便', '格林玫瑰湾  | 2室2厅 | 88.53平米 | 南 北 | 毛坯', '高楼层(共34层)板楼  -  和平区', '161万', '单价18186元/平米')
('https://image1.ljcdn.com/210100-inspection/9002be4e-bddc-458b-bc82-cfaabc538c37.jpg.296x216.jpg', '长白岛内 吉顺家园 中间楼层 采光充足', '吉顺家园  | 2室1厅 | 80.97平米 | 南 北 | 其他', '中楼层(共7层)板楼  -  和平区', '97万', '单价11980元/平米')
('https://image1.ljcdn.com/210100-inspection/ae5f5f74-c09a-4a60-a302-cabf9151960f.jpg.296x216.jpg', '远洋三好郡 3室2厅 198万', '远洋三好郡  | 3室2厅 | 91.36平米 | 东南 北 | 精装', '中楼层(共32层)2010年建板楼  -  和平区', '198万', '单价21673元/平米')
('https://image1.ljcdn.com/210100-inspection/e13209c6-e7a3-4334-adab-5057ecd07766.jpg.296x216.jpg', '龙湖唐宁ONE 3室2厅 220万', '龙湖唐宁ONE  | 3室2厅 | 128平米 | 南 北 | 其他', '高楼层(共33层)2016年建板楼  -  和平区', '220万', '单价17188元/平米')
('https://image1.ljcdn.com/210100-inspection/4ba7bb41-785c-4dd5-ae40-90a2caf4e390.JPG.296x216.jpg', '不临街 无遮挡 地段好 交通便利 诚意出售 看房方便', '艾特商务花园  | 1室1厅 | 55.02平米 | 西 | 简装', '高楼层(共16层)暂无数据  -  和平区', '30万', '单价5453元/平米')
('https://image1.ljcdn.com/210100-inspection/6ce30d04-c955-44ff-81f0-4022c9d52452.jpg.296x216.jpg', '长白岛 半岛公馆 四室三卫 精装修 全天采光', '半岛公馆  | 4室2厅 | 230.17平米 | 东 南 北 | 其他', '中楼层(共21层)2015年建板楼  -  和平区', '370万', '单价16076元/平米')
('https://image1.ljcdn.com/210100-inspection/e39b9c10-d2bb-43b0-bb4d-6c57f8a820c7.JPG.296x216.jpg', '艾特商务花园 四室 南向户型 大面积  无遮挡 采光好', '艾特商务花园  | 4室2厅 | 221.05平米 | 南 | 其他', '中楼层(共23层)2003年建板楼  -  和平区', '110万', '单价4977元/平米')
('https://image1.ljcdn.com/210100-inspection/d5cb951d-64bc-4cb8-aa60-3dc77749aba6.jpg.296x216.jpg', '中海国际社区二期 精装两室 河景 视野好', '中海国际社区二期  | 2室1厅 | 84.45平米 | 西南 | 精装', '高楼层(共33层)2011年建板楼  -  和平区', '143万', '单价16934元/平米')
('https://image1.ljcdn.com/210100-inspection/54602bb1-109b-4384-9498-1c91497f213d.JPG.296x216.jpg', '御景新世界 2室2厅 245万', '御景新世界  | 2室2厅 | 97.86平米 | 南 | 其他', '高楼层(共33层)2014年建板楼  -  和平区', '245万', '单价25036元/平米')
('https://image1.ljcdn.com/210100-inspection/784829ba-df57-4c85-b2a5-4e672a38fde3.jpg.296x216.jpg', '长白岛外滩叁号小户型采光充足户型方正', '外滩叁号  | 1室1厅 | 43.74平米 | 东 北 | 其他', '低楼层(共33层)2011年建板楼  -  和平区', '83万', '单价18976元/平米')
('https://image1.ljcdn.com/210100-inspection/b0e8c7e6-787f-4fe0-985a-7d18ff2d5206.jpg.296x216.jpg', '长白区域 长白新城 全阳两室 简单装修 不临街不把山', '长白新城  | 2室1厅 | 76平米 | 南 | 其他', '低楼层(共34层)2006年建板楼  -  和平区', '75万', '单价9869元/平米')
('https://image1.ljcdn.com/210100-inspection/ea807135-91e5-45fd-b271-c051e6442967.jpg.296x216.jpg', '新加坡城南北 通透标户 价格带车位，中高楼层', '新加坡城  | 2室1厅 | 84.96平米 | 南 北 | 其他', '高楼层(共26层)2012年建板楼  -  和平区', '130万', '单价15302元/平米')
('https://image1.ljcdn.com/210100-inspection/249606cc-4036-45f6-808b-701f7fd32539.jpg.296x216.jpg', '中海国际双南两居 中间楼层 采光充足 诚心出售', '中海国际社区一期  | 2室2厅 | 89平米 | 南 | 其他', '高楼层(共33层)2009年建板楼  -  和平区', '155万', '单价17416元/平米')
('https://image1.ljcdn.com/210100-inspection/3c516de2-c603-4f88-ae9f-17e7ad7cea70.jpg.296x216.jpg', '天河家园四期 1室1厅 98万', '天河家园四期  | 1室1厅 | 61.31平米 | 南 西 北 | 其他', '低楼层(共6层)2006年建板楼  -  和平区', '98万', '单价15985元/平米')
('https://image1.ljcdn.com/210100-inspection/412eecf7-55b4-4d1a-a57c-ab65e924190a.jpg.296x216.jpg', '和平区 保利开发商 保利物业 一居室精装修保持不错', '保利茉莉公馆  | 1室1厅 | 58.54平米 | 西北 | 精装', '中楼层(共18层)暂无数据  -  和平区', '45万', '单价7688元/平米')
('https://image1.ljcdn.com/210100-inspection/551cc8a6-6d45-44d9-a936-8f58358b5e6d.JPG.296x216.jpg', '九洲湾景汇 地中海式一楼洋房 赠送面积大 下沉式花园', '九洲湾景汇  | 4室2厅 | 144.44平米 | 南 北 | 精装', '低楼层(共6层)2014年建板楼  -  和平区', '258万', '单价17863元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploade3709d85-6c2a-4ce1-8fb5-a21535fc980f.jpg.296x216.jpg', '长白满五年 精装修三室 采光充足 此房不临街不把山', '天河家园一期  | 3室2厅 | 132.51平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  和平区', '150万', '单价11320元/平米')
('https://image1.ljcdn.com/210100-inspection/cf0d5f31-0fb1-4987-b8a4-b086278cdf35.jpg.296x216.jpg', '长白新加坡城 精装修  楼层低 适合老人居住', '新加坡城  | 3室2厅 | 96.39平米 | 南 西 北 | 其他', '低楼层(共32层)2012年建板楼  -  和平区', '130万', '单价13487元/平米')
('https://image1.ljcdn.com/210100-inspection/cd7b1e4f-90a4-4030-970a-b79467974fbe.jpg.296x216.jpg', '外滩叁号 小户型 一室一厅 精装', '外滩叁号  | 1室1厅 | 40平米 | 南 | 精装', '中楼层(共32层)2011年建板楼  -  和平区', '75万', '单价18750元/平米')
('https://image1.ljcdn.com/210100-inspection/57419cd2-e5bd-4afb-a773-f77c6115fc53.JPG.296x216.jpg', '三好街  艾特商务花园    中间楼层', '艾特商务花园  | 1室2厅 | 78平米 | 南 | 其他', '中楼层(共23层)2003年建板楼  -  和平区', '39万', '单价5000元/平米')
