('https://image1.ljcdn.com/440100-inspection/e74c660e-183a-4352-a7f9-531a9954f25b.jpg.296x216.jpg', '科城山庄精装五房 南北通透 近地铁', '科城山庄  | 6室2厅 | 239平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2012年建塔楼  -  科学城', '850万', '单价35565元/平米')
('https://image1.ljcdn.com/440100-inspection/2770cdac-2355-411d-9ff1-5ffcd689f2cc.jpg.296x216.jpg', '科城山庄 一期 南北对流 采光好 房型方正', '科城山庄  | 5室2厅 | 238.94平米 | 南 | 其他 | 有电梯', '低楼层(共12层)2012年建塔楼  -  科学城', '880万', '单价36830元/平米')
('https://image1.ljcdn.com/440100-inspection/d8a4ea6f-545f-4809-940c-80ef658380c2.jpg.296x216.jpg', '乙烯大院，低层两房，双阳台 小区安静', '乙烯大院  | 2室1厅 | 79.1平米 | 东南 | 简装 | 无电梯', '低楼层(共8层)1998年建塔楼  -  区府', '242万', '单价30595元/平米')
('https://image1.ljcdn.com/440100-inspection/d0e47efb-209e-4897-ab1b-0b979977c32a.jpg.296x216.jpg', '悦时代花园  精装南向大三房  证满两年', '悦时代花园心悦湾  | 3室2厅 | 121.44平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2013年建塔楼  -  区府', '480万', '单价39526元/平米')
('https://image1.ljcdn.com/440100-inspection/ec70d5b7-eff3-4e18-9577-5d6e2484bc00.jpg.296x216.jpg', '省电力一局 南向三房 小区安静 中间楼层', '省电力一局  | 3室2厅 | 76.81平米 | 南 北 | 精装', '中楼层(共7层)塔楼  -  开发区', '150万', '单价19529元/平米')
('https://image1.ljcdn.com/440100-inspection/fa9b5b4e-0209-4b5d-81f8-882d1075eb77.jpg.296x216.jpg', '金碧领秀 精致装修 单身小公寓', '金碧领秀国际  | 1室1厅 | 34.39平米 | 北 | 精装 | 有电梯', '中楼层(共33层)2007年建塔楼  -  区府', '155万', '单价45072元/平米')
('https://image1.ljcdn.com/440100-inspection/6c81d1ce-a421-46fd-928e-737e99c1b37a.jpg.296x216.jpg', '墩美小区 南北通透 通风采光好', '墩美小区  | 2室2厅 | 76.96平米 | 南 北 | 简装 | 无电梯', '中楼层(共9层)1997年建塔楼  -  开发区', '140万', '单价18192元/平米')
('https://image1.ljcdn.com/440100-inspection/297235f6-14b9-454a-ac8d-5b1c835622c7.jpg.296x216.jpg', '金港花园 3室2厅 398万', '金港花园  | 3室2厅 | 94.18平米 | 南 | 其他 | 有电梯', '低楼层(共23层)2000年建塔楼  -  区府', '398万', '单价42260元/平米')
('https://image1.ljcdn.com/440100-inspection/58ee6d30-79b0-4dfc-9024-9cdff2d6540d.jpg.296x216.jpg', '金色悦府 南向高层三房 楼龄新净', '万科金色悦府  | 3室2厅 | 100平米 | 南 | 精装 | 有电梯', '高楼层(共31层)2014年建塔楼  -  区府', '400万', '单价40000元/平米')
('https://image1.ljcdn.com/440100-inspection/b5d4fa3b-a887-42cb-805b-e8ff438391bf.jpg.296x216.jpg', '东港花园 2室1厅 275万', '东港花园  | 2室1厅 | 74平米 | 北 | 精装 | 无电梯', '中楼层(共6层)2010年建塔楼  -  区府', '275万', '单价37163元/平米')
('https://image1.ljcdn.com/440100-inspection/eec9241b-39ba-45f7-a9cc-c7bd5679fcfb.jpg.296x216.jpg', '悦涛雅苑 精装修电梯三房 带平台花园', '悦涛雅苑  | 3室2厅 | 110.63平米 | 东南 | 简装 | 有电梯', '低楼层(共13层)2000年建塔楼  -  区府', '438万', '单价39592元/平米')
('https://image1.ljcdn.com/440100-inspection/92136d67-d9a4-4cf1-8de5-85cf75316de3.jpg.296x216.jpg', '怡港花园 电梯三房 户型格局好', '怡港花园  | 3室2厅 | 106平米 | 东 | 简装 | 有电梯', '中楼层(共17层)1999年建塔楼  -  区府', '425万', '单价40095元/平米')
('https://image1.ljcdn.com/440100-inspection/ea4ab65e-fb14-4bcc-8757-ac29b4d53310.jpg.296x216.jpg', '保利林语山庄别墅 五房 通风采光', '保利林语山庄   | 独栋别墅 | 5室2厅 | 224.33平米 | 南 北 | 其他', '1层暂无数据  -  科学城', '1100万', '单价49035元/平米')
('https://image1.ljcdn.com/440100-inspection/f987b8c4-187b-44ab-8497-1e833d9b42d1.jpg.296x216.jpg', '成熟地段 精装修保养好 东南向 格局方正 拎包入住', '祥辉苑  | 3室2厅 | 88.61平米 | 东南 | 精装 | 无电梯', '中楼层(共10层)塔楼  -  区府', '256万', '单价28891元/平米')
('https://image1.ljcdn.com/440100-inspection/48189bcb-a0b4-4e34-ab8b-6696dc7ecc3f.jpg.296x216.jpg', '金碧世纪花园 2室2厅 250万', '金碧世纪花园  | 2室2厅 | 69平米 | 北 | 精装 | 有电梯', '中楼层(共32层)2004年建塔楼  -  区府', '250万', '单价36232元/平米')
('https://image1.ljcdn.com/440100-inspection/292eb0fd-bacb-425d-8ba9-c272e334b245.jpg.296x216.jpg', '盛景大厦 住宅产权 新装中层南北通透 交通便利', '盛景大厦  | 3室2厅 | 78.19平米 | 南 北 | 精装 | 无电梯', '中楼层(共9层)2000年建塔楼  -  区府', '238万', '单价30439元/平米')
('https://image1.ljcdn.com/440100-inspection/test-13d710d1-84c5-49a8-8015-534d1885b565.png.296x216.jpg', '万科金色悦府 高层南向望江  户型方正实用', '万科金色悦府  | 3室2厅 | 85.64平米 | 南 | 精装 | 有电梯', '高楼层(共31层)2014年建塔楼  -  区府', '355万', '单价41453元/平米')
('https://image1.ljcdn.com/440100-inspection/6ebed5f2-3d4c-43b4-ab2d-4d43ed8c272f.jpg.296x216.jpg', '保利林语山庄3房 交通便利 环境好', '保利林语山庄6区  | 3室2厅 | 109.83平米 | 西北 | 其他 | 有电梯', '低楼层(共28层)塔楼  -  科学城', '380万', '单价34599元/平米')
('https://image1.ljcdn.com/440100-inspection/d3836099-01dd-40cb-9426-d4a61f955f29.jpg.296x216.jpg', '证满两年 金碧领秀 无抵押 看房方便 中间层 采光好', '金碧领秀国际  | 1室0厅 | 33.34平米 | 北 | 精装 | 有电梯', '低楼层(共33层)2007年建塔楼  -  区府', '152万', '单价45591元/平米')
('https://image1.ljcdn.com/440100-inspection/5b2aef12-6aae-4b05-89ba-f0b2bd6fae66.jpg.296x216.jpg', '万科新里程 实用两房 中高楼层 视野好', '万科新里程  | 2室2厅 | 75.46平米 | 东北 | 其他 | 有电梯', '高楼层(共25层)2009年建塔楼  -  科学城', '250万', '单价33131元/平米')
('https://image1.ljcdn.com/440100-inspection/0a1c5e4f-52d5-4bb8-b3db-cc45763d666e.jpg.296x216.jpg', '石化生活区 3室2厅 238万', '石化生活区  | 3室2厅 | 81.73平米 | 南 北 | 其他 | 无电梯', '中楼层(共8层)1976年建板楼  -  区府', '238万', '单价29121元/平米')
('https://image1.ljcdn.com/440100-inspection/f70fe7c4-21c4-42a4-b195-c79680c8a31c.jpg.296x216.jpg', '雅居乐富春山居 精装4房 南北对流', '雅居乐富春山居  | 4室2厅 | 184.55平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2014年建塔楼  -  科学城', '670万', '单价36305元/平米')
('https://image1.ljcdn.com/440100-inspection/18e6ebcb-b85a-4556-beed-0d9db0d8ef2b.jpg.296x216.jpg', '中海誉城  实用两房 满2年 装修保养好', '中海誉城北苑  | 2室2厅 | 85.3平米 | 西北 | 精装 | 有电梯', '高楼层(共33层)塔楼  -  科学城', '235万', '单价27550元/平米')
('https://image1.ljcdn.com/440100-inspection/aa2a5a69-4106-4e9e-88e3-ac527ebce5b9.jpg.296x216.jpg', '双岗地铁口 采光通风好 格局方正', '文船生活区新东区  | 3室1厅 | 72.47平米 | 南 | 精装 | 无电梯', '高楼层(共8层)1999年建塔楼  -  区府', '210万', '单价28978元/平米')
('https://image1.ljcdn.com/440100-inspection/335aa7ee-15fd-4950-a7ea-a911b9c6cb28.jpg.296x216.jpg', '龙光峰景华庭 单边位三房 采光好', '龙光峰景华庭  | 3室2厅 | 91.23平米 | 西北 | 其他 | 有电梯', '中楼层(共18层)2009年建塔楼  -  科学城', '265万', '单价29048元/平米')
('https://image1.ljcdn.com/440100-inspection/779c6b9f-519a-4ddd-b43d-8b31944b5159.jpg.296x216.jpg', '黄埔新村 大三房 交通便利 户型方正', '黄埔新村一期  | 3室2厅 | 110平米 | 北 | 简装 | 有电梯', '低楼层(共9层)1997年建塔楼  -  区府', '300万', '单价27273元/平米')
('https://image1.ljcdn.com/440100-inspection/ba87d4d5-6d90-443e-8659-2dc0547b560b.jpg.296x216.jpg', '蟹山远洋宿舍 2室1厅 165万', '蟹山远洋宿舍  | 2室1厅 | 52.76平米 | 南 | 简装 | 无电梯', '高楼层(共5层)2001年建板楼  -  区府', '165万', '单价31274元/平米')
('https://image1.ljcdn.com/440100-inspection/f1df3ad4-4ca2-4570-91eb-7bc445bba2cc.jpg.296x216.jpg', '海员路 2室1厅 210万', '海员路  | 2室1厅 | 72.79平米 | 东北 | 简装', '高楼层(共6层)板楼  -  区府', '210万', '单价28851元/平米')
('https://image1.ljcdn.com/440100-inspection/ac086352-0150-4cf2-867a-eb307ba1f2fe.jpg.296x216.jpg', '宏康花园宏康和园 3室1厅 206万', '宏康花园宏康和园  | 3室1厅 | 93.14平米 | 南 北 | 精装 | 有电梯', '中楼层(共15层)塔楼  -  开发东区', '206万', '单价22118元/平米')
('https://image1.ljcdn.com/440100-inspection/e3c4b2bc-45d2-4622-b40f-052726451071.jpg.296x216.jpg', '文船生活区西区 2室2厅 180万', '文船生活区西区  | 2室2厅 | 73.9平米 | 南 | 简装 | 无电梯', '低楼层(共8层)1999年建塔楼  -  区府', '180万', '单价24358元/平米')
('https://image1.ljcdn.com/440100-inspection/380f4c7a-6977-4f52-aa71-fe0c1528b363.jpg.296x216.jpg', '黄埔花园 保养好，格局方正，通风采光较好，配套完善', '黄埔花园  | 2室2厅 | 78平米 | 东北 | 精装 | 有电梯', '中楼层(共16层)2011年建塔楼  -  区府', '315万', '单价40385元/平米')
('https://image1.ljcdn.com/440100-inspection/f6c2e5ff-6b9e-4dfb-99e5-c3ecd7fc1415.jpg.296x216.jpg', '怡港花园 4室2厅 700万', '怡港花园  | 4室2厅 | 189.24平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)1999年建塔楼  -  区府', '700万', '单价36991元/平米')
('https://image1.ljcdn.com/440100-inspection/b4d28fa9-f6c8-47e2-b70c-bb38678695e1.jpg.296x216.jpg', '金丽园大三房 格局方正 采光好 安静不吵', '金丽园  | 3室2厅 | 100.55平米 | 东北 | 简装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  区府', '275万', '单价27350元/平米')
('https://image1.ljcdn.com/440100-inspection/10756195-68ad-484e-8473-17576b009d02.jpg.296x216.jpg', '凯信东方华庭 户型方正 交通便利 环境幽雅', '凯信东方华庭  | 2室2厅 | 79平米 | 北 | 其他 | 有电梯', '高楼层(共17层)塔楼  -  开发东区', '180万', '单价22785元/平米')
('https://image1.ljcdn.com/440100-inspection/af7c370b-6989-4bfd-94bc-a738a8dde8c5.jpg.296x216.jpg', '海关大院 户型可做三房 证过五年唯一', '海关大院  | 3室2厅 | 93平米 | 东北 | 精装 | 有电梯', '中楼层(共30层)1998年建塔楼  -  区府', '290万', '单价31183元/平米')
('https://image1.ljcdn.com/440100-inspection/399600d3-1e53-42e4-8ecf-6fd1adb136c5.jpg.296x216.jpg', '金碧领秀国际，精装修三房，高层', '金碧领秀国际  | 3室2厅 | 100.75平米 | 北 | 精装 | 有电梯', '高楼层(共33层)2007年建塔楼  -  区府', '420万', '单价41688元/平米')
('https://image1.ljcdn.com/440100-inspection/2979e2da-199c-4199-88f9-2da505e2b6f9.jpg.296x216.jpg', '解放村 3室2厅 260万', '解放村  | 3室2厅 | 90.67平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1994年建塔楼  -  区府', '260万', '单价28676元/平米')
('https://image1.ljcdn.com/440100-inspection/9feb70cc-e201-4ad2-9266-e7b95cf22afd.jpg.296x216.jpg', '悦涛雅苑 北向电梯二房 装修好 入怡园', '悦涛雅苑  | 2室2厅 | 68.25平米 | 北 | 简装 | 有电梯', '中楼层(共13层)2000年建塔楼  -  区府', '265万', '单价38828元/平米')
('https://image1.ljcdn.com/440100-inspection/65e7e2ac-574b-4d59-b47e-141d8f021d0c.jpg.296x216.jpg', '新港生活区 格局方正 实用一房', '新港生活区  | 1室1厅 | 39.61平米 | 南 | 精装', '中楼层(共5层)暂无数据  -  开发区', '75万', '单价18935元/平米')
('https://image1.ljcdn.com/440100-inspection/9a69973f-7c74-4f2a-82d0-06164a0b9064.jpg.296x216.jpg', '金碧世纪花园 精致两房 看房方便', '金碧世纪花园  | 2室1厅 | 65平米 | 北 | 精装 | 有电梯', '高楼层(共32层)2004年建塔楼  -  区府', '243万', '单价37385元/平米')
('https://image1.ljcdn.com/440100-inspection/cb1d34e4-802e-43af-8817-4519b62079c5.jpg.296x216.jpg', '雅居乐毛培3房 南北对流 视野开阔 景观好', '雅居乐富春山居  | 3室2厅 | 181.6平米 | 南 | 其他 | 有电梯', '高楼层(共21层)2014年建塔楼  -  科学城', '726.4万', '单价40000元/平米')
('https://image1.ljcdn.com/440100-inspection/2161ecdf-a88b-4fe0-9d1e-7ba025a890dc.jpg.296x216.jpg', '泰景花园东城华庭  全新楼盘  大四房', '泰景花园东城华庭  | 4室2厅 | 153.61平米 | 东南 南 | 精装 | 有电梯', '低楼层(共31层)2006年建塔楼  -  区府', '668万', '单价43487元/平米')
('https://image1.ljcdn.com/440100-inspection/b1ddfc69-4c9f-44c2-96f3-6a1a2632eab2.jpg.296x216.jpg', '万科金色梦想 南向三房 格局方正 南北对流 无遮挡', '万科金色梦想  | 3室2厅 | 87.6平米 | 南 | 精装 | 有电梯', '中楼层(共28层)塔楼  -  科学城', '250万', '单价28539元/平米')
('https://image1.ljcdn.com/440100-inspection/8c0b23bd-9c85-49c6-bd34-780a0f7d6207.jpg.296x216.jpg', '怡园小区 中间楼层 南北对流三房', '怡园小区  | 3室2厅 | 85.46平米 | 南 | 精装 | 无电梯', '中楼层(共8层)1992年建塔楼  -  区府', '315万', '单价36860元/平米')
('https://image1.ljcdn.com/440100-inspection/eb69ae1d-8321-479d-9f18-e3b6b6e9dd49.jpg.296x216.jpg', '茅岗路大院 低楼层 温馨一房一厅', '茅岗路605号大院  | 1室1厅 | 50.92平米 | 南 | 简装 | 无电梯', '中楼层(共6层)板楼  -  区府', '145万', '单价28477元/平米')
('https://image1.ljcdn.com/440100-inspection/311773af-1c29-4bb5-b789-a1f639cd0aad.jpg.296x216.jpg', '汇丽国际 1室0厅 83万', '汇丽国际  | 1室0厅 | 39.57平米 | 西南 | 其他', '低楼层(共16层)塔楼  -  科学城', '83万', '单价20976元/平米')
('https://image1.ljcdn.com/440100-inspection/f321a5af-090b-4b3a-aab0-5031ff66affd.jpg.296x216.jpg', '悦时代花园心悦湾 2室2厅 293万', '悦时代花园心悦湾  | 2室2厅 | 78.59平米 | 北 | 其他 | 有电梯', '中楼层(共33层)2013年建塔楼  -  区府', '293万', '单价37283元/平米')
('https://image1.ljcdn.com/440100-inspection/262782d1-2ed1-428e-be32-ad35fb953b8d.jpg.296x216.jpg', '盛景大厦 南向三房  近5号线', '盛景大厦  | 3室1厅 | 96.92平米 | 南 北 | 简装 | 无电梯', '高楼层(共9层)2000年建塔楼  -  区府', '200万', '单价20636元/平米')
('https://image1.ljcdn.com/440100-inspection/4871d6a2-3467-484e-a5e1-e3ddd2ec0d2a.jpg.296x216.jpg', '万科金色悦府 3室1厅 420万', '万科金色悦府  | 3室1厅 | 100.19平米 | 南 | 精装 | 有电梯', '低楼层(共31层)2014年建塔楼  -  区府', '420万', '单价41921元/平米')
('https://image1.ljcdn.com/440100-inspection/383b2ccb-6b58-457d-af15-054b09fe1ee1.jpg.296x216.jpg', '金碧世纪花园，少有四房户型，精装保养好', '金碧世纪花园  | 4室2厅 | 202.66平米 | 南 北 | 其他 | 有电梯', '低楼层(共25层)2004年建塔楼  -  区府', '850万', '单价41943元/平米')
('https://image1.ljcdn.com/440100-inspection/8cfc4814-c8b3-4c2a-9716-66c6366f8538.jpg.296x216.jpg', '金碧世纪花园 南向厅直出 高层安静望花园', '金碧世纪花园  | 2室2厅 | 70平米 | 南 | 简装 | 有电梯', '高楼层(共17层)2004年建塔楼  -  区府', '280万', '单价40000元/平米')
('https://image1.ljcdn.com/440100-inspection/4f712ac4-9d13-4bbc-b5cd-c141eae516bb.jpg.296x216.jpg', '金碧领秀 电梯单间 户型方正', '金碧领秀国际  | 1室0厅 | 33.34平米 | 北 | 简装 | 有电梯', '低楼层(共33层)2007年建塔楼  -  区府', '152万', '单价45591元/平米')
('https://image1.ljcdn.com/440100-inspection/46a590a0-89e4-4c10-8282-77487146c2cf.jpg.296x216.jpg', '科城山庄锦泽园 3室2厅 390万', '科城山庄锦泽园  | 3室2厅 | 87.66平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2015年建塔楼  -  科学城', '390万', '单价44491元/平米')
('https://image1.ljcdn.com/440100-inspection/074e4588-c28f-4815-aad5-a5967ae9a7b7.jpg.296x216.jpg', '精装中层四房 采光通透 格局方正实用', '时代春树里  | 4室2厅 | 113.11平米 | 南 | 其他 | 有电梯', '低楼层(共35层)塔楼  -  科学城', '380万', '单价33596元/平米')
('https://image1.ljcdn.com/440100-inspection/e0a6b32c-b5c9-4c92-ab7d-f9c14b8d62aa.jpg.296x216.jpg', '沙浦远洋宿舍 小区安静 户型方正', '沙浦远洋宿舍  | 1室1厅 | 44.88平米 | 南 | 简装 | 无电梯', '中楼层(共5层)板楼  -  区府', '88万', '单价19608元/平米')
('https://image1.ljcdn.com/440100-inspection/f4243856-8829-4a25-926f-b8add2c4312f.jpg.296x216.jpg', '万科新里程 3室2厅 298万', '万科新里程  | 3室2厅 | 88.92平米 | 西北 | 其他 | 有电梯', '中楼层(共25层)2009年建塔楼  -  科学城', '298万', '单价33514元/平米')
('https://image1.ljcdn.com/440100-inspection/test-f2a960f4-5d70-4760-b2bb-89445c7bfbdf.png.296x216.jpg', '丰逸尚居  南向望江景 电梯小两房 地铁五号线', '丰逸尚居  | 2室1厅 | 48.6平米 | 南 | 精装 | 有电梯', '高楼层(共29层)2012年建塔楼  -  区府', '183万', '单价37655元/平米')
('https://image1.ljcdn.com/440100-inspection/2dce5485-4a0b-477b-910b-954336f99a3d.jpg.296x216.jpg', '东城雅苑  南向 三房  住家装修', '东城雅苑  | 3室2厅 | 131平米 | 南 | 精装 | 无电梯', '高楼层(共21层)塔楼  -  开发东区', '270万', '单价20611元/平米')
('https://image1.ljcdn.com/440100-inspection/105ef559-3cc7-4913-aa5c-40468717eb8e.jpg.296x216.jpg', '黄电新村 框架复式大俩房 交通便利 配套成熟', '黄电新村  | 2室2厅 | 99.71平米 | 南 | 简装 | 无电梯', '高楼层(共7层)塔楼  -  开发区', '190万', '单价19056元/平米')
('https://image1.ljcdn.com/440100-inspection/fb85f3c9-3f57-45be-8a7b-9c01fd87a44d.jpg.296x216.jpg', '荔园小区 格局方正 配套成熟', '荔园小区  | 2室1厅 | 71.08平米 | 南 北 | 简装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  区府', '200万', '单价28138元/平米')
('https://image1.ljcdn.com/440100-inspection/108ca78d-2b6f-404d-aade-05febcc67d36.jpg.296x216.jpg', '东城国际 精装办公', '东城国际大厦  | 1室0厅 | 47.27平米 | 北 | 其他 | 有电梯', '低楼层(共30层)2008年建塔楼  -  区府', '75万', '单价15867元/平米')
('https://image1.ljcdn.com/440100-inspection/34f9e402-d158-4742-b3cf-bfced48f1ce0.jpg.296x216.jpg', '中海誉城南苑 3室2厅 230万', '中海誉城南苑  | 3室2厅 | 87.83平米 | 南 | 简装 | 有电梯', '低楼层(共33层)2015年建塔楼  -  科学城', '230万', '单价26187元/平米')
('https://image1.ljcdn.com/440100-inspection/6517b463-fada-4109-bb4d-6975f0e0a107.jpg.296x216.jpg', '冶炼厂宿舍  中层东南向两房  交通便利', '冶炼厂宿舍  | 2室2厅 | 75.18平米 | 东南 | 简装 | 无电梯', '中楼层(共8层)1998年建塔楼  -  区府', '155万', '单价20618元/平米')
