('https://image1.ljcdn.com/210100-inspection/63801fa1-218a-4288-aaf2-7fbd0644fe5d.JPG.296x216.jpg', '南风雅苑 3室2厅 102万', '南风雅苑  | 3室2厅 | 119.72平米 | 东 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  铁西区', '102万', '单价8520元/平米')
('https://image1.ljcdn.com/210100-inspection/acffde07-d8e2-41c4-a9bd-38dee6312dfe.JPG.296x216.jpg', '华润置地公馆 3室1厅 218万', '华润置地公馆  | 3室1厅 | 135.4平米 | 南 西 北 | 其他', '高楼层(共47层)2015年建板楼  -  铁西区', '218万', '单价16101元/平米')
('https://image1.ljcdn.com/210100-inspection/affc12f9-e20d-4114-aa83-99f4d263ea88.jpg.296x216.jpg', '南北通透不临街不把山标准户型带电梯拎包入住', '正大世纪家园  | 2室2厅 | 108平米 | 南 北 | 其他', '低楼层(共10层)2007年建板楼  -  铁西区', '100万', '单价9260元/平米')
('https://image1.ljcdn.com/210100-inspection/9a1438d4-13f8-499e-ad2a-70e6b3025ca6.jpg.296x216.jpg', '亚美利加 2室2厅 110万', '亚美利加  | 2室2厅 | 94.1平米 | 南 北 | 其他', '低楼层(共27层)2009年建板楼  -  铁西区', '110万', '单价11690元/平米')
('https://image1.ljcdn.com/210100-inspection/e4e880bf-4485-43ab-b14c-5e56e90bf232.JPG.296x216.jpg', '旭辉锦堂 3室2厅 280万', '旭辉锦堂  | 3室2厅 | 120平米 | 南 北 | 其他', '低楼层(共32层)板楼  -  铁西区', '280万', '单价23334元/平米')
('https://image1.ljcdn.com/210100-inspection/9f20d137-2e13-4dc1-b426-b29aa5715f9f.jpg.296x216.jpg', '第一城D组团 2室2厅 105万', '第一城D组团  | 2室2厅 | 98.26平米 | 东南 | 精装', '高楼层(共26层)2008年建板塔结合  -  铁西区', '105万', '单价10686元/平米')
('https://image1.ljcdn.com/210100-inspection/1bc214f6-d17c-4b7b-858d-63f21a0ff7a8.jpg.296x216.jpg', '富海铭尊 2室1厅 72万', '富海铭尊  | 2室1厅 | 75平米 | 南 | 其他', '低楼层(共16层)2005年建板楼  -  铁西区', '72万', '单价9600元/平米')
('https://image1.ljcdn.com/210100-inspection/25ad9ba4-942e-43f8-9b83-4e187f8b10ad.jpg.296x216.jpg', '万丰花苑 2室2厅 132万', '万丰花苑  | 2室2厅 | 119.94平米 | 南 北 | 其他', '中楼层(共9层)2005年建板楼  -  铁西区', '132万', '单价11006元/平米')
('https://image1.ljcdn.com/210100-inspection/test-672de146-6d30-480c-b84b-e3dda0dfcd0a.png.296x216.jpg', '巴塞罗那 南北通透三居室 精装修', '巴塞罗那二期  | 3室2厅 | 126平米 | 南 北 | 其他', '高楼层(共30层)2008年建板楼  -  铁西区', '200万', '单价15874元/平米')
('https://image1.ljcdn.com/210100-inspection/af31d6d4-e0b8-44ec-9787-5bc33a513c4b.jpg.296x216.jpg', '巴塞罗那一期 3室2厅 120万', '巴塞罗那一期  | 3室2厅 | 107平米 | 南 北 | 其他', '低楼层(共18层)2008年建板楼  -  铁西区', '120万', '单价11215元/平米')
('https://image1.ljcdn.com/210100-inspection/02c31c4a-4043-445e-b241-cb0119b22d71.jpg.296x216.jpg', '浅草绿阁七期廊桥溪语 3室1厅 98万', '浅草绿阁七期廊桥溪语  | 3室1厅 | 78.93平米 | 南 北 | 其他', '低楼层(共5层)2009年建板楼  -  铁西区', '98万', '单价12417元/平米')
('https://image1.ljcdn.com/210100-inspection/a58e8e3c-f873-4437-9154-01814c3d8d66.JPG.296x216.jpg', '鑫丰国际 2室1厅 70万', '鑫丰国际  | 2室1厅 | 68.77平米 | 南 | 简装', '低楼层(共26层)2007年建板楼  -  铁西区', '70万', '单价10179元/平米')
('https://image1.ljcdn.com/210100-inspection/8a5fa4dd-f206-476a-a159-008761bba2b4.jpg.296x216.jpg', '第一城C组团 2室2厅 93万', '第一城C组团  | 2室2厅 | 81平米 | 东南 | 其他', '中楼层(共26层)2008年建板塔结合  -  铁西区', '93万', '单价11482元/平米')
('https://image1.ljcdn.com/210100-inspection/490b3d10-7313-4b35-8544-4db9836f3bee.jpg.296x216.jpg', '第一城D组团 3室2厅 120万', '第一城D组团  | 3室2厅 | 118平米 | 南 北 | 其他', '中楼层(共30层)2008年建板塔结合  -  铁西区', '120万', '单价10170元/平米')
('https://image1.ljcdn.com/210100-inspection/6788d85b-1285-439b-b837-184afe41e4f5.jpg.296x216.jpg', '鑫丰雍景豪城 2室2厅 110万', '鑫丰雍景豪城  | 2室2厅 | 81.82平米 | 南 北 | 其他', '低楼层(共27层)2013年建板楼  -  铁西区', '110万', '单价13445元/平米')
('https://image1.ljcdn.com/210100-inspection/e7584123-4643-4033-8186-42679e47cb6e.jpg.296x216.jpg', '鑫丰国际 2室2厅 126万', '鑫丰国际  | 2室2厅 | 103.34平米 | 南 北 | 其他', '高楼层(共9层)2007年建板楼  -  铁西区', '126万', '单价12193元/平米')
('https://image1.ljcdn.com/210100-inspection/c56cc272-f2bf-46ba-b1fd-db1ea8469038.jpg.296x216.jpg', '金地名京三期 2室2厅 145万', '金地名京三期  | 2室2厅 | 94平米 | 南 北 | 其他', '低楼层(共27层)2013年建板楼  -  铁西区', '145万', '单价15426元/平米')
('https://image1.ljcdn.com/210100-inspection/99f02bce-279d-44af-8782-15748c67d40d.jpg.296x216.jpg', '新湖中国印象 2室2厅 132万', '新湖中国印象  | 2室2厅 | 100.14平米 | 南 北 | 其他', '中楼层(共11层)2006年建板楼  -  铁西区', '132万', '单价13182元/平米')
('https://image1.ljcdn.com/210100-inspection/cf28bc3c-98e6-4d3e-93c9-7c1678d357b4.JPG.296x216.jpg', '博润文仕 家乐福万达 多层三楼   南北明厅 交通发达', '博润文仕花园  | 2室1厅 | 68.3平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  铁西区', '86万', '单价12592元/平米')
('https://image1.ljcdn.com/210100-inspection/1a337287-42ce-4356-9b57-5dc930c2048d.jpg.296x216.jpg', '南北通透不临街不把山室内精装修拎包入住', '沈铁圣工佳园  | 2室2厅 | 113.01平米 | 南 北 | 其他', '低楼层(共18层)2008年建板楼  -  铁西区', '110万', '单价9734元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload0d16207d-3412-4a73-8c5e-88ee495189c1.jpg.296x216.jpg', '第壹城西区小高层南北通透标准户型两室', '第一城B组团  | 2室1厅 | 106.76平米 | 南 北 | 其他', '高楼层(共17层)2008年建板塔结合  -  铁西区', '120万', '单价11241元/平米')
('https://image1.ljcdn.com/210100-inspection/df754229-663e-473a-8b34-eba5383fa3b1.jpg.296x216.jpg', '保工街 北三路 富云新都东区 多层2楼 南北通透 不把山', '富云新都东区  | 2室2厅 | 84.88平米 | 南 北 | 其他', '低楼层(共7层)2005年建板楼  -  铁西区', '85万', '单价10015元/平米')
('https://image1.ljcdn.com/210100-inspection/f8242a78-1412-4a80-9659-b1911ff5941f.JPG.296x216.jpg', '惠和公寓，，，，，，，，，，，', '惠和公寓  | 3室2厅 | 165.37平米 | 南 北 | 其他', '中楼层(共25层)板楼  -  铁西区', '145万', '单价8769元/平米')
('https://image1.ljcdn.com/210100-inspection/0b491478-b05d-4866-a07e-c3a0a4ea8e23.JPG.296x216.jpg', '韵动领地 2室1厅 78万', '韵动领地  | 2室1厅 | 75.58平米 | 南 | 其他', '中楼层(共28层)2007年建暂无数据  -  铁西区', '78万', '单价10321元/平米')
('https://image1.ljcdn.com/210100-inspection/test-0f3e08ac-0fa7-4cbb-81fb-9b19174e159b.png.296x216.jpg', '第壹城 启工街 南北通透 小三居 业主急售 价格可议', '第一城A组团  | 2室2厅 | 98.59平米 | 南 北 | 简装', '高楼层(共24层)2008年建板塔结合  -  铁西区', '92.5万', '单价9383元/平米')
('https://image1.ljcdn.com/210100-inspection/14c9b887-fd76-435e-a2a8-999048226974.jpg.296x216.jpg', '鑫丰御景华庭 2室2厅 110万', '鑫丰御景华庭  | 2室2厅 | 83.93平米 | 东 南 北 | 其他', '低楼层(共28层)2010年建板楼  -  铁西区', '110万', '单价13107元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadfc83ecc7-924b-4a73-ae4c-0c3ee6164f2d.jpg.296x216.jpg', '铁西区保利百合花园北园小高2楼不把山不临街', '保利百合花园北园  | 3室2厅 | 106.62平米 | 南 北 | 其他', '低楼层(共11层)2009年建板楼  -  铁西区', '125万', '单价11724元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload2759882f-09cb-4e08-80cd-2b4caf01ce96.jpg.296x216.jpg', '南北通透不临街不把山不挡光低楼层拎包入住', '阳光嘉园三期四期  | 3室2厅 | 114平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  铁西区', '120万', '单价10527元/平米')
('https://image1.ljcdn.com/320100-inspection/40535948-ef00-4ed2-aa0e-732eeaa22169.JPG.296x216.jpg', '启工街第壹城 精装修东南两室一楼有花园 园区内不临街', '第一城A组团  | 2室1厅 | 88.21平米 | 东南 | 精装', '低楼层(共16层)2008年建板塔结合  -  铁西区', '110万', '单价12471元/平米')
('https://image1.ljcdn.com/210100-inspection/d9878ef2-56ea-4a6f-a108-a8c15f23161c.jpg.296x216.jpg', '龙湖花千树 2室2厅 130万', '龙湖花千树  | 2室2厅 | 89平米 | 南 北 | 其他', '中楼层(共18层)2015年建暂无数据  -  铁西区', '130万', '单价14607元/平米')
('https://image1.ljcdn.com/210100-inspection/d423befe-c8f1-4093-8b31-57573f2cb5d8.JPG.296x216.jpg', '南风雅园一期 2室2厅 86万', '南风雅园一期  | 2室2厅 | 88.81平米 | 南 北 | 其他', '高楼层(共7层)2004年建板楼  -  铁西区', '86万', '单价9684元/平米')
('https://image1.ljcdn.com/210100-inspection/8d6529ee-b833-4fec-811e-c71d31a39068.jpg.296x216.jpg', '保利心语花园 3室2厅 152万', '保利心语花园  | 3室2厅 | 131.53平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  铁西区', '152万', '单价11557元/平米')
('https://image1.ljcdn.com/210100-inspection/99828399-ad2e-4b76-bc72-11fc9037b9ac.jpg.296x216.jpg', '第一城B组团 2室2厅 120万', '第一城B组团  | 2室2厅 | 98平米 | 南 北 | 其他', '高楼层(共27层)2008年建板塔结合  -  铁西区', '120万', '单价12245元/平米')
('https://image1.ljcdn.com/210100-inspection/3a6113e1-1485-4126-a500-fba8de19df1f.JPG.296x216.jpg', '万达广场E组团 2室1厅 80万', '万达广场E组团  | 2室1厅 | 85.51平米 | 南 西 北 | 其他', '高楼层(共33层)2011年建板楼  -  铁西区', '80万', '单价9356元/平米')
('https://image1.ljcdn.com/210100-inspection/62ad8a6b-3c3b-4950-ab2f-a0bdc0f46fbd.jpg.296x216.jpg', '欧尚一品 2室1厅 112万', '欧尚一品  | 2室1厅 | 89.68平米 | 南 北 | 其他', '低楼层(共6层)2007年建板楼  -  铁西区', '112万', '单价12489元/平米')
('https://image1.ljcdn.com/210100-inspection/e389103c-7e84-4e3a-aa9c-159ae029deb9.jpg.296x216.jpg', '第一城D组团 3室2厅 132万', '第一城D组团  | 3室2厅 | 129平米 | 南 北 | 其他', '低楼层(共30层)2008年建板塔结合  -  铁西区', '132万', '单价10233元/平米')
('https://image1.ljcdn.com/210100-inspection/77a785b7-f511-4600-99db-54dfcec9cc41.jpg.296x216.jpg', '腾飞一街龙城公馆多层两室南北户型，精装修，拎包入住', '龙城公馆  | 2室1厅 | 65平米 | 南 北 | 精装', '中楼层(共4层)2010年建板楼  -  铁西区', '77万', '单价11847元/平米')
('https://image1.ljcdn.com/210100-inspection/e54d94fe-c86c-4509-888d-35f6c7e527eb.jpg.296x216.jpg', '纳帕阳光 2室1厅 91万', '纳帕阳光  | 2室1厅 | 85.7平米 | 东南 | 其他', '中楼层(共27层)板楼  -  铁西区', '91万', '单价10619元/平米')
('https://image1.ljcdn.com/210100-inspection/17cffb7b-0c50-4bf0-bf16-8565f766e153.jpg.296x216.jpg', '一环旁 铁西区 香域蓝山  精装修 带阁楼露台', '香域蓝山  | 3室2厅 | 124.34平米 | 南 北 | 其他', '高楼层(共18层)2007年建板塔结合  -  铁西区', '136万', '单价10938元/平米')
('https://image1.ljcdn.com/210100-inspection/test-336f8e8d-7071-4537-8ba2-104c5b240c40.png.296x216.jpg', '启工街第壹城小高层不临街近地铁一居户型好不挡光', '第一城F组团  | 1室1厅 | 54.85平米 | 西北 | 简装', '中楼层(共11层)2010年建板塔结合  -  铁西区', '60万', '单价10939元/平米')
('https://image1.ljcdn.com/210100-inspection/9857272b-ddd9-4a39-a4a0-b83fdbe6b6f1.JPG.296x216.jpg', '晶座 2室2厅 110万', '晶座  | 2室2厅 | 83平米 | 东南 | 其他', '中楼层(共32层)2012年建板楼  -  铁西区', '110万', '单价13254元/平米')
('https://image1.ljcdn.com/210100-inspection/9e500c37-3a9b-423a-ae3b-c75711f5b505.jpg.296x216.jpg', '富雅豪临 3室2厅 160万', '富雅豪临  | 3室2厅 | 124平米 | 南 北 | 其他', '中楼层(共11层)2006年建塔楼  -  铁西区', '160万', '单价12904元/平米')
('https://image1.ljcdn.com/210100-inspection/4547891b-6e9b-4403-a6d8-1b987f101d2e.jpg.296x216.jpg', '急售启工街第壹城精装修标准两室采光充足先到先得', '第一城B组团  | 2室2厅 | 98.79平米 | 南 北 | 其他', '高楼层(共27层)2008年建板塔结合  -  铁西区', '105万', '单价10629元/平米')
('https://image1.ljcdn.com/210100-inspection/a36d1402-9b10-4960-a6bf-479d7604714e.JPG.296x216.jpg', '精装修 不把山不临街 全天采光', '巴塞罗那二期  | 2室2厅 | 74.56平米 | 南 北 | 其他', '高楼层(共24层)2008年建板楼  -  铁西区', '110万', '单价14754元/平米')
('https://image1.ljcdn.com/210100-inspection/041b913f-d30a-40ac-bb75-140dd9656f29.jpg.296x216.jpg', '宏发国际名城 小高层精装3室 采光好', '宏发国际名城  | 3室2厅 | 117.56平米 | 南 西 北 | 精装', '高楼层(共11层)2006年建板塔结合  -  铁西区', '113万', '单价9613元/平米')
('https://image1.ljcdn.com/210100-inspection/7b321f23-ef5b-4981-b2be-52a93158c093.jpg.296x216.jpg', '美好愿景 2室2厅 99万', '美好愿景  | 2室2厅 | 104.59平米 | 南 北 | 其他', '中楼层(共11层)板楼  -  铁西区', '99万', '单价9466元/平米')
('https://image1.ljcdn.com/210100-inspection/271c4482-bba9-4ee1-a7c5-5030d39f89f4.JPG.296x216.jpg', '罗马假日 2室1厅 73万', '罗马假日  | 2室1厅 | 58平米 | 西 | 其他', '低楼层(共36层)2007年建板楼  -  铁西区', '73万', '单价12587元/平米')
('https://image1.ljcdn.com/210100-inspection/b5bc530f-d4f6-4f27-86cb-af5469b5fa2d.jpg.296x216.jpg', '光明新村 2室1厅 35万', '光明新村  | 2室1厅 | 48.19平米 | 南 北 | 其他', '高楼层(共7层)2000年建板楼  -  铁西区', '35万', '单价7263元/平米')
('https://image1.ljcdn.com/210100-inspection/a26932ee-56a5-4cb1-a663-8f1280b560e1.jpg.296x216.jpg', '保利百合花园北园 2室2厅 127万', '保利百合花园北园  | 2室2厅 | 93.42平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  铁西区', '127万', '单价13595元/平米')
('https://image1.ljcdn.com/210100-inspection/dad6d4ba-9115-4aeb-947d-5548f705b30e.jpg.296x216.jpg', '浅草绿阁七期廊桥溪语 3室2厅 135万', '浅草绿阁七期廊桥溪语  | 3室2厅 | 104.15平米 | 南 北 | 其他', '高楼层(共5层)2009年建板楼  -  铁西区', '135万', '单价12963元/平米')
('https://image1.ljcdn.com/210100-inspection/cd1e6ee9-1959-4638-8d7e-d4b3ca07b814.jpg.296x216.jpg', '凯旋门     大户型  诚心出售 随时看房', '凯旋门  | 5室2厅 | 222.4平米 | 南 北 | 精装', '高楼层(共34层)2011年建板楼  -  铁西区', '360万', '单价16188元/平米')
('https://image1.ljcdn.com/210100-inspection/9d85a93e-b503-4a14-9b77-4ab4c5b9b47c.jpg.296x216.jpg', '雍添金园 2室2厅 140万', '雍添金园  | 2室2厅 | 126平米 | 南 北 | 其他', '低楼层(共16层)2004年建板楼  -  铁西区', '140万', '单价11112元/平米')
('https://image1.ljcdn.com/210100-inspection/61037967-d036-4dff-ba12-8f9604f74f09.JPG.296x216.jpg', '万达广场C组团 2室1厅 75万', '万达广场C组团  | 2室1厅 | 83平米 | 西南 | 其他', '高楼层(共24层)2011年建板楼  -  铁西区', '75万', '单价9037元/平米')
('https://image1.ljcdn.com/210100-inspection/bbde8ecb-df3d-4b04-86c9-9e42aa228a3b.jpg.296x216.jpg', '万丰花苑 1室1厅 70万', '万丰花苑  | 1室1厅 | 66.78平米 | 南 西 北 | 其他', '高楼层(共6层)2005年建板楼  -  铁西区', '70万', '单价10483元/平米')
('https://image1.ljcdn.com/210100-inspection/c1209661-779c-4cc0-8f35-22d45c46c654.jpg.296x216.jpg', '南北通透全天采光视野开阔双南卧出行方便', '正大世纪家园  | 3室2厅 | 121.49平米 | 西南 北 | 其他', '中楼层(共27层)2007年建板楼  -  铁西区', '91万', '单价7491元/平米')
('https://image1.ljcdn.com/210100-inspection/a14d4eab-6af3-429c-924a-1af3ab514f7b.jpg.296x216.jpg', '正大世纪家园 3室2厅 97万', '正大世纪家园  | 3室2厅 | 121.49平米 | 南 北 | 其他', '高楼层(共27层)2007年建板楼  -  铁西区', '97万', '单价7985元/平米')
('https://image1.ljcdn.com/210100-inspection/628303c5-da08-4a35-b313-905e8a4e77fa.jpg.296x216.jpg', '第一城G组团 2室2厅 130万', '第一城G组团  | 2室2厅 | 105.73平米 | 南 北 | 其他', '低楼层(共17层)2008年建板塔结合  -  铁西区', '130万', '单价12296元/平米')
('https://image1.ljcdn.com/320100-inspection/519e2770-33a8-45b4-ac99-ba57fc28cc45.JPG.296x216.jpg', '齐贤街小北二路易居园不临街不把山视野开阔采光充足', '易居园  | 1室1厅 | 49.74平米 | 南 | 精装', '高楼层(共16层)2005年建板楼  -  铁西区', '35万', '单价7037元/平米')
('https://image1.ljcdn.com/210100-inspection/7caf9df9-5ef7-4571-86f3-f950c1f4aa31.JPG.296x216.jpg', '天和人家 2室1厅 85万', '天和人家  | 2室1厅 | 75.43平米 | 西南 | 其他', '高楼层(共18层)2010年建暂无数据  -  铁西区', '85万', '单价11269元/平米')
('https://image1.ljcdn.com/210100-inspection/66158553-ceb3-4c00-985a-18ab3327c5c2.jpg.296x216.jpg', '第一城A组团 3室2厅 130万', '第一城A组团  | 3室2厅 | 123.86平米 | 南 西北 | 其他', '中楼层(共24层)2008年建板塔结合  -  铁西区', '130万', '单价10496元/平米')
('https://image1.ljcdn.com/210100-inspection/7231e710-2172-4a55-9a33-743383c2a228.jpg.296x216.jpg', '万达广场E组团 3室2厅 124万', '万达广场E组团  | 3室2厅 | 127.22平米 | 东南 北 | 精装', '高楼层(共33层)2011年建板楼  -  铁西区', '124万', '单价9747元/平米')
('https://image1.ljcdn.com/210100-inspection/817035de-b1cb-4938-b0b5-034c71171f3d.jpg.296x216.jpg', '第一城B组团 2室2厅 85.5万', '第一城B组团  | 2室2厅 | 82平米 | 西南 北 | 其他', '中楼层(共17层)2008年建板塔结合  -  铁西区', '85.5万', '单价10427元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload9736f0cc-9e1d-4cc0-8ad6-38cc6c36c8ec.jpg.296x216.jpg', '北一路万达 兴华街北一东路 汇景阁 南北直通 不把山', '汇景阁  | 2室1厅 | 85.5平米 | 南 北 | 其他', '低楼层(共12层)暂无数据  -  铁西区', '80万', '单价9357元/平米')
('https://image1.ljcdn.com/210100-inspection/66830df3-1f2f-4981-bc99-d80dbefc8eeb.JPG.296x216.jpg', '巴塞罗那二期 2室2厅 142万', '巴塞罗那二期  | 2室2厅 | 98平米 | 南 北 | 其他', '高楼层(共30层)2008年建板楼  -  铁西区', '142万', '单价14490元/平米')
