('https://image1.ljcdn.com/330100-inspection/2ba2f57e-745b-44b1-a42a-8263d7b9573f.jpg.296x216.jpg', '金成经典4跃5好户型，中间楼层，全明格局。', '金成花园  | 3室2厅 | 132.77平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  文一西路', '480万', '单价36153元/平米')
('https://image1.ljcdn.com/330100-inspection/3937d1f6-1d2b-4bd4-8d20-021a5c41889b.jpg.296x216.jpg', '河滨之城一期   开发商精装修   中间楼层  看房随时', '融创河滨之城  | 3室2厅 | 89平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2016年建板楼  -  西溪', '480万', '单价53933元/平米')
('https://image1.ljcdn.com/330100-inspection/7530ea81-244a-4b41-99be-ac9ad7050776.jpg.296x216.jpg', '九莲新村   全明户型  两房朝南    楼层好', '九莲新村  | 2室1厅 | 55.08平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1987年建板楼  -  九莲', '228万', '单价41395元/平米')
('https://image1.ljcdn.com/330100-inspection/bbce394d-101d-4d4e-9409-0bc1a26dec76.jpg.296x216.jpg', '满五年且家庭名下在杭州一套住宅，没有增值税和个税', '马塍路28号  | 3室1厅 | 73.72平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1985年建板楼  -  学军', '550万', '单价74607元/平米')
('https://image1.ljcdn.com/330100-inspection/21cdbe03-7165-4c5d-aaa2-9a995fbc48c7.jpg.296x216.jpg', '九莲新村 配套成熟 交通便利 不沿街', '九莲新村  | 3室1厅 | 72.79平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1987年建板楼  -  九莲', '275万', '单价37780元/平米')
('https://image1.ljcdn.com/330100-inspection/fb53d7c6-dd22-47a4-9a59-75ca35227898.jpg.296x216.jpg', '翠苑一区中间楼层，西边套采光好，交通便利，满五唯一', '翠苑一区  | 1室1厅 | 43.69平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1986年建板楼  -  翠苑', '210万', '单价48066元/平米')
('https://image1.ljcdn.com/330100-inspection/36703ffb-36f9-4bc8-9591-f8edae5d8948.jpg.296x216.jpg', '翠苑四区绝好户型  小区中间位置  户型正气', '翠苑四区  | 2室1厅 | 51.7平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1993年建板楼  -  翠苑', '235万', '单价45455元/平米')
('https://image1.ljcdn.com/330100-inspection/259b4964-85b6-4c0b-8143-dcb9c48d7e62.jpg.296x216.jpg', '油田留下小区 印象城旁 两房一厅', '浙江油田留下小区  | 2室1厅 | 57.5平米 | 南 | 简装', '低楼层(共6层)1991年建板楼  -  西溪', '205万', '单价35653元/平米')
('https://image1.ljcdn.com/330100-inspection/e8655fd7-a816-4ed1-93c3-52c6ab0df6fb.jpg.296x216.jpg', '文教高品质三房 百米楼间距 视野开阔 精装修拎包入住', '银马公寓  | 3室2厅 | 163平米 | 南 北 | 精装 | 有电梯', '高楼层(共29层)2007年建板楼  -  文教', '1180万', '单价72393元/平米')
('https://image1.ljcdn.com/330100-inspection/test-64c0a932-6d00-4b59-9200-359845bcdca7.png.296x216.jpg', '师苑新村 地铁二号下宁桥站 客厅不算产证面积', '师苑新村  | 2室1厅 | 59.2平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1995年建板楼  -  文教', '410万', '单价69257元/平米')
('https://image1.ljcdn.com/330100-inspection/2ebcd758-611a-4786-973c-eef706f7b6aa.jpg.296x216.jpg', '翠苑一区 精装三房 中间楼层 满五唯一', '翠苑一区  | 3室1厅 | 59.92平米 | 东 西 | 精装 | 无电梯', '中楼层(共6层)1988年建板楼  -  翠苑', '310万', '单价51736元/平米')
('https://image1.ljcdn.com/330100-inspection/f845bd6d-d57c-4f3d-865c-01e9d261df73.JPG.296x216.jpg', '西湖区 小两房 楼层好 采光充足 房东诚心出售', '金穗公寓  | 2室1厅 | 58.05平米 | 南 | 简装', '高楼层(共6层)1995年建板楼  -  三墩', '222万', '单价38243元/平米')
('https://image1.ljcdn.com/330100-inspection/d9b8e173-50cb-4baf-aec4-00e086fc96bd.jpg.296x216.jpg', '三区经典两居 明厨明卫 免双税 看房方便', '翠苑三区  | 2室1厅 | 50.63平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1989年建板楼  -  翠苑', '244万', '单价48193元/平米')
('https://image1.ljcdn.com/330100-inspection/c71a3cea-4470-4388-a3e6-9d5976059fbd.JPG.296x216.jpg', '户型正气，全明，楼层好，采光好', '庙前街  | 2室2厅 | 83平米 | 南 北 | 简装', '中楼层(共6层)暂无数据  -  三墩', '340万', '单价40964元/平米')
('https://image1.ljcdn.com/330100-inspection/6d1a7614-cb6c-4cc1-9fa7-e8aba7635dd2.jpg.296x216.jpg', '中间楼层，采光好，三房户型。房东诚心出售', '求是村  | 3室1厅 | 75.3平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1988年建板楼  -  黄龙', '550万', '单价73042元/平米')
('https://image1.ljcdn.com/330100-inspection/932fc596-2df7-4da0-af82-bcf503a0db68.jpg.296x216.jpg', '武林门新村正规两居室相对安静诚心出售', '武林门新村  | 2室1厅 | 54.47平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1984年建板楼  -  文三', '398万', '单价73068元/平米')
('https://image1.ljcdn.com/330100-inspection/d52bacfd-dcb6-4de7-8f3c-0b07d9d582f7.jpg.296x216.jpg', '紫金公寓 南北通透 厨卫全明 业主诚心', '紫金公寓  | 2室2厅 | 80.15平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1996年建板楼  -  文三西路', '325万', '单价40549元/平米')
('https://image1.ljcdn.com/330100-inspection/572c6794-e01f-4c2c-a035-75b2d213221c.jpg.296x216.jpg', '香樟错层 全明户型，坐看游泳池 ，经典三房 店长推荐', '香樟公寓  | 3室2厅 | 111.96平米 | 南 | 精装 | 无电梯', '高楼层(共7层)2001年建塔楼  -  文三西路', '530万', '单价47339元/平米')
('https://image1.ljcdn.com/330100-inspection/ca460f12-1c2c-4c4f-b79b-d167bbd0ca43.jpg.296x216.jpg', '求是竞舟小學  地铁房 满两年', '恩济花苑  | 2室1厅 | 90.32平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建塔楼  -  文一西路', '445万', '单价49270元/平米')
('https://image1.ljcdn.com/330100-inspection/9b1391cb-c93f-4942-be05-7dadc1bb28f2.jpg.296x216.jpg', '华门自由21世纪 2002年交付的电梯房 大三房', '华门自由21世纪  | 3室2厅 | 121.3平米 | 南 | 简装 | 有电梯', '高楼层(共27层)2002年建塔楼  -  文教', '605万', '单价49877元/平米')
('https://image1.ljcdn.com/330100-inspection/a00908d8-6ee1-4e21-9bae-672266f04771.jpg.296x216.jpg', '可做三房，精装修，近西湖植物园', '外东山弄  | 2室1厅 | 61.18平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1987年建板楼  -  黄龙', '440万', '单价71919元/平米')
('https://image1.ljcdn.com/330100-inspection/b9496e04-e2f3-48ff-82cf-33fd80c5e388.jpg.296x216.jpg', '曙光路好房，满五唯一，带大院子，采光好，好房急售！', '曙光路小区  | 2室2厅 | 67.79平米 | 南 | 简装', '低楼层(共5层)2000年建板楼  -  黄龙', '375万', '单价55318元/平米')
('https://image1.ljcdn.com/330100-inspection/47d53274-695e-4c0b-8373-01c9e84e1a56.jpg.296x216.jpg', '中海紫藤苑精装三房边套业主诚心出售，看房方便', '中海紫藤苑  | 3室2厅 | 85.46平米 | 南 西 | 精装 | 有电梯', '中楼层(共11层)2011年建板楼  -  三墩', '380万', '单价44466元/平米')
('https://image1.ljcdn.com/330100-inspection/test-4a8e220b-76c7-4893-b153-4cfaf65db403.png.296x216.jpg', '金地自在城三房两卫户型 楼幢位置好 格局方正', '金地自在城  | 3室2厅 | 111.6平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2012年建板楼  -  三墩', '465万', '单价41667元/平米')
('https://image1.ljcdn.com/330100-inspection/3aa12bc6-c2a3-4b12-9090-971c379e980f.jpg.296x216.jpg', '满五年唯一，采光充足，交通便利，', '庆丰新村  | 2室1厅 | 70.06平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1989年建板楼  -  黄龙', '345万', '单价49244元/平米')
('https://image1.ljcdn.com/330100-inspection/c9850593-55d7-4092-b7cb-a4b6be9e87b7.JPG.296x216.jpg', '乾成园 西湖区 82方满两年精装两房 位置好 低总价', '乾成园  | 2室2厅 | 80.14平米 | 南 北 | 精装 | 有电梯', '低楼层(共16层)2009年建板楼  -  三墩', '280万', '单价34939元/平米')
('https://image1.ljcdn.com/330100-inspection/5a8cbf91-304a-4060-809f-24ea29f025ba.jpg.296x216.jpg', '梅苑阁小区闹中取静经典楼层四房格局', '梅苑阁小区  | 4室2厅 | 137.5平米 | 东 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  文教', '686万', '单价49891元/平米')
('https://image1.ljcdn.com/330100-inspection/b5725877-2a55-47e0-af4b-c65dcfd1d0aa.jpg.296x216.jpg', '西边套，业主诚心卖，看房预约，中间楼层', '中大文锦苑  | 4室2厅 | 136.82平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2001年建板楼  -  学军', '1120万', '单价81860元/平米')
('https://image1.ljcdn.com/330100-inspection/test-a9fdfc4b-ab7c-47d3-ae50-4ac4c8b527ec.png.296x216.jpg', '玖珑山168方大四房 双卧室客厅朝南 户型方正 未满2', '佳兆业玖珑山  | 4室2厅 | 168.68平米 | 南 | 毛坯 | 有电梯', '中楼层(共11层)2014年建板楼  -  转塘', '565万', '单价33496元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadabbc449b-572c-4c1b-b5ca-6886f838c3ac.jpg.296x216.jpg', '明珠公寓 新上复式四居 诚意出售', '明珠公寓  | 4室2厅 | 119.94平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1997年建板楼  -  翠苑', '570万', '单价47524元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploade1dc1e1a-ef54-4f55-a7ea-0e0a6a1bcaf7.jpg.296x216.jpg', '此房满五不唯一，没有综合税，精装修婚房', '九溪玫瑰园  | 4室2厅 | 139.07平米 | 南 | 精装', '低楼层(共3层)暂无数据  -  之江', '680万', '单价48897元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadcfed3fe8-d11c-44c8-8a41-988f6d6219e1.jpg.296x216.jpg', '河滨之城品牌开发商，绿城物业房子楼层好等待有缘的你', '融创河滨之城  | 4室2厅 | 184.38平米 | 南 北 | 精装', '中楼层(共17层)2017年建板楼  -  西溪', '1360万', '单价73761元/平米')
('https://image1.ljcdn.com/330100-inspection/67081915-fbbd-4f1a-8f60-51e70833cd8d.jpg.296x216.jpg', '刚拿到的新的价格 精装 很多客户理想的选择精装', '阳光地带东区   | 叠拼别墅 | 4室3厅 | 199.17平米 | 南 | 精装 | 无电梯', '下叠(共5层)2003年建暂无数据  -  文一西路', '1100万', '单价55230元/平米')
('https://image1.ljcdn.com/330100-inspection/98794330-d196-4d44-b71a-f503c94b5a09.jpg.296x216.jpg', '小区中间位置 全明户型 高楼层 采光好 视野佳', '山水人家诗家谷  | 3室2厅 | 137.86平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2005年建板楼  -  文三西路', '575万', '单价41709元/平米')
('https://image1.ljcdn.com/330100-inspection/8709e342-1cde-4f16-831c-7466ac3780f1.jpg.296x216.jpg', '教工路131号 省测绘局宿舍 中间楼层 全明户型', '教工路131号  | 2室1厅 | 41.87平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1981年建板楼  -  文教', '280万', '单价66874元/平米')
('https://image1.ljcdn.com/330100-inspection/2760b3a4-cd44-4d9f-91f1-09e6c91db974.JPG.296x216.jpg', '众安白马山庄  全明户型 南北双阳台 一楼带花园', '众安白马山庄   | 联排别墅 | 5室3厅 | 203.68平米 | 南 北 | 毛坯 | 无电梯', '5层2015年建暂无数据  -  小和山', '545万', '单价26758元/平米')
('https://image1.ljcdn.com/330100-inspection/test-36771f98-8c47-49b9-ae22-988c5f510f38.png.296x216.jpg', '新上优质房源  中间楼层   精装修  拎包入住', '古荡新村西区  | 2室2厅 | 54.72平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1988年建板楼  -  古荡', '230万', '单价42033元/平米')
('https://image1.ljcdn.com/330100-inspection/2be3cabf-8dba-4020-b1a1-03e095ffe357.jpg.296x216.jpg', '颐景园3房小区中间位置，视野开阔', '颐景园  | 3室2厅 | 124平米 | 南 | 精装 | 无电梯', '低楼层(共5层)2000年建板楼  -  文三西路', '550万', '单价44355元/平米')
('https://image1.ljcdn.com/330100-inspection/50ab7949-96f3-4c48-a6c6-1891a5a3cb42.jpg.296x216.jpg', '同人精华精装修，朝南，适合自住', '同人精华  | 1室1厅 | 32.58平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2014年建板塔结合  -  申花', '105万', '单价32229元/平米')
('https://image1.ljcdn.com/330100-inspection/592091d4-fb21-4987-a3fe-7f9bc2bd89c7.jpg.296x216.jpg', '诚心卖 随时看 精装修 单价低', '五洲国际广场  | 2室1厅 | 43.24平米 | 西北 北 | 简装 | 有电梯', '中楼层(共11层)2013年建板塔结合  -  申花', '138万', '单价31915元/平米')
('https://image1.ljcdn.com/330100-inspection/ba9cbf85-a80b-4718-8014-2b35d44613fe.jpg.296x216.jpg', '文三新村 正气两南一北 十三中', '文三新村  | 3室1厅 | 64.44平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1988年建板楼  -  文三', '430万', '单价66729元/平米')
('https://image1.ljcdn.com/330100-inspection/bfa41746-e4ce-4fae-a181-4cd1a95bead5.jpg.296x216.jpg', '金海公寓 新上小户型 低总价 户型方正 房东诚心出售', '金海公寓  | 2室2厅 | 48.26平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  文三西路', '220万', '单价45587元/平米')
('https://image1.ljcdn.com/330100-inspection/f56bd5af-f268-41fd-995f-5d0065a872bc.jpg.296x216.jpg', '石灰桥88年的房子 南北通透 房东诚心出售', '石灰桥新村  | 3室1厅 | 70.12平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1986年建板楼  -  文教', '400万', '单价57046元/平米')
('https://image1.ljcdn.com/330100-inspection/f89c80a4-533e-4b31-b4b4-64081fa3c7b1.jpg.296x216.jpg', '求是星洲，不占学籍。中间楼层，送储藏室，西边套', '高教新村  | 2室2厅 | 75.03平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  文一西路', '420万', '单价55978元/平米')
('https://image1.ljcdn.com/330100-inspection/c2b2598b-27a9-4453-9fca-d52919c29ade.jpg.296x216.jpg', '客厅带阳台  户型好，全明户型哟~', '兰韵天城  | 3室2厅 | 138.55平米 | 南 北 | 精装 | 有电梯', '中楼层(共10层)2000年建板楼  -  三墩', '480万', '单价34645元/平米')
('https://image1.ljcdn.com/330100-inspection/9cabfe8b-8fa0-4a71-96f0-6e85b57969f8.jpg.296x216.jpg', '古荡新村西区 总价低的一居室 可做大客厅大房间', '古荡新村西区  | 1室1厅 | 36.52平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  古荡', '165万', '单价45181元/平米')
('https://image1.ljcdn.com/330100-inspection/28e61c11-823b-4e7d-a594-eb66d84ee369.jpg.296x216.jpg', '三房 总价低    看房方便  年代新', '新德雅公寓  | 3室2厅 | 134.56平米 | 西 北 | 简装 | 有电梯', '低楼层(共27层)2000年建板塔结合  -  文教', '608万', '单价45185元/平米')
('https://image1.ljcdn.com/330100-inspection/9fbdc9b8-cfe9-4194-920e-1ac26d02181d.JPG.296x216.jpg', '新上好房 精装带家具家电 从未住过人 可拎包入住', '金地自在城  | 3室2厅 | 89平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2012年建板楼  -  三墩', '410万', '单价46068元/平米')
('https://image1.ljcdn.com/330100-inspection/b3b74f73-763f-4d30-92e8-b99d84a7795f.jpg.296x216.jpg', '翠苑一区两室，两房朝南精装修，中间楼层182万。', '翠苑一区  | 2室0厅 | 32.61平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1988年建板楼  -  翠苑', '182万', '单价55812元/平米')
('https://image1.ljcdn.com/330100-inspection/ca9cf620-2574-4083-9aad-45d36418c1d5.jpg.296x216.jpg', '黄龙和山 满两年 西边套 3个房间都是全明的 采光好', '复地黄龙和山  | 3室2厅 | 88.48平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共8层)2015年建板楼  -  西溪', '430万', '单价48599元/平米')
('https://image1.ljcdn.com/330100-inspection/666a0729-e40a-4abd-9e72-7da754447499.jpg.296x216.jpg', '小区环境优美，满二年。无户口，无车位', '众安白马山庄  | 3室2厅 | 89.02平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共34层)2015年建板塔结合  -  小和山', '265万', '单价29769元/平米')
('https://image1.ljcdn.com/330100-inspection/aad6b967-af3e-4e5d-8c10-f568206166a6.jpg.296x216.jpg', '新上优质房源，中间楼层，清爽装修，随时看房', '古荡新村西区  | 2室1厅 | 53.94平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1990年建板楼  -  古荡', '230万', '单价42640元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload0e43a9a5-d230-4174-86c7-cf78198de628.jpg.296x216.jpg', '地铁口 配套成熟 交通方便 租金稳定 40年产权', '嘉绿福苑  | 1室1厅 | 57.84平米 | 北 | 精装 | 有电梯', '低楼层(共24层)2007年建塔楼  -  嘉绿', '160万', '单价27663元/平米')
('https://image1.ljcdn.com/330100-inspection/6c7f7893-df64-4fea-909c-1129e6e41a94.jpg.296x216.jpg', '舒适大三房  单价低  西边套 全明户型 免双税', '富丽苑  | 3室2厅 | 108.23平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  嘉绿', '420万', '单价38807元/平米')
('https://image1.ljcdn.com/330100-inspection/adb801b8-e636-45ba-a004-4c49e6a3232f.jpg.296x216.jpg', '西荡苑梨苑 精装修好房子 小区中间位置', '西荡苑梨苑  | 2室1厅 | 62.56平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2001年建板楼  -  文三西路', '350万', '单价55947元/平米')
('https://image1.ljcdn.com/330100-inspection/3e1d1d93-0a72-482c-8830-34a3df87f0ab.jpg.296x216.jpg', '白荡海人家  文一街十三中 一梯一户大户型', '白荡海人家  | 4室2厅 | 182.5平米 | 南 西 北 | 精装 | 有电梯', '低楼层(共13层)2000年建板楼  -  文教', '888万', '单价48658元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadabb82000-e9c0-4122-8173-eb9a96ea9ea8.JPG.296x216.jpg', '墩时家园稀有大两房户型，免费赠送车位', '墩莳家园  | 2室2厅 | 82.3平米 | 南 | 简装', '中楼层(共26层)2012年建板楼  -  良渚', '235万', '单价28555元/平米')
('https://image1.ljcdn.com/330100-inspection/ee39c4ca-223c-488f-8ec3-4627e150e2f3.JPG.296x216.jpg', '绿城之江一号 开放商精装  边套户型   业主诚心出售', '绿城之江1号  | 4室2厅 | 188.37平米 | 南 北 | 精装 | 有电梯', '低楼层(共25层)2016年建板楼  -  转塘', '670万', '单价35569元/平米')
