('https://image1.ljcdn.com/370600-inspection/2268727c-fdd4-49e0-88b2-b373cd71b3dc.JPG.296x216.jpg', '翡翠小区+南通路+大三居+南北通透+年代新框架房', '通世里  | 3室2厅 | 111.44平米 | 南 北 | 精装', '中楼层(共5层)1999年建板楼  -  南通路', '208万', '单价18665元/平米')
('https://image1.ljcdn.com/370600-inspection/d58749ff-7734-41b1-8d20-51b0943c1b61.jpg.296x216.jpg', '厚安小区-新平街-1楼-双南卧室-低楼层-老人居住合适', '新平街  | 2室1厅 | 53.82平米 | 南 | 其他', '低楼层(共5层)1990年建板楼  -  厚安', '67万', '单价12449元/平米')
('https://image1.ljcdn.com/370600-inspection/e34a6e12-9e06-4a5d-9667-346d50937e0b.jpg.296x216.jpg', '三室格局 视野好 采光无遮挡 生活方便', '东沟路  | 3室2厅 | 71.82平米 | 南 北 | 简装', '中楼层(共7层)1991年建板楼  -  解放路', '150万', '单价20886元/平米')
('https://image1.ljcdn.com/370600-inspection/0697602a-2ec7-4b53-8626-bdcbc2387e4f.jpg.296x216.jpg', '翡翠路1楼 1楼 使用面积大 停车位多 地理位置好', '翡翠路  | 1室1厅 | 37.56平米 | 南 | 其他', '低楼层(共7层)1996年建板楼  -  上夼', '38万', '单价10118元/平米')
('https://image1.ljcdn.com/370600-inspection/1cecb087-269f-4c70-8971-f7378f7be3f9.JPG.296x216.jpg', '桦林新区，低楼层，精装三居室，91.42平 103万', '桦林新区  | 3室2厅 | 91.42平米 | 南 北 | 精装', '中楼层(共6层)暂无数据  -  魁玉路', '103万', '单价11267元/平米')
('https://image1.ljcdn.com/370600-inspection/58e19cb2-4c55-41b2-bccb-27ba7aa039e4.jpg.296x216.jpg', '南洪街中等装修楼层合适不临街不靠道出行便利', '和合胡同  | 2室1厅 | 67.23平米 | 南 北 | 精装', '中楼层(共6层)暂无数据  -  二马路', '85万', '单价12644元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload8cf820d3-6a3c-48c1-b574-66e8979842bd.jpg.296x216.jpg', '一中葡萄山+三室户型+卫生间明窗+初*之间', '福山路  | 3室1厅 | 69.56平米 | 南 北 | 简装', '中楼层(共5层)1983年建板楼  -  二马路', '165万', '单价23721元/平米')
('https://image1.ljcdn.com/370600-inspection/34f578d7-062d-475e-8956-e864d959fcb8.JPG.296x216.jpg', '南大街振华国际电梯房一室精装修配套齐全生活便利', '振华国际广场  | 1室1厅 | 59平米 | 西 | 其他', '低楼层(共26层)2010年建板塔结合  -  三站', '75万', '单价12712元/平米')
('https://image1.ljcdn.com/370600-inspection/047822f2-ed59-45da-a128-3b7c61ba6ba9.jpg.296x216.jpg', '1梯2户客厅带明窗 中间楼层不临街不靠道', '东兴街  | 2室2厅 | 55.63平米 | 南 北 | 简装', '中楼层(共7层)1989年建板楼  -  解放路', '126万', '单价22650元/平米')
('https://image1.ljcdn.com/370600-inspection/2d1df5c0-62ec-4ccb-88de-0289e89e69e7.jpg.296x216.jpg', '蓁山花园低楼层小两室 刚需必选总价低 可贷款看房方便', '蓁山花园  | 2室1厅 | 61.2平米 | 南 北 | 其他', '低楼层(共6层)1999年建板楼  -  世回尧', '73万', '单价11929元/平米')
('https://image1.ljcdn.com/370600-inspection/7c3dcae4-daee-441d-9bf2-ddd9e84cfca3.jpg.296x216.jpg', '低楼层 两居室 格局好 单价低 配套齐全 交通便利', '厚安街  | 2室1厅 | 61.04平米 | 东 | 精装', '低楼层(共6层)1992年建板楼  -  解放路', '109万', '单价17858元/平米')
('https://image1.ljcdn.com/370600-inspection/db3a09f3-c42d-417d-b430-1e020f041394.JPG.296x216.jpg', '万达公馆高档封闭小区南北通透绿化率高居住人群素质高', '万达公馆  | 4室2厅 | 197.75平米 | 南 北 | 其他', '低楼层(共30层)塔楼  -  毓璜顶', '380万', '单价19217元/平米')
('https://image1.ljcdn.com/370600-inspection/4a1ec298-3546-4e2f-90e3-85c803c90960.jpg.296x216.jpg', '农行缩水房 使用面积大 南北通透 采光充足', '金沟寨五街  | 3室2厅 | 90.33平米 | 南 北 | 简装', '低楼层(共6层)2000年建板楼  -  二马路', '235万', '单价26016元/平米')
('https://image1.ljcdn.com/370600-inspection/1a44355b-5e4b-41b7-8ea9-205fc3e68074.JPG.296x216.jpg', '环翠里 好楼层  南北通透 采光好 小区环境好', '环翠里  | 2室2厅 | 60.43平米 | 南 北 | 简装', '中楼层(共5层)1985年建板楼  -  南通路', '142万', '单价23499元/平米')
('https://image1.ljcdn.com/370600-inspection/0255639d-736c-44bc-8b63-768181d722ba.jpg.296x216.jpg', '民生小区+南北通透+单价低+看房有钥匙', '东兴街  | 2室1厅 | 61.87平米 | 南 北 | 简装', '高楼层(共5层)1989年建板楼  -  解放路', '115万', '单价18588元/平米')
('https://image1.ljcdn.com/370600-inspection/c2dff8ba-9a7c-45bd-83e3-5f64e53c78fd.jpg.296x216.jpg', '精装修大两居，房子赠送10平米的面积', '中铁逸都  | 2室2厅 | 85.28平米 | 南 | 精装', '中楼层(共18层)2013年建板楼  -  山海南路', '135万', '单价15831元/平米')
('https://image1.ljcdn.com/370600-inspection/fb3d627b-b05e-42af-b569-d575f124e38b.jpg.296x216.jpg', '通伸西街 4室1厅 135万', '通伸西街  | 4室1厅 | 108.18平米 | 南 北 | 其他', '低楼层(共7层)2001年建板楼  -  三站', '135万', '单价12480元/平米')
('https://image1.ljcdn.com/370600-inspection/3e858d4e-fbd2-49d7-be4d-ebb569f96033.JPG.296x216.jpg', '北面是毓璜顶公园距离南通路、二中400米左右 南北通透', '迎春里  | 2室1厅 | 82.31平米 | 南 北 | 简装', '低楼层(共5层)1985年建板楼  -  毓璜顶', '162万', '单价19682元/平米')
('https://image1.ljcdn.com/370600-inspection/7d7a3c20-6e1a-43ad-bdd2-e50a49d30559.JPG.296x216.jpg', '红旗里 公园旁 三楼 地势平坦 三室户型', '红旗里  | 2室2厅 | 65.46平米 | 南 北 | 简装', '中楼层(共4层)1980年建板楼  -  南通路', '138万', '单价21082元/平米')
('https://image1.ljcdn.com/370600-inspection/7e6ee3f2-a166-46c8-8d50-45118ba98acd.jpg.296x216.jpg', '顶楼加阁楼 使用面积大 东打头 带小棚  可做三室', '金沟寨四街  | 2室2厅 | 64.96平米 | 南 北 | 简装', '高楼层(共5层)1998年建板楼  -  二马路', '158万', '单价24323元/平米')
('https://image1.ljcdn.com/370600-inspection/28c45cc2-c79d-4daf-a174-0ca27e18b623.jpg.296x216.jpg', '北环山里2室一厅洗手间在屋里干净好房子', '北环山里  | 2室1厅 | 53.97平米 | 南 北 | 简装', '中楼层(共6层)1990年建板楼  -  二马路', '138万', '单价25570元/平米')
('https://image1.ljcdn.com/370600-inspection/472a641f-793a-4741-911b-7b41df063a21.jpg.296x216.jpg', '三和绿景市土双证南北通透，可贷款多层小区看房方便。', '三和绿景小区  | 2室2厅 | 76.06平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  黄务', '97.5万', '单价12819元/平米')
('https://image1.ljcdn.com/370600-inspection/980397ad-1f42-4f3b-ac1f-79f7d48d50b3.jpg.296x216.jpg', '山水龙城五区 三居室 双南卧南厅一北卧 楼层好 采光好', '山水龙城·望山苑  | 3室2厅 | 99.39平米 | 南 北 | 简装', '高楼层(共11层)2011年建板楼  -  通世南路', '135万', '单价13583元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadc1a92df6-90e6-4848-940f-bdd3de82db87.jpg.296x216.jpg', '十中潇湘单价1.5万 两室一厅可以随时看房子', '二马路  | 2室1厅 | 52.82平米 | 南 北 | 毛坯', '中楼层(共4层)暂无数据  -  二马路', '78万', '单价14768元/平米')
('https://image1.ljcdn.com/370600-inspection/79d0ec2f-43d2-49b2-a08d-acab5a852efd.jpg.296x216.jpg', '通透三室+年代新+一梯两户东打头+精装可直接住', '周乐街  | 3室1厅 | 79.02平米 | 南 北 | 精装', '高楼层(共6层)1992年建板楼  -  解放路', '178万', '单价22526元/平米')
('https://image1.ljcdn.com/370600-inspection/48396d74-22f4-4c56-a832-0980dbb1cd77.jpg.296x216.jpg', '面市街+一室+一楼+带小院+单价低', '面市街  | 1室1厅 | 48.16平米 | 南 北 | 简装', '低楼层(共6层)暂无数据  -  厚安', '69万', '单价14328元/平米')
('https://image1.ljcdn.com/370600-inspection/45aa3e88-3d70-4f78-bff0-7337eaefa476.JPG.296x216.jpg', '福兴佳苑顶楼加阁楼68.11平68万', '福兴佳苑  | 2室2厅 | 68.11平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  魁玉路', '72万', '单价10572元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload90293305-a407-4de4-ad63-51fbfb3a5ae2.jpg.296x216.jpg', '上夼美食街 奇山 采光好 户型好 楼层好', '奇山中街  | 1室1厅 | 45.78平米 | 南 北 | 其他', '中楼层(共6层)1990年建板楼  -  上夼', '44.5万', '单价9721元/平米')
('https://image1.ljcdn.com/370600-inspection/b8e67b85-f862-4f3d-bf2c-4cd1dc6bba34.jpg.296x216.jpg', '奇山中街 2楼 南北通透 采光好 出行方便', '奇山中街  | 3室1厅 | 78.9平米 | 南 北 | 其他', '低楼层(共6层)1990年建板楼  -  上夼', '88万', '单价11154元/平米')
('https://image1.ljcdn.com/370600-inspection/14f1033a-8b74-4c72-a6d0-916a7df25cf3.jpg.296x216.jpg', '奇山东街  平地起四楼  三室结构  实用面积大', '奇山东街  | 3室1厅 | 65.61平米 | 南 北 | 其他', '中楼层(共5层)1990年建板楼  -  上夼', '72万', '单价10974元/平米')
('https://image1.ljcdn.com/370600-inspection/bf45bfb4-59e7-48c5-aa16-bc1d7d008132.JPG.296x216.jpg', '大海阳路  次顶楼 3室 看房方便 赠送10多平小棚', '大海阳路  | 3室2厅 | 89.34平米 | 南 北 | 简装', '高楼层(共6层)1997年建板楼  -  三站', '99万', '单价11082元/平米')
('https://image1.ljcdn.com/370600-inspection/test-687da454-25f6-4ac3-9927-5eaa13521c29.png.296x216.jpg', '电梯房 装修别致 南北通透 拎包入住 视野开阔', '华信家园  | 3室2厅 | 119.6平米 | 南 北 | 精装', '中楼层(共11层)2010年建板楼  -  幸福', '145万', '单价12124元/平米')
('https://image1.ljcdn.com/370600-inspection/9aee510f-1b27-41d2-9f4b-c3a0251b05cd.JPG.296x216.jpg', '黄山南街 顶加阁 阁楼面积和房子面积一样大 都可出租', '黄山南街  | 2室1厅 | 51平米 | 南 | 其他', '高楼层(共6层)1985年建板楼  -  文化路', '52万', '单价10197元/平米')
('https://image1.ljcdn.com/370600-inspection/66fc88ca-eec5-4aac-bcb4-41c35ffca344.jpg.296x216.jpg', '翡翠路+马赛克房+方正客厅+采光好+总价低+易出租', '翡翠路  | 1室1厅 | 55.18平米 | 南 | 其他', '高楼层(共6层)1996年建板楼  -  上夼', '55万', '单价9968元/平米')
('https://image1.ljcdn.com/370600-inspection/3fca1b89-c18a-41f7-82fd-d28657b7cf24.jpg.296x216.jpg', '简装两室+双南卧室+民生小区+停车方便', '大兴街  | 2室1厅 | 54.67平米 | 东南 | 简装', '高楼层(共6层)1989年建板楼  -  解放路', '116万', '单价21219元/平米')
('https://image1.ljcdn.com/370600-inspection/5110b361-eb7f-419a-8eb6-b844e774928f.JPG.296x216.jpg', '振华国际 进门客厅带东阳台，双卧朝南，中等楼层！', '振华国际广场  | 2室1厅 | 95.33平米 | 东南 | 其他', '中楼层(共40层)2010年建板塔结合  -  三站', '126万', '单价13218元/平米')
('https://image1.ljcdn.com/370600-inspection/d0f70663-435f-4045-824f-bac3926fc9fd.JPG.296x216.jpg', '此房满五唯一 采光无遮挡，视野开阔南北通透两居室', '德新街  | 3室1厅 | 74.48平米 | 南 北 | 其他', '高楼层(共6层)1985年建板楼  -  毓璜顶', '122万', '单价16381元/平米')
('https://image1.ljcdn.com/370600-inspection/d87a6264-eea0-47c1-80f8-b637a0bf8e5f.jpg.296x216.jpg', '东打头 户型好 变现 可看海 带小棚 南北通透 满五唯一', '金沟寨三街  | 3室1厅 | 81.36平米 | 南 北 | 简装', '高楼层(共6层)1998年建板楼  -  二马路', '210万', '单价25812元/平米')
('https://image1.ljcdn.com/370600-inspection/test-4bd2378e-bdea-4f6d-926d-c3e830283cf0.png.296x216.jpg', '高层电梯+精装两室+采光优良+视野极1佳+地段生活便捷', '第一国际  | 2室1厅 | 66.19平米 | 东北 | 简装', '高楼层(共33层)2010年建板楼  -  上夼', '89万', '单价13447元/平米')
('https://image1.ljcdn.com/370600-inspection/977335ab-d554-4d98-aa72-eb6cabcb88e4.jpg.296x216.jpg', '房子是6楼加阁楼 南北通透 采光好！', '富顺苑西区  | 3室2厅 | 96.06平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  世回尧', '130万', '单价13534元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploaddb7ee6df-1fc7-4d30-98e7-8c3cc1e27e86.JPG.296x216.jpg', '金苹果70年产权双证，南向小户型，看房方便适合居住。', '金苹果公寓  | 1室1厅 | 49.74平米 | 东 南 | 其他', '中楼层(共8层)2004年建板楼  -  黄务', '48万', '单价9651元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploada7d8175b-712c-4834-b30d-160a3d27961e.jpg.296x216.jpg', '一中南山路，楼层好，框架结构，南北通透户型，采光好', '南沟街  | 3室2厅 | 74.26平米 | 南 北 | 精装', '高楼层(共6层)1996年建板楼  -  二马路', '200万', '单价26933元/平米')
('https://image1.ljcdn.com/370600-inspection/e31fb0b2-45fc-425a-a076-d656902d59af.jpg.296x216.jpg', '兴隆街 一梯两户 低楼层 精装两室 房子保持干净', '兴隆街  | 2室2厅 | 61.24平米 | 南 北 | 精装', '低楼层(共6层)1992年建板楼  -  厚安', '93万', '单价15187元/平米')
('https://image1.ljcdn.com/370600-inspection/test-33b2a5ad-28f0-487a-85b4-9a133663fe80.png.296x216.jpg', '南大街东方巴黎小区内三室朝阳户型+可拎包住+边邻市场', '东方巴黎  | 3室2厅 | 55.99平米 | 南 北 | 其他', '高楼层(共7层)2005年建板楼  -  三站', '48万', '单价8573元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload635e1b66-2d42-4d2b-aea4-2602bb1acc5f.jpg.296x216.jpg', '南沟街盛泰花苑 框架房 年代新 装修不错 看房方便', '南沟街  | 2室2厅 | 85.99平米 | 南 北 | 精装', '中楼层(共7层)2001年建板楼  -  二马路', '210万', '单价24422元/平米')
('https://image1.ljcdn.com/370600-inspection/45a22370-2aea-46ed-b75a-2c63ec2668e8.jpg.296x216.jpg', '南山路 3室1厅 176万', '南山路  | 3室1厅 | 75.36平米 | 南 北 | 简装', '中楼层(共5层)1996年建板楼  -  二马路', '176万', '单价23355元/平米')
('https://image1.ljcdn.com/370600-inspection/ace85765-8581-4ad5-90f4-09b179c52411.jpg.296x216.jpg', '好楼层 采光好  气象局大院 马赛克框架房 西打头', '三马路东  | 2室1厅 | 64.8平米 | 南 北 | 简装', '中楼层(共6层)1998年建板楼  -  二马路', '170万', '单价26235元/平米')
('https://image1.ljcdn.com/370600-inspection/7293073c-d83f-4d74-b95b-cbde013d5b9a.jpg.296x216.jpg', '二马路/进门客厅/南向卧室/4楼/马赛克新房/不临街', '二马路  | 3室2厅 | 90.86平米 | 南 北 | 简装', '中楼层(共6层)1999年建板楼  -  二马路', '238万', '单价26195元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload5e37bbf1-fcf0-45eb-bf56-1325d014fd15.jpg.296x216.jpg', '大南关街+一梯三户+满五唯一+MNP齐全（已查验）', '大南关街  | 2室1厅 | 49.99平米 | 南 | 简装', '高楼层(共7层)1990年建板楼  -  厚安', '47万', '单价9402元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadbc331147-49b7-4286-a5aa-d0a4e10d0e38.jpg.296x216.jpg', '一中葡萄山+年代新+南北通透+采光充足+产权清晰', '二马路  | 3室2厅 | 93.14平米 | 南 北 | 精装', '高楼层(共6层)2002年建板楼  -  二马路', '204万', '单价21903元/平米')
('https://image1.ljcdn.com/370600-inspection/c34ba0fa-92ed-4d22-9b85-d14f8d73e532.jpg.296x216.jpg', '低楼层 户型方正 南北通透 拎包入住 打头房 位置优越', '华信家园  | 2室2厅 | 90.69平米 | 南 西 北 | 其他', '低楼层(共6层)2008年建板楼  -  幸福', '123万', '单价13563元/平米')
('https://image1.ljcdn.com/370600-inspection/80bb5fa8-c956-4f37-a322-a9c0d26588dc.JPG.296x216.jpg', '解放路西厚安小区 三楼采光视野无遮挡 位置好出行方便', '三道街  | 2室1厅 | 56.7平米 | 东 西 北 | 毛坯', '中楼层(共6层)1990年建板楼  -  厚安', '65万', '单价11464元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadc4100a94-a231-40cc-b1ac-90706d897e2f.jpg.296x216.jpg', '一中+南山路+3室+双南卧+采光好+低楼层+南北通透', '南山路  | 3室2厅 | 86.82平米 | 南 北 | 简装', '低楼层(共7层)1996年建板楼  -  二马路', '218万', '单价25110元/平米')
('https://image1.ljcdn.com/370600-inspection/51c649c3-0508-421b-8415-2b3f86ec96ab.jpg.296x216.jpg', '二马路+南北通透+带小院+简单干净', '二马路  | 2室1厅 | 55.75平米 | 南 北 | 简装', '低楼层(共6层)1989年建板楼  -  二马路', '140万', '单价25113元/平米')
('https://image1.ljcdn.com/370600-inspection/d951fde1-a40a-4aed-aa71-755985e07c6a.jpg.296x216.jpg', '振华国际+封闭小区+南北通透.', '振华国际广场  | 3室2厅 | 138.6平米 | 南 北 | 精装', '低楼层(共28层)2010年建板塔结合  -  三站', '156万', '单价11256元/平米')
('https://image1.ljcdn.com/370600-inspection/93f5a00c-8df5-4d96-b9c0-4336b850d053.JPG.296x216.jpg', '东风里 南通路 生活方便 周边配套齐全 采光视野好', '东风里  | 2室1厅 | 70.87平米 | 南 北 | 简装', '中楼层(共5层)1985年建板楼  -  毓璜顶', '150万', '单价21166元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload171aad19-d071-4322-a239-62231b328d42.jpg.296x216.jpg', '十中南山路 南北通透 一梯两户不临街不靠道，楼层好', '民生街  | 3室2厅 | 83.63平米 | 南 北 | 毛坯', '低楼层(共6层)1989年建板楼  -  解放路', '170万', '单价20328元/平米')
('https://image1.ljcdn.com/370600-inspection/2d8ef815-b1f8-4070-bf65-59a8c643556f.jpg.296x216.jpg', '新世界花园 三室两厅 南北通透  看房方便 拎包入住', '新世界花园  | 3室2厅 | 103.91平米 | 南 北 | 其他', '高楼层(共19层)2005年建板楼  -  幸福', '130万', '单价12511元/平米')
('https://image1.ljcdn.com/370600-inspection/b39f6ba3-ed1c-498c-ba4c-fa7e2adf1d10.JPG.296x216.jpg', '世秀新区 南厅南卧 简欧风格精装修 带小棚', '世秀新区  | 2室2厅 | 75平米 | 南 西 | 精装', '高楼层(共6层)1997年建板楼  -  惠安', '91万', '单价12134元/平米')
('https://image1.ljcdn.com/370600-inspection/b4d08d13-7566-42bb-a182-5acecf8142b5.jpg.296x216.jpg', '距离十中100米左右 南北通透两室采光充足停车方便', '大兴街  | 2室1厅 | 55.55平米 | 南 北 | 简装', '高楼层(共6层)1989年建板楼  -  解放路', '115万', '单价20703元/平米')
