('https://image1.ljcdn.com/340100-inspection/b38fdbfa-b5e1-4192-959b-33a6be533b07.jpg.296x216.jpg', '绿怡居东区 2室1厅 94万', '绿怡居东区  | 2室1厅 | 51.8平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  荷叶地', '94万', '单价18147元/平米')
('https://image1.ljcdn.com/340100-inspection/daaebd97-7e72-4406-bf62-2a1619c6aa4b.JPG.296x216.jpg', '水墨兰庭 小高层 通透两房 毛坯 可自行改造装修', '水墨兰庭  | 2室2厅 | 94.75平米 | 南 北 | 其他', '低楼层(共18层)2005年建板楼  -  笔架山', '218万', '单价23008元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada3d721ac-b027-4656-8fdd-991b7d1c218b.jpg.296x216.jpg', '天鹅湖一号精装2室2厅 包含产权车位 中高楼层拎包入住', '天鹅湖一号  | 2室2厅 | 85.7平米 | 南 | 其他', '中楼层(共34层)2011年建塔楼  -  荷叶地', '225万', '单价26255元/平米')
('https://image1.ljcdn.com/340100-inspection/88a91441-142c-4733-905e-d805a86de946.JPG.296x216.jpg', '宋都西湖花苑 3室2厅 315万', '宋都西湖花苑  | 3室2厅 | 131.26平米 | 南 北 | 其他', '高楼层(共11层)2007年建板楼  -  笔架山', '315万', '单价23999元/平米')
('https://image1.ljcdn.com/340100-inspection/c8f5f65f-6d28-4640-947c-c7d673bb1420.jpg.296x216.jpg', '小区居中位置，满五年，视野开阔，采光充足。', '宋都西湖花苑  | 3室2厅 | 96.25平米 | 南 | 其他', '低楼层(共18层)2007年建板楼  -  笔架山', '288万', '单价29923元/平米')
('https://image1.ljcdn.com/340100-inspection/1659f482-fa34-46b1-b868-953b43f406b3.jpg.296x216.jpg', '为你而选为你为家 华邦 高档小区  楼层好  有产权车位', '华邦世贸城  | 3室2厅 | 116.3平米 | 南 | 其他', '中楼层(共30层)2013年建板楼  -  荷叶地', '260万', '单价22356元/平米')
('https://image1.ljcdn.com/340100-inspection/test-d55b9940-fb08-4239-8e8f-12546bfa3e3b.png.296x216.jpg', '御龙湾精装两居，满两年，总价低，拎包即住！', '乐富强御龙湾  | 2室1厅 | 77.59平米 | 西北 | 其他', '低楼层(共32层)2011年建塔楼  -  笔架山', '165万', '单价21266元/平米')
('https://image1.ljcdn.com/340100-inspection/c6d17324-09c4-4557-9963-0b2d44eebf1a.jpg.296x216.jpg', '银泰城旁 四房 改三房  采光好 视野好 位置安静', '华邦世贸城  | 4室2厅 | 137.29平米 | 南 北 | 其他', '中楼层(共33层)2013年建板楼  -  荷叶地', '326万', '单价23746元/平米')
('https://image1.ljcdn.com/340100-inspection/1ea18c17-23d1-4bb1-ab4c-64c3c8573f08.jpg.296x216.jpg', '皖西厂两居室 南北通透 小两居 看房随时 急售', '皖西新村  | 2室1厅 | 66.12平米 | 南 北 | 其他', '高楼层(共6层)1990年建板楼  -  荷叶地', '99万', '单价14973元/平米')
('https://image1.ljcdn.com/340100-inspection/8f810d70-d96e-4adc-b1bd-999c8625b7e7.JPG.296x216.jpg', '满五年 视野敞亮遥看公园景观！赠送面积大！', '水墨兰庭北区  | 3室2厅 | 126平米 | 南 北 | 其他', '高楼层(共29层)2005年建板楼  -  笔架山', '305万', '单价24207元/平米')
('https://image1.ljcdn.com/340100-inspection/d569e04d-9ddd-4106-84e7-87c18aa731be.jpg.296x216.jpg', '为你而选为你为家 政务区 品质小区 一楼复式 舒适', '文一名门首府  | 4室2厅 | 235.11平米 | 南 北 | 其他', '低楼层(共34层)2017年建塔楼  -  兴园', '325万', '单价13824元/平米')
('https://image1.ljcdn.com/340100-inspection/6b628926-19c8-4049-b56f-513e55f7e2fb.jpg.296x216.jpg', '为你而选为你为家 新地小三房 中层采光好 统一精装修', '新地中心  | 3室2厅 | 118.29平米 | 南 | 其他', '中楼层(共44层)2012年建塔楼  -  荷叶地', '325万', '单价27475元/平米')
('https://image1.ljcdn.com/340100-inspection/40817a72-1796-4ffb-86d4-acc9624ae59b.JPG.296x216.jpg', '大型小区，大四房户型，诚心出售', '宋都西湖花苑  | 4室2厅 | 147.86平米 | 南 北 | 其他', '低楼层(共6层)2007年建板楼  -  笔架山', '350万', '单价23672元/平米')
('https://image1.ljcdn.com/340100-inspection/8c4af3e2-7189-4e52-8cd6-e04e9be7eeee.jpg.296x216.jpg', '东边户，满五年采光好，天鹅湖边，步行过天桥即到万达', '天鹅湾花园  | 3室2厅 | 143平米 | 南 北 | 其他', '高楼层(共26层)2008年建塔楼  -  笔架山', '310万', '单价21679元/平米')
('https://image1.ljcdn.com/340100-inspection/test-748d292a-a397-46db-b5fa-9c2dd2c6724e.png.296x216.jpg', '满五年，小区房子位置安静，楼层好，采光好，交通方便', '国际丽晶城  | 2室2厅 | 82.94平米 | 南 | 其他', '中楼层(共26层)2006年建塔楼  -  笔架山', '210万', '单价25320元/平米')
('https://image1.ljcdn.com/340100-inspection/2ad763fd-51f5-4bd1-8815-c23d67177ddf.jpg.296x216.jpg', '华邦小三居 俯瞰天鹅湖 次新小区 户型周正', '华邦世贸城  | 3室2厅 | 93.72平米 | 南 | 其他', '高楼层(共30层)2013年建板楼  -  荷叶地', '210万', '单价22408元/平米')
('https://image1.ljcdn.com/340100-inspection/b3909ff1-9a7d-487f-8552-a4ea4fd8422d.jpg.296x216.jpg', '陶然居南北通透大三房，中间楼层，满五年诚售！', '陶然居  | 3室2厅 | 136.93平米 | 南 北 | 其他', '中楼层(共18层)2009年建板楼  -  荷叶地', '295万', '单价21544元/平米')
('https://image1.ljcdn.com/340100-inspection/aa9748d8-4b42-4952-bc13-bf710bbfcfca.jpg.296x216.jpg', '发能太阳海岸 户型方正 采光较好 中间楼层', '发能太阳海岸  | 1室1厅 | 63.56平米 | 南 | 其他', '低楼层(共30层)2010年建塔楼  -  笔架山', '140万', '单价22027元/平米')
('https://image1.ljcdn.com/340100-inspection/85dcb20d-63db-40c5-ac6c-c08a835260e1.jpg.296x216.jpg', '森林海 位置好 边户户型 中高楼层 采光好', '森林海  | 2室2厅 | 97.28平米 | 南 | 其他', '中楼层(共32层)2010年建塔楼  -  笔架山', '210万', '单价21588元/平米')
('https://image1.ljcdn.com/340100-inspection/0ddadc0b-4978-41eb-b009-f67d339bc662.jpg.296x216.jpg', '天鹅湖九号 3室2厅 200万', '天鹅湖九号  | 3室2厅 | 97.54平米 | 南 | 其他', '高楼层(共23层)2012年建板楼  -  荷叶地', '200万', '单价20505元/平米')
('https://image1.ljcdn.com/340100-inspection/2620645d-bce7-4815-8963-e4573fab16b4.jpg.296x216.jpg', '恒大华府 花园洋房 纯毛坯 大露台 采光视野好', '恒大华府  | 4室2厅 | 311.79平米 | 东南 西北 | 其他', '中楼层(共11层)2011年建板楼  -  兴园', '630万', '单价20206元/平米')
('https://image1.ljcdn.com/340100-inspection/f997654b-4229-46e9-be47-fd067dafdc08.jpg.296x216.jpg', '南北通透三室 满两年 户型正气 简单装修', '绿怡居西区  | 3室2厅 | 76.18平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  荷叶地', '136万', '单价17853元/平米')
('https://image1.ljcdn.com/340100-inspection/688560c9-0936-45f9-a7be-63379f7e88a1.jpg.296x216.jpg', '大三居，两房朝南户型方正，采光充足客厅明亮带大阳台', '信达水岸茗都  | 3室2厅 | 129.44平米 | 南 北 | 其他', '中楼层(共18层)2008年建板楼  -  笔架山', '312万', '单价24104元/平米')
('https://image1.ljcdn.com/340100-inspection/62f075d2-19b2-461e-ad9b-0aaf42537882.JPG.296x216.jpg', '高楼层三房，视野好。包含产权车位', '国贸天琴湾  | 3室2厅 | 122.81平米 | 南 | 其他', '中楼层(共34层)2012年建塔楼  -  笔架山', '360万', '单价29314元/平米')
('https://image1.ljcdn.com/340100-inspection/a3b7a471-a93e-4038-829e-234eea88b160.JPG.296x216.jpg', '融侨天骏 三室朝南 全明格局 采光充足 不临主干道', '融侨天骏  | 2室2厅 | 87.81平米 | 南 | 其他', '高楼层(共33层)2010年建塔楼  -  笔架山', '225万', '单价25624元/平米')
('https://image1.ljcdn.com/340100-inspection/dd9214e8-0894-4373-9a54-142622ae4cfe.jpg.296x216.jpg', '政务新区浅水湾 南北通透大两房，采光好，诚心售', '浅水湾  | 2室2厅 | 87.62平米 | 南 北 | 其他', '高楼层(共6层)2004年建塔楼  -  荷叶地', '160万', '单价18261元/平米')
('https://image1.ljcdn.com/340100-inspection/df614127-d494-422f-85ac-277a6b5bd259.JPG.296x216.jpg', '正规三房，看房随时，带装修，拎包入住', '乐富强御龙湾  | 3室2厅 | 105平米 | 南 北 | 其他', '中楼层(共33层)2011年建塔楼  -  笔架山', '270万', '单价25715元/平米')
('https://image1.ljcdn.com/340100-inspection/f1f8b4d7-1b80-4aef-901c-5dc532a22f00.jpg.296x216.jpg', '天鹅湖旁国际花都郁金苑大两房，居家之选', '国际花都郁金苑  | 2室2厅 | 93.59平米 | 南 北 | 其他', '中楼层(共11层)2003年建板楼  -  荷叶地', '190万', '单价20302元/平米')
('https://image1.ljcdn.com/340100-inspection/9a8605ce-dc4c-42fb-b0da-346db089f4a1.jpg.296x216.jpg', '岸上玫瑰南区 新上四居室 精装修', '岸上玫瑰  | 4室2厅 | 153.25平米 | 南 北 | 其他', '中楼层(共11层)2009年建板楼  -  笔架山', '410万', '单价26754元/平米')
('https://image1.ljcdn.com/340100-inspection/2160f207-4121-4f4b-8ee5-04045f855cd3.jpg.296x216.jpg', '精装三室 居家必选  满五唯一', '华邦世贸城  | 3室1厅 | 93.14平米 | 南 | 其他', '中楼层(共33层)2013年建板楼  -  荷叶地', '215万', '单价23084元/平米')
('https://image1.ljcdn.com/340100-inspection/fa89da76-1c2a-4fc7-9b43-1e960c5976ad.jpg.296x216.jpg', '满两年 自住装修 户型正气 有大露台', '祥源汇博名座  | 1室1厅 | 53.77平米 | 南 | 其他', '高楼层(共17层)2010年建塔楼  -  荷叶地', '118万', '单价21946元/平米')
('https://image1.ljcdn.com/340100-inspection/06d0f616-e962-429c-b4c6-9c413881f2b2.jpg.296x216.jpg', '生活便利   拎包入住   采光好', 'imore公寓  | 3室2厅 | 145.63平米 | 南 | 其他', '低楼层(共35层)2014年建塔楼  -  笔架山', '230万', '单价15794元/平米')
('https://image1.ljcdn.com/340100-inspection/764823c5-a875-442e-a690-df3411c41168.jpg.296x216.jpg', '楼层好，位置好，采光无影响，业主诚心出售', '琥珀五环城和风阁  | 3室2厅 | 128.64平米 | 南 北 | 其他', '中楼层(共33层)2016年建塔楼  -  荷叶地', '245万', '单价19046元/平米')
('https://image1.ljcdn.com/340100-inspection/0d652698-369d-4d0b-9ad4-1bb22c2ea044.jpg.296x216.jpg', '此房满两年，精装修，业主诚心出售，楼层好，视野好', '凯旋门  | 3室2厅 | 135平米 | 南 北 | 其他', '高楼层(共41层)2012年建塔楼  -  荷叶地', '400万', '单价29630元/平米')
('https://image1.ljcdn.com/340100-inspection/6b708d62-d012-4776-8296-eebbc49c7699.JPG.296x216.jpg', '发能太阳海岸南北通透三居室。精装修自住，看房随时', '发能太阳海岸  | 3室2厅 | 134.53平米 | 南 北 | 其他', '低楼层(共30层)2010年建塔楼  -  笔架山', '265万', '单价19699元/平米')
('https://image1.ljcdn.com/340100-inspection/ca380fef-4172-440e-936f-cbbe80897094.jpg.296x216.jpg', '国际花都玫瑰苑  中高楼层   全天采光   满五年', '国际花都玫瑰苑  | 3室2厅 | 120.82平米 | 南 | 其他', '中楼层(共10层)2005年建塔楼  -  荷叶地', '228万', '单价18872元/平米')
('https://image1.ljcdn.com/340100-inspection/7b1de65f-ae5d-428c-873e-8d341a3e0b69.JPG.296x216.jpg', '此房满五唯一，楼层好，诚心售，采光充足，视野开阔。', '颐园世家  | 2室2厅 | 91.98平米 | 南 | 其他', '中楼层(共18层)2005年建板楼  -  笔架山', '235万', '单价25550元/平米')
('https://image1.ljcdn.com/340100-inspection/da5d3cb7-46a3-4851-bc58-2cc71fdc23da.jpg.296x216.jpg', '九月满两年，全南户型，出行方便', '国建香榭水都  | 3室2厅 | 117平米 | 南 北 | 其他', '低楼层(共18层)2008年建塔楼  -  笔架山', '268万', '单价22906元/平米')
('https://image1.ljcdn.com/340100-inspection/863cda0b-53cf-4e2a-ab2c-b1e8243c2cb9.jpg.296x216.jpg', '汇林阁 小高层 商品房性质 大四房 东边套 西园新村', '汇林阁小区小高层西  | 4室2厅 | 138.3平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  笔架山', '245万', '单价17716元/平米')
('https://image1.ljcdn.com/340100-inspection/a2225b28-e86e-4372-8f04-1b2b78b51766.jpg.296x216.jpg', '一期两居室+60万装修+拎包入住+采光好+满两年', '凯旋门  | 2室2厅 | 112.6平米 | 南 | 其他', '低楼层(共45层)2012年建塔楼  -  荷叶地', '325万', '单价28864元/平米')
('https://image1.ljcdn.com/340100-inspection/fd4fca0e-ead9-4b0e-a0da-fbddaafb4771.jpg.296x216.jpg', '刚需优选，绿怡居东区小高层方正户型', '绿怡居东小高层  | 3室2厅 | 119.74平米 | 南 北 | 其他', '低楼层(共11层)2004年建塔楼  -  荷叶地', '192万', '单价16035元/平米')
('https://image1.ljcdn.com/340100-inspection/a690d8fa-798e-4123-88d3-1de16b6cc117.jpg.296x216.jpg', '为你而选为你为家 天鹅湖一号！！！', '天鹅湖一号  | 3室2厅 | 101.02平米 | 南 北 | 其他', '高楼层(共33层)2011年建塔楼  -  荷叶地', '255万', '单价25243元/平米')
('https://image1.ljcdn.com/340100-inspection/6f3af386-9c39-45d0-9693-d3c0e49de8e5.jpg.296x216.jpg', '祥源汇博名座 小两房 价格合理 看房方便 满五且唯一', '祥源汇博名座  | 2室1厅 | 60.95平米 | 西 | 其他', '高楼层(共26层)2010年建塔楼  -  荷叶地', '104万', '单价17064元/平米')
('https://image1.ljcdn.com/340100-inspection/820f7f40-360d-44c4-aca2-d1cacba5e106.jpg.296x216.jpg', '政务区   满两年  中高楼层   配套齐全', '茗香苑  | 3室2厅 | 112.18平米 | 南 北 | 其他', '中楼层(共18层)2012年建塔楼  -  荷叶地', '203万', '单价18096元/平米')
('https://image1.ljcdn.com/340100-inspection/a0a0cc43-1543-46b6-b7cc-f5ef53cf5796.jpg.296x216.jpg', '本房多层住宅，浪费面积小，房本满五年，没有增值税。', '岸上玫瑰  | 3室2厅 | 130.39平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  笔架山', '360万', '单价27610元/平米')
('https://image1.ljcdn.com/340100-inspection/7b41f4b0-d224-4f75-ab96-97542f4ca049.jpg.296x216.jpg', '御龙湾的两房户型，满五唯一，采光好', '乐富强御龙湾  | 2室1厅 | 89.67平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  笔架山', '220万', '单价24535元/平米')
('https://image1.ljcdn.com/340100-inspection/e104f111-b697-49d0-bfb5-ce2a3ef522eb.jpg.296x216.jpg', '客厅朝南 户型方正 20万居家装修 中高楼层 采光好', '祥源汇博名座  | 2室2厅 | 72.6平米 | 南 | 其他', '中楼层(共26层)2010年建塔楼  -  荷叶地', '128万', '单价17631元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload77c1786c-e2c1-4602-84fd-d31a6e3279fd.jpg.296x216.jpg', '高楼层户型方正，采光全天无遮挡。', '绿怡居西小高层  | 4室2厅 | 160.3平米 | 南 | 其他', '中楼层(共11层)2004年建板楼  -  荷叶地', '258万', '单价16095元/平米')
('https://image1.ljcdn.com/340100-inspection/94ff9a9d-9323-4c91-a3f3-380299a37675.jpg.296x216.jpg', '全南两房，楼层好，业主诚心卖，采光充足。', '信达水岸茗都  | 2室2厅 | 98.39平米 | 南 | 其他', '低楼层(共24层)2008年建板楼  -  笔架山', '236万', '单价23987元/平米')
('https://image1.ljcdn.com/340100-inspection/3b53fd87-4487-4a18-b3e0-863bf8c84d2f.jpg.296x216.jpg', '水墨兰庭通透两房！近万达 交通便利 生活方便', '水墨兰庭  | 2室2厅 | 94.75平米 | 南 北 | 其他', '低楼层(共18层)2005年建板楼  -  笔架山', '220万', '单价23219元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf53aea32-d799-45a0-aa71-5d2866a6127c.jpg.296x216.jpg', '为你而选为你为家 恒大华府 正气大四房 位置安静', '恒大华府  | 4室2厅 | 208.28平米 | 南 北 | 其他', '低楼层(共32层)2012年建板楼  -  兴园', '420万', '单价20166元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade8707ff4-2c34-4680-adf5-83551e73096d.jpg.296x216.jpg', '为你而选为你为家 保利香槟 户型方正 两房朝南 精装', '保利香槟国际  | 2室2厅 | 84.63平米 | 南 | 其他', '低楼层(共29层)2014年建塔楼  -  兴园', '195万', '单价23042元/平米')
('https://image1.ljcdn.com/340100-inspection/0c426525-e807-4b5a-a532-dd0715da07cd.jpg.296x216.jpg', '东南朝向公办幼儿园，50中新校', '森林海  | 2室1厅 | 69.99平米 | 东 南 | 简装', '中楼层(共28层)2010年建塔楼  -  笔架山', '160万', '单价22861元/平米')
('https://image1.ljcdn.com/340100-inspection/48cdfa77-c995-4e25-8208-d76f024f964f.jpg.296x216.jpg', '新地统一精装修，环境好，满两年，配套齐全', '新地中心  | 3室2厅 | 159.17平米 | 南 | 其他', '低楼层(共40层)2012年建塔楼  -  荷叶地', '490万', '单价30785元/平米')
('https://image1.ljcdn.com/340100-inspection/52b14151-9bdf-4f90-b146-9450609a49d3.jpg.296x216.jpg', '国际花都郁金苑  中高层两房  户型正气  位置好', '国际花都郁金苑  | 2室2厅 | 93.08平米 | 南 | 其他', '高楼层(共11层)2003年建板楼  -  荷叶地', '198万', '单价21273元/平米')
('https://image1.ljcdn.com/340100-inspection/06b52829-54df-4d72-b5d9-6b2846c63434.jpg.296x216.jpg', '为你而选为你为家 凯旋门大三房南北通户型 户型方正', '凯旋门  | 3室2厅 | 136.59平米 | 南 北 | 其他', '低楼层(共41层)2012年建塔楼  -  荷叶地', '370万', '单价27089元/平米')
('https://image1.ljcdn.com/340100-inspection/e3bf83a7-faec-4f9a-95f5-a474bd4959ba.JPG.296x216.jpg', '政务区优质两房   位置安静    品质生活', '乐富强御龙湾  | 2室1厅 | 85.11平米 | 南 西 | 其他', '高楼层(共33层)2011年建塔楼  -  笔架山', '186万', '单价21855元/平米')
('https://image1.ljcdn.com/340100-inspection/cd8c71f1-eca7-4675-a99d-446f6163ccb0.jpg.296x216.jpg', '生活便利   拎包入住   采光好', 'imore公寓  | 1室1厅 | 73.5平米 | 南 | 其他', '中楼层(共35层)2014年建塔楼  -  笔架山', '130万', '单价17688元/平米')
('https://image1.ljcdn.com/340100-inspection/ac3d72b6-df9e-46c6-8bb5-a60ae62fdaa4.jpg.296x216.jpg', '政务区多层  中间楼层  采光好  位置安静', '中国铁路四局集团第七工程公司  | 3室2厅 | 95.73平米 | 南 北 | 其他', '低楼层(共6层)2010年建板楼  -  荷叶地', '185万', '单价19326元/平米')
('https://image1.ljcdn.com/340100-inspection/93b8da15-28bf-425b-9fb2-8a7676d25094.jpg.296x216.jpg', '政务区大三居 自住清爽装修 实用面积大 生活配套完善', '绿怡居东小高层  | 3室2厅 | 127.36平米 | 南 | 其他', '中楼层(共11层)2004年建塔楼  -  荷叶地', '239万', '单价18766元/平米')
